image_id,caption,fluency,diversity
imgflip_541,trying to think of good meme ideas,0.83256865,0.53480226
imgflip_498,never make fun of the quiet kid; worst mistake of my life,0.83977807,0.53480226
imgflip_566,"me: *hears something fall
also me:",0.2171512,0.53480226
imgflip_1388,alolan weiss,0.8831961,0.53480226
imgflip_229,when my cousin got on my pc; everyone in the first tfpr mc server,0.38793844,0.53480226
imgflip_761,"why do they call play grounds ""play grounds"" when they are above the ground",0.83176297,0.53480226
imgflip_771,my mom wanting me to be a doctor; my dad who wants me to be an engineer; me who wants to be a memer,0.88054436,0.53480226
imgflip_443,&quot;we're going to start saying; 'merry christmas' again!&quot;,0.93300915,0.53480226
imgflip_354,"that moment you realize ya spider man suit wasn't std proof
#fwwab",0.7555807,0.53480226
imgflip_430,no patrick; rainbow ice cream is not unicorn poop,0.64374536,0.53480226
imgflip_867,every img.flip user: i hope my meme gets popular! img.flip:,0.7042307,0.53480226
imgflip_1781,i was at mount doom... when the strength of men failed.,0.97542614,0.53480226
imgflip_682,"a man rushes into his house and yells to his wife, &quot;start packing. i just won the powerball lottery!&quot;; and? she says, &quot;should i pack for warm weather or cold?&quot;; he says, &quot;i don't care. just as long as you're outta the house by noon!&quot;",0.8565521,0.53480226
imgflip_231,"daisies, roses, blue bonnets; flower is flower",0.73130727,0.53480226
imgflip_882,internet explorer asks if you'd like to make as default browser click yes,0.71850437,0.53480226
imgflip_363,that feeling you get when you already won money in vegas,0.96557474,0.53480226
imgflip_402,i told you one does not simply walk into mordor,0.94563574,0.53480226
imgflip_201,dubbed; subbed; anime fans,0.26820487,0.53480226
imgflip_286,let’s get this bread; let’s obtain this grain,0.93551767,0.53480226
imgflip_198,you get created; people start using you in memes; you become more popular than jesus christ; you are in this meme,0.8823122,0.53480226
imgflip_277,blizzard victims; icy dead people,0.74687415,0.53480226
imgflip_1008,go on imgflip; cant think of a meme; post this,0.59200734,0.53480226
imgflip_160,my new boss; a promotion to make a better life for my family,0.90782547,0.53480226
imgflip_239,"ermahgerd! dis piture has been overused, even i know dis now",0.3251961,0.53480226
imgflip_352,if you push a door that says pull you're going to have a bad time,0.9476125,0.53480226
imgflip_519,"he told me he's gonna find me and kill me and yep, he found me i killed him",0.6951187,0.53480226
imgflip_925,looking at 2022 goals like... and that work you about to put in... go get it.,0.87757134,0.53480226
imgflip_796,wingman; carl wheezer,0.78518873,0.53480226
imgflip_723,hating amogus; playing amogus; playing amogus strats; playing amogus strats as the imposter,0.9343714,0.53480226
imgflip_243,when my kid asks for the old toy i just threw away; @themicromama,0.8035575,0.53480226
imgflip_224,"yeah, i respect people's decisions. 
how could you tell?",0.967845,0.53480226
imgflip_321,my dog; when he sees me drinking out of the toilet,0.944046,0.53480226
imgflip_748,blondes are so like lava lamps baby.so fun to look at but seriously not very bright; i mean honestly,0.4817374,0.53480226
imgflip_350,the batteries in my cd player died; in the middle of my favorite track,0.8833342,0.53480226
imgflip_413,when you realize how many people only started washing hands because of covid-19; &quot;i don't wanna touch f**king anything!&quot;; s/o memes,0.6461352,0.53480226
imgflip_1294,when my mom says she is going to delete all my games but she just deletes the icon,0.876235,0.53480226
imgflip_1041,i skipped the anime intro.,0.96156573,0.53480226
imgflip_482,what are we? browsers! *silence*; fast internet! what do we want? *silence*; now! when do we want it? browsers!,0.757959,0.53480226
imgflip_632,parking in parking lots is; to mainstream,0.32468984,0.53480226
imgflip_955,breaking news; hillary clinton's new book says she didnt think she could lose,0.8940576,0.53480226
imgflip_131,kansas city; kan city,0.91266114,0.53480226
imgflip_135,me still trying to comprehend 2020; 2022,0.36730114,0.53480226
imgflip_407,how could lebron win with love! if i couldn't win without pippen,0.8482476,0.53480226
imgflip_364,show me the real ghostbusters. i said the real ghostbusters. perfection!,0.9375288,0.53480226
imgflip_859,mmm; yum yum,0.8271949,0.53480226
imgflip_829,i wish there would be 4 rules,0.8837325,0.53480226
imgflip_419,daisy ridley would have been a brilliant jaina solo; that is all,0.7473287,0.53480226
imgflip_1472,when i heard about marie antoinette's famous &quot;let them eat cake&quot; statement i thought she was just a really nice lady,0.13844647,0.53480226
imgflip_310,this is me; after the hockey game is over,0.9452104,0.53480226
imgflip_616,meowscarada is the best grass-type pokémon,0.8878684,0.53480226
imgflip_807,"fall! cool, crisp air; crunchy leaves; cozy sweaters... cold toilet seats",0.90322894,0.53480226
imgflip_275,"if 3x-y=12, what is the value of 8^x/2^y? 2^12; 4^4; the value cannot be determined; 8^2",0.86051047,0.53480226
imgflip_800,jarvis deleted your gaming history,0.94113785,0.53480226
imgflip_536,welcome to the internet; i will be your guide,0.97462636,0.53480226
imgflip_538,now you wish; i was still president,0.6168981,0.53480226
imgflip_630,didn't have to do lesson plans at home; today was a good day,0.9534316,0.53480226
imgflip_127,you guys get sleep; lame,0.79922575,0.53480226
imgflip_270,when your playing ball in the house and something breaks,0.17549576,0.53480226
imgflip_356,your nose:; when you start running and breathe through your mouth,0.7709432,0.53480226
imgflip_1133,i fell off a cliff and into a river. then i got carried away by rapids for about a mile before i fell down a waterfall  and broke my leg. omg that's terrible. i hope you're feeling better now. you mean the cute blonde one? if so then congrats bro. i was showering under a waterfall when this girl landed in my arms.,0.9251234,0.53480226
imgflip_661,"buffet manager say:::; you no eat here, you professional.🐷🐷🐷",0.2602258,0.53480226
imgflip_415,welcome to the internet be prepared for the liberal jokes,0.8916073,0.53480226
imgflip_161,me trying to decide on one template to use when i can't chose which since i really wanna use two different meme templates,0.3313912,0.53480226
imgflip_175,me *gets in bed comfortably *; the dog; take all of bed; me; take all of bed,0.43330106,0.53480226
imgflip_864,setting fire to the sky; we are the jack o lanterns in july,0.9119804,0.53480226
imgflip_312,i can get you to a million points real quick,0.88803166,0.53480226
imgflip_850,"hello sir; would you like to buy some...
hack; hack; hack?! yea we have some hack that can get into area 51 too; area 51 hack; hack!!!!area 51!!!!!",0.72348475,0.53480226
imgflip_359,m u s h r o o m s m e t h a n e rulers of the universe hell is in a cow's ass heaven is in a cow's ass,0.8898518,0.53480226
imgflip_743,calling out marco and listening for people to reply with polo in order to determine where people are; listening for splashes in order to determine where people are; using a pool noodle to extend your reach in order to determine where people are; memorizing the smells of people's sunscreen in order to determine where people are; pretending to be blind your entire life so you can play with your eyes open in order to determine where people are,0.9260595,0.53480226
imgflip_477,me : *looks slightly black*; cops : *arrest me*; cops :,0.7656862,0.53480226
imgflip_334,hey girl whatcha doin' saturday night?,0.8007831,0.53480226
imgflip_391,why are you; crying???,0.846782,0.53480226
imgflip_1535,"oh, it's dark. do you know what we haven't thought about in a while? monsters.",0.97838426,0.53480226
imgflip_424,friend at a sleepover: need a blanket; me: i'm fine,0.78740895,0.53480226
imgflip_740,amazon is great,0.9202756,0.53480226
imgflip_349,me when people like my memes better than me,0.66956073,0.53480226
imgflip_357,you were the racist one; u will be black in a black suit,0.7116097,0.53480226
imgflip_362,yes 2020 is a bad year; but imagine what life in 3030 will be,0.9249783,0.53480226
imgflip_1137,"asked in email to identify, in writing, your areas of responsibility; comes to your office and shows you a handwritten list on scratch paper- and then shreds the paper",0.9350899,0.53480226
imgflip_485,did someone say; 'catnip?',0.8820167,0.53480226
imgflip_555,you hear a gunshot from:; nerf gun; bb gun; glock 44; glock 19; m1911; deagle; m4a1; ak47; mg42; m61 vulcan,0.8526224,0.53480226
imgflip_469,bought a welder at lowes today; so i guess you could say things are getting pretty serious.,0.97333807,0.53480226
