train_G,train_D,test_G,test_D,save
2.9473567708333333,1.9267526041666667,2.3590625,1.8075625,V
2.2368098958333333,1.8081484375,2.137770833333333,1.80490625,V
2.0875807291666666,1.8072369791666667,2.054,1.806,V
2.05588671875,1.8076328125,2.0219479166666665,1.8085833333333334,V
2.0124140625,1.8070703125,1.9999166666666666,1.8068333333333333,V
1.9829440104166667,1.8067213541666667,1.98325,1.8075833333333333,V
1.9746119791666668,1.8074479166666666,1.955796875,1.8058125,V
1.9609609375,1.8066614583333334,1.9504739583333333,1.8083541666666667,V
1.9602291666666667,1.807375,1.9446041666666667,1.8074791666666667,V
1.9395364583333334,1.8072604166666666,1.9639375,1.8071979166666667, 
1.92444140625,1.8068229166666667,1.9109479166666667,1.8077395833333334,V
1.9243346354166666,1.8069140625,1.9006875,1.80596875,V
1.91958984375,1.8067916666666666,1.9343645833333334,1.8065, 
1.9139856770833332,1.8072473958333333,1.91990625,1.8074791666666667, 
