g_fc_loss,g_con_loss,g_unc_loss,d_con_r2f_loss,d_con_f2r_loss,d_con_f_loss,d_con_m_loss,d_unc_r_loss,d_unc_f_loss,d_unc_m_loss
0.0128173828125,0.21484375,0.203125,0.201171875,0.2001953125,0.2041015625,0.6875,0.69921875,0.1845703125,0.6953125
0.0096435546875,0.212890625,0.2021484375,0.2021484375,0.19921875,0.2041015625,0.65234375,0.66796875,0.20703125,0.7265625
0.006561279296875,0.2109375,0.201171875,0.201171875,0.2001953125,0.2060546875,0.6796875,0.68359375,0.20703125,0.7109375
0.01007080078125,0.2060546875,0.189453125,0.201171875,0.2001953125,0.20703125,0.69140625,0.67578125,0.19921875,0.71484375
0.0108642578125,0.2236328125,0.212890625,0.2021484375,0.201171875,0.203125,0.6484375,0.67578125,0.1962890625,0.7265625
0.006683349609375,0.24609375,0.2138671875,0.201171875,0.201171875,0.205078125,0.6640625,0.6875,0.20703125,0.70703125
0.007293701171875,0.306640625,0.1943359375,0.19921875,0.19921875,0.205078125,0.62890625,0.6640625,0.2265625,0.73046875
0.00872802734375,0.328125,0.2275390625,0.201171875,0.2021484375,0.203125,0.67578125,0.66015625,0.2001953125,0.73828125
0.0103759765625,0.32421875,0.1923828125,0.19921875,0.2001953125,0.205078125,0.6484375,0.6484375,0.20703125,0.75
0.00653076171875,0.314453125,0.20703125,0.201171875,0.2001953125,0.2060546875,0.625,0.671875,0.18359375,0.71875
0.0078125,0.2451171875,0.2119140625,0.2021484375,0.201171875,0.203125,0.68359375,0.7109375,0.205078125,0.6796875
0.0091552734375,0.259765625,0.244140625,0.201171875,0.201171875,0.20703125,0.69140625,0.6796875,0.205078125,0.7109375
0.00933837890625,2.09375,0.2255859375,0.201171875,0.2021484375,0.203125,0.62890625,0.66796875,0.201171875,0.7265625
0.006683349609375,1.8203125,0.2353515625,0.2021484375,0.2001953125,0.205078125,0.6328125,0.6484375,0.1728515625,0.74609375
0.0111083984375,0.216796875,0.2353515625,0.201171875,0.2001953125,0.205078125,0.6640625,0.67578125,0.185546875,0.71484375
0.0079345703125,0.66015625,0.2197265625,0.201171875,0.201171875,0.2041015625,0.69921875,0.67578125,0.177734375,0.71875
0.005950927734375,1.2734375,0.470703125,0.19921875,0.19921875,0.2060546875,0.69140625,0.6796875,0.2255859375,0.7109375
0.01055908203125,1.921875,0.65625,0.201171875,0.201171875,0.2080078125,0.73046875,0.67578125,0.197265625,0.71875
0.02734375,2.53125,0.251953125,0.2021484375,0.2001953125,0.2109375,0.63671875,0.65625,0.24609375,0.7421875
0.05029296875,3.296875,0.26953125,0.205078125,0.2001953125,0.205078125,0.703125,0.64453125,0.2109375,0.75390625
0.0732421875,3.96875,0.52734375,0.208984375,0.201171875,0.2109375,0.69140625,0.671875,0.21875,0.71875
0.0830078125,4.78125,0.81640625,0.2060546875,0.203125,0.205078125,0.6015625,0.65234375,0.203125,0.7421875
0.07763671875,5.6875,0.953125,0.2392578125,0.2041015625,0.2060546875,0.71484375,0.671875,0.2001953125,0.7265625
0.049072265625,6.6875,1.1875,0.205078125,0.2041015625,0.212890625,0.7109375,0.6796875,0.1962890625,0.71484375
0.0150146484375,7.25,1.3671875,0.20703125,0.201171875,0.20703125,0.64453125,0.6796875,0.20703125,0.71875
0.005218505859375,8.0625,1.96875,0.22265625,0.201171875,0.21484375,0.640625,0.671875,0.205078125,0.72265625
0.040283203125,8.375,2.671875,0.2255859375,0.2041015625,0.2197265625,0.63671875,0.6875,0.20703125,0.70703125
0.1337890625,9.125,2.828125,0.21875,0.2001953125,0.2236328125,0.6640625,0.66015625,0.1904296875,0.73046875
0.2470703125,9.1875,4.78125,0.220703125,0.2080078125,0.25,0.6640625,0.69140625,0.2041015625,0.703125
0.3671875,9.75,3.78125,0.2099609375,0.20703125,0.388671875,0.71875,0.6484375,0.2265625,0.74609375
0.4375,9.5625,8.1875,0.2119140625,0.205078125,0.35546875,0.69140625,0.6796875,0.21484375,0.7109375
0.46484375,9.3125,10.1875,0.2275390625,0.216796875,0.36328125,0.71484375,0.671875,0.2001953125,0.71875
0.447265625,9.75,10.875,0.23828125,0.291015625,0.90625,0.65234375,0.63671875,0.220703125,0.76171875
0.37890625,9.3125,10.6875,0.2578125,0.2734375,1.0078125,0.6796875,0.671875,0.234375,0.72265625
0.28515625,9.3125,7.46875,0.283203125,0.2138671875,0.95703125,0.66015625,0.6796875,0.21484375,0.71484375
0.197265625,9.125,6.625,0.30859375,0.212890625,0.8515625,0.70703125,0.6875,0.1826171875,0.703125
0.11181640625,9.375,3.015625,0.2431640625,0.2177734375,0.6953125,0.6796875,0.6953125,0.2158203125,0.69921875
0.045654296875,9.375,2.5625,0.359375,0.2177734375,0.4765625,0.72265625,0.66015625,0.232421875,0.734375
0.006988525390625,9.125,1.328125,0.373046875,0.2099609375,0.263671875,0.64453125,0.6875,0.259765625,0.703125
0.0036468505859375,9.375,0.73046875,0.5390625,0.20703125,0.625,0.66015625,0.67578125,0.421875,0.71484375
0.041259765625,9.375,1.015625,0.5859375,0.205078125,0.26953125,0.6875,0.70703125,0.470703125,0.6875
0.11572265625,10.3125,1.328125,0.65625,0.26171875,0.494140625,0.6484375,0.6796875,0.33984375,0.71484375
0.2197265625,11.625,1.9140625,0.63671875,0.25,0.58203125,0.6484375,0.671875,0.306640625,0.72265625
0.333984375,11.625,2.3125,0.330078125,0.69140625,0.45703125,0.7265625,0.68359375,0.337890625,0.70703125
0.4453125,11.625,2.109375,2.1875,1.203125,0.244140625,0.6640625,0.66796875,0.376953125,0.72265625
0.53125,11.625,2.5625,1.578125,1.9609375,0.8671875,0.625,0.68359375,0.353515625,0.7109375
0.5859375,13.0,2.09375,2.8125,2.328125,1.234375,0.62109375,0.6484375,0.26171875,0.74609375
0.60546875,12.625,2.890625,3.796875,2.5625,1.8984375,0.640625,0.66015625,0.310546875,0.734375
0.60546875,13.625,3.28125,4.59375,2.703125,2.359375,0.64453125,0.66015625,0.234375,0.73046875
0.5859375,11.5,4.15625,5.53125,3.015625,3.125,0.6484375,0.7109375,0.26953125,0.68359375
0.55859375,11.125,4.3125,5.96875,2.875,3.28125,0.70703125,0.65625,0.341796875,0.734375
0.5234375,10.75,4.375,5.96875,2.46875,2.953125,0.625,0.6953125,0.2490234375,0.6953125
0.478515625,10.5625,5.71875,5.8125,1.875,2.46875,0.6171875,0.6796875,0.416015625,0.71484375
0.42578125,10.3125,7.3125,5.1875,0.9765625,1.78125,0.66796875,0.63671875,0.609375,0.765625
0.376953125,10.125,7.125,4.8125,0.2392578125,1.2734375,0.66015625,0.68359375,1.0859375,0.7109375
0.32421875,10.0,8.0,4.4375,9.625,0.66796875,0.6796875,0.671875,1.28125,0.7265625
