bleu_threshold,trainData_size,testData_size,train_loss,test_loss,train_bleu,test_bleu,save
0.05,36244,9236,4.580789528145695,4.186754338394794,0.1267409975165563,0.06700616865509756,V
0.1,118581,29440,3.621350037949064,3.611391813858696,0.1311858291870471,0.06355033542798907,V
0.1,118581,29440,3.390706695901501,3.457583220108696,0.11016283837915336,0.06548753821331516,V
0.1,118581,29440,3.3215102673300727,3.3755307404891304,0.10600122280317052,0.06621359120244572,V
0.1,118581,29440,3.2826915373587453,3.3445036514945654,0.10275038476134238,0.0718527088994566,V
0.1,118581,29440,3.2567359588463485,3.3225203804347827,0.10390005692359569,0.06953549592391309,V
0.1,118581,29440,3.240568076404115,3.315015709918478,0.10129382589812806,0.06954451851222823,V
0.1,118581,29440,3.2260683715635015,3.296747622282609,0.10043338358070514,0.07261166779891305,V
0.1,118581,29440,3.213766550008433,3.300653872282609,0.10049650025299374,0.07581044072690213, 
0.1,118581,29440,3.203997301399899,3.2744459069293477,0.10057727378141322,0.0774748429008152,V
0.1,118581,29440,3.195698579018384,3.274785580842391,0.09984701783606005,0.07081988790760872, 
