image_id,caption,fluency,diversity
sonicdrivein_691,what’ s your drink of choice for the new year? 🤔🤔🤔,0.9699451,0.42698178
sonicdrivein_373,"it’ s been a while since we’ ve been on the road, so we’ re",0.96508604,0.42698178
sonicdrivein_529,this isn’ t the first time i’ ve done this… but it’ s the first,0.94983053,0.42698178
sonicdrivein_376,"when you want to get your friends in the picture with the sonic, but you don’ t",0.9070919,0.42698178
sonicdrivein_531,"when you’ re not sure if you’ re ready for a corn dog, it’ s",0.9503029,0.42698178
sonicdrivein_2031,"what’ s the worst thing you’ ve ever done at a party? if you like this,",0.97552663,0.42698178
sonicdrivein_534,"today is a new day, and i 'm so excited to be the first person to eat in the new",0.94944227,0.42698178
sonicdrivein_1337,i 'm going to tell you why we 're doing this but i 'm sure you 're going,0.93914485,0.42698178
sonicdrivein_697,"it’ s always the sonic slushie you’ re going for, so here’ s",0.9303644,0.42698178
sonicdrivein_408,this is what the kids are talking about today🤔🤔🤔🤔�,0.97594476,0.42698178
sonicdrivein_196,"doggy style season is here, and we all know what it’ s going to be like when you",0.90542334,0.42698178
sonicdrivein_2052,"this is the original sonic drive-in, now you ' re free to use it any way you want",0.941683,0.42698178
sonicdrivein_51,"i 'm not trying to make you feel better with a bunch of frozen drinks, but i do n't",0.84525007,0.42698178
sonicdrivein_414,definitely not ready for this to come out 🤷‍♀️,0.93958056,0.42698178
sonicdrivein_798,what do you think we should be doing when we bring our drinks into the stadium this year?,0.97702324,0.42698178
sonicdrivein_1346,"if you are going to ask me to take you to the prom, it 's going to be me",0.97425765,0.42698178
sonicdrivein_143,mom i don’ t know if i’ m going to be able to go to class today because,0.9784505,0.42698178
sonicdrivein_69,if we all clap loud enough they 'll make the big one happen,0.9268402,0.42698178
sonicdrivein_163,we’ re not going to like the car rides as much as we used to so we’ re,0.84959733,0.42698178
sonicdrivein_78,just in time for valentine’ s day 💕 the valentine’ s bullet,0.8780093,0.42698178
sonicdrivein_80,this is your chance to buy this mr jason from walmart you will love him as much as we,0.88779134,0.42698178
sonicdrivein_893,"it’ s not everyday you get to eat the food of your dreams, but today it’ s",0.97163457,0.42698178
sonicdrivein_645,"exactly what is the ice snow? i 've decided to use it, but i 'm sure some",0.7498787,0.42698178
sonicdrivein_234,it’ s been a while since we’ ve done this,0.9773201,0.42698178
sonicdrivein_85,what would you do if you were able to create your own tater tots? any ideas?,0.96748126,0.42698178
sonicdrivein_560,i don’ t know if it’ s because i’ m drunk or it’ s,0.9501334,0.42698178
sonicdrivein_446,"this is a dream come true, it ‘s ice cream for me! ''",0.6202227,0.42698178
sonicdrivein_89,we know you love your coolers just as much as we do so we created a collection ofsome of our,0.7369261,0.42698178
sonicdrivein_566,"we’ re not sure what to pick, so we’ ve made the decision for you �",0.9553009,0.42698178
sonicdrivein_283,"if you’ re in the mood for a sonic drive-thru, we’ re here to",0.97822,0.42698178
sonicdrivein_290,we know you’ ve been waiting for this for a while now 🤷‍♀️,0.9550632,0.42698178
sonicdrivein_457,"every time you post about a slushie, it’ s getting all the love 💕",0.5373877,0.42698178
sonicdrivein_1181,you 've never heard of this but i 'm sure you 'll want to take a look at this,0.9537368,0.42698178
sonicdrivein_1384,if only i could go to a tumblrcade this weekend 🤔 🤔,0.90388787,0.42698178
