image_id,caption,fluency,diversity
sonicdrivein_529,this isn’ t the first time i’ ve done this… but it’ s the first,0.94983053,0.5022463
sonicdrivein_196,"doggy style season is here, and we all know what it’ s going to be like when you",0.90542334,0.5022463
sonicdrivein_2052,"this is the original sonic drive-in, now you ' re free to use it any way you want",0.941683,0.5022463
sonicdrivein_51,"i 'm not trying to make you feel better with a bunch of frozen drinks, but i do n't",0.84525007,0.5022463
sonicdrivein_163,we’ re not going to like the car rides as much as we used to so we’ re,0.84959733,0.5022463
sonicdrivein_80,this is your chance to buy this mr jason from walmart you will love him as much as we,0.88779134,0.5022463
sonicdrivein_234,it’ s been a while since we’ ve done this,0.9773201,0.5022463
sonicdrivein_566,"we’ re not sure what to pick, so we’ ve made the decision for you �",0.9553009,0.5022463
sonicdrivein_283,"if you’ re in the mood for a sonic drive-thru, we’ re here to",0.97822,0.5022463
sonicdrivein_290,we know you’ ve been waiting for this for a while now 🤷‍♀️,0.9550632,0.5022463
sonicdrivein_497,when you’ re in the car and the drive-in music comes out 🔥 🔥,0.8889897,0.5022463
sonicdrivein_344,the manager of the music store tells me to come to work in the car but i already had this idea,0.96583563,0.5022463
sonicdrivein_690,it 's pretty clear that this is our mom's way of telling us that we all know each other's,0.90048265,0.5022463
sonicdrivein_1077,let’ s see what you’ ve got in store for the game day 🙌,0.9300348,0.5022463
sonicdrivein_135,it’ s the holiday season and we’ re all about the sonic slushies 🎄,0.9432448,0.5022463
sonicdrivein_339,"it’ s party time 🚨 today only, get 50% off your shakes when you use code",0.6484335,0.5022463
sonicdrivein_404,we still can’ t get the ice cream 🍦 so we’ re making it on the,0.6098317,0.5022463
sonicdrivein_454,at least he didn’ t ask for a carhop at the drive-thru carhoplife,0.9079398,0.5022463
sonicdrivein_470,a night time drink to celebrate the launch of our new sonic slushies 🍻 check out the story,0.9114362,0.5022463
sonicdrivein_532,deck your doggo out in sonic swag for their next trip to the drive-in we’,0.5979771,0.5022463
sonicdrivein_655,hope you’ re ready for summer 🔥🔥🔥,0.9399999,0.5022463
sonicdrivein_743,"siri, what are you doing at the sonic drive-in? watch this video",0.9749084,0.5022463
sonicdrivein_788,"now available at the end of the month, you can use your wag card to purchase any wag-",0.8157631,0.5022463
sonicdrivein_789,what is the most important part of being a mozzarella stick? it ‘s the second one,0.94086707,0.5022463
sonicdrivein_821,oh yeah we have kids too 🤷‍♀️🤷‍♀️,0.8858295,0.5022463
sonicdrivein_866,"it 's a new year, and we 're celebrating with a new drink🎉🎉",0.9489224,0.5022463
sonicdrivein_899,it ‘s been a while since i ‘ve been thinking about my spring mix-and-match,0.95717424,0.5022463
sonicdrivein_952,we’ re still trying to figure out how to get our food into our mouths 🤷‍,0.9644439,0.5022463
sonicdrivein_1022,we have all the answers when it comes to choosing the right mix for our kids 🤷‍�,0.96056813,0.5022463
sonicdrivein_1069,"just when you think you can’ t use them all, they’ ll come out of nowhere �",0.9595238,0.5022463
sonicdrivein_1138,"you 're not ready for the movie day, are you? this is the first day when you 're",0.9756033,0.5022463
sonicdrivein_1209,we’ re feeling the nostalgia of your first date with your favorite drink– so we’ re sharing,0.91502064,0.5022463
sonicdrivein_1223,"we 've got a baby in the back of the store, so we can 't tell anyone about it",0.9656733,0.5022463
sonicdrivein_1367,let’ s take a look at the all-in-one-to-one-to-one,0.8840795,0.5022463
sonicdrivein_1376,do you want to see the next step in the summer of tots? we do too and we’,0.6068909,0.5022463
sonicdrivein_1435,"just in time for the new year, here’ s the first look at the sonic drink of the year",0.95063806,0.5022463
sonicdrivein_1452,"it’ s been a long time coming, but we’ re here to make sure you’",0.9118653,0.5022463
sonicdrivein_1459,what time is it? 🤷‍♀️ mother’ s drive-in,0.9442848,0.5022463
sonicdrivein_1566,have you heard the good news? today 's the day you can bring your claws to work 🦁,0.97236305,0.5022463
sonicdrivein_1660,we’ re opening up applications for next year’ s sonic drive-in 💕,0.9661362,0.5022463
sonicdrivein_1737,one of the best holidays of the year is when you get to pick your favorite sonic family member here are 5,0.6341809,0.5022463
sonicdrivein_1755,a 50¢ corn dog day at sonic this halloween get one for just 50 cents,0.5186543,0.5022463
sonicdrivein_1765,just because they’ re in the freezer doesn’ t mean you can’ t eat them all,0.97204,0.5022463
sonicdrivein_1809,"they’ re coming for you this halloween, 50¢ corn dogs at sonic all day long",0.7739256,0.5022463
sonicdrivein_1813,"said to my friend, `` what 's the best thing you 've ever done? '' i said,",0.85340637,0.5022463
sonicdrivein_1866,what would it be like to have a shake with every flavor in the world? 🤔 what would you,0.8712123,0.5022463
sonicdrivein_1944,what do you think will be the the of the river in the next movie,0.87323934,0.5022463
sonicdrivein_2078,what do you want to do today? i 'm not going to be able to tell you why we ',0.9667204,0.5022463
sonicdrivein_2080,"i 'm sorry, i 'm not going to be able to explain why we 're all going to",0.9665512,0.5022463
sonicdrivein_2138,this could be the dog of the dog of the dog of the dog of the dog of the dog of the,0.7275871,0.5022463
sonicdrivein_2168,"have you ever heard of a breakfast sandwich like this? me, i 'm going to try it today",0.9442852,0.5022463
sonicdrivein_2181,has anyone noticed a slight increase in traffic on the breakfast menu? 🤔 sonicfoodfight,0.96283144,0.5022463
sonicdrivein_2185,"`` what 's going on? '' `` we 've lost our costumes, what should we do? ''",0.92563665,0.5022463
sonicdrivein_2196,"`` well, here 's my suggestion for my son '' well, here 's my son, the one",0.83905035,0.5022463
sonicdrivein_2208,this is the reason i 'm taking my son to the sonic drive-in today,0.9775588,0.5022463
sonicdrivein_2209,this is what we 've all been waiting for you to see since you 've been running around the track,0.9635484,0.5022463
