bleu_threshold,trainData_size,testData_size,train_loss,train_bleu,test_loss,test_bleu,save
0.05,58232,75,11.35507557540364,0.6598078946238397,12.8125,0.8372395833333334,V
0.05,58232,75,9.272500858811405,0.6984756097560985,12.4375,0.8411458333333334,V
0.05,58232,75,8.750472346272758,0.72015549854002,12.895833333333334,0.8450520833333334, 
0.05,58232,75,8.412895053246308,0.7283737869288899,13.541666666666666,0.8419270833333332, 
0.05,58232,75,8.10686834421161,0.7378953216248714,13.583333333333334,0.85703125, 
0.05,58232,75,7.855848505668155,0.7487324480419105,13.854166666666666,0.8450520833333334, 
0.05,58232,75,7.673801958090004,0.7582097002748199,13.75,0.8533854166666667, 
0.05,58232,75,7.53886121607695,0.7663093653383739,14.125,0.8580729166666666, 
0.05,58232,75,7.427816901408451,0.7722781046032282,13.583333333333334,0.8432291666666667, 
0.05,58232,75,7.332091635176915,0.7776059558570931,14.541666666666666,0.8421875, 
0.05,58232,75,7.250697784266575,0.7821772479388506,14.020833333333334,0.8406249999999998, 
0.05,58232,75,7.175970456887668,0.7875402567846104,14.333333333333334,0.8434895833333332, 
0.05,58232,75,7.105011164548265,0.7919448857780834,14.041666666666666,0.8481770833333334, 
0.05,58232,75,7.043219683957403,0.7956611237547238,13.9375,0.8442708333333333, 
0.05,58232,75,6.985475352112676,0.7994745147715574,14.354166666666666,0.8486979166666666, 
0.05,58232,75,6.93323814840261,0.8020691987289619,14.895833333333334,0.8333333333333334, 
0.05,58232,75,6.883534438337341,0.8050361237547231,14.3125,0.8359375, 
0.05,58232,75,6.836578924768121,0.8076852885606304,14.416666666666666,0.84765625, 
0.05,58232,75,6.79432540364136,0.8101138461868793,14.8125,0.8536458333333333, 
0.05,58232,75,6.752877018206802,0.8123923801958094,14.395833333333334,0.8351562499999999, 
0.05,58232,75,6.714563294400549,0.815590379165238,14.0,0.8518229166666668, 
0.05,58232,75,6.680092751631742,0.8179352026794934,14.5625,0.84609375, 
0.05,58232,75,6.6472002748196495,0.8208310073857779,14.5,0.8440104166666668, 
0.05,58232,75,6.612858553761594,0.8238652954311245,14.791666666666666,0.84140625, 
0.05,58232,75,6.582080900034352,0.8260821023703204,14.5,0.8375, 
0.05,58232,75,6.553031604259704,0.8286166695293704,14.666666666666666,0.8419270833333332, 
0.05,58232,75,6.525453023016146,0.8306040127962898,14.395833333333334,0.8471354166666666, 
0.05,58232,75,6.49944177258674,0.83193543885263,14.5,0.8440104166666668, 
0.05,58232,75,6.47417124699416,0.8342969018378564,14.666666666666666,0.8411458333333334, 
0.05,58232,75,6.449748797664033,0.8366967429577467,14.583333333333334,0.8406250000000001, 
0.05,58232,75,6.4262495705942975,0.8383172127275855,14.458333333333334,0.8416666666666667, 
