train_G,test_G,save
0.99999413915979,0.9999941347597597,V
0.9999956043698425,1.0, 
0.99999413915979,1.0, 
0.9999985347899475,0.9999941347597597, 
0.99999413915979,0.9999941347597597, 
0.9999956043698425,0.9999941347597597, 
0.99999413915979,1.0, 
0.999997069579895,1.0, 
0.9999956043698425,0.9999882695195195, 
0.999997069579895,0.9999882695195195, 
1.0,0.9999941347597597, 
0.99999413915979,0.9999882695195195, 
0.9999985347899475,0.9999941347597597, 
0.9999956043698425,1.0, 
0.99999413915979,0.9999941347597597, 
0.999997069579895,1.0, 
