image_id,caption,fitCount,gtNum,fluency,diversity,humor_score,humor,benign
mcdonalds_switzerland_13,"the guy with the green ring is in a restaurant, so he must have had an amazing night! we’ ll get you some of his favorite drinks and snacks for your anniversary.",0,1,0.9758601,0.52228165,0.1907938122749328,0,-1.0191584
mcdonalds_switzerland_367,"i have a question for you: where do u like to eat? </s> yes, it’ s the mcdonald& amp; who i always order! 🤣
#who amu eating your food is that really great 😄😂🙂😊🤩🥗🍔🌞️🎉👨🏻🇺�",3,1,0.5853553,0.52228165,0.0149613935500383,0,-7.419264
mcdonalds_switzerland_16,"this is a video of the original tv show, where you get to choose your own partner.",0,1,0.95525837,0.52228165,0.8714314103126526,1,-9.424567
mcdonalds_switzerland_1995,mrs.,0,1,0.81206876,0.52228165,0.0639551803469657,0,-8.438526
mcdonalds_switzerland_481,you're right! you can get a discount if the shop has one in your way.,2,1,0.9698751,0.52228165,0.4705642163753509,0,-8.779375
mcdonalds_switzerland_1899,the question is: `` who do you want to have a party with? the only answer for me would be that we are all in love! go out and enjoy it.,2,1,0.97299474,0.52228165,0.2145662456750869,0,-8.724294
mcdonalds_switzerland_566,"and here is a're you, the new mexico casino! enjoy your night in beautiful balboa with us.",3,1,0.56462604,0.52228165,0.0446757785975933,0,-7.7614155
mcdonalds_switzerland_655,"what do you think? how would 't like to get a massage at the restaurant in our free delivery area before dinner?? what are your thoughts on this new idea of michelin bon appetit?! have fun!
`` let us know about it below.",2,1,0.8602576,0.52228165,0.0195414405316114,0,-0.013863343
mcdonalds_switzerland_762,@kevinkelly : a very happy birthday to our friend and partner of mr.,2,1,0.66444504,0.52228165,0.2467523068189621,0,-8.021535
mcdonalds_switzerland_629,you can get a coffee with the world's best chocolate and your favorite flavor.,3,1,0.9730886,0.52228165,0.1308830380439758,0,-8.372844
mcdonalds_switzerland_598,"when the teacher's son is in danger, i would take him to my room and let her know that she s there for me.",4,1,0.9141666,0.52228165,0.6604709029197693,1,-8.530062
mcdonalds_switzerland_646,"we're not just getting the burger, we are going to get a special something that will make your taste buds dance.",0,1,0.9566255,0.52228165,0.0146464481949806,0,-9.288808
mcdonalds_switzerland_558,the cow's mouth is on the end of your phone! we have a good idea to send it in our app.,5,1,0.9387586,0.52228165,0.0729345828294754,0,-0.0001349358
mcdonalds_switzerland_608,i'm so happy that you found this message.,0,1,0.9768868,0.52228165,0.736156165599823,1,-8.926729
mcdonalds_switzerland_736,"i love you, the guys! i just found out my 'nuggets are in your bag.",2,1,0.939552,0.52228165,0.0188324525952339,0,-2.7974796
mcdonalds_switzerland_1912,the only way to get the attention of your friends is by making them laugh.,2,1,0.9772161,0.52228165,0.0790878161787986,0,-8.090062
mcdonalds_switzerland_1612,and you? i'm here to help.,0,1,0.96623236,0.52228165,0.2286873310804367,0,-8.835108
mcdonalds_switzerland_1985,i think i’ m going to try this out and see if it works for you.,1,1,0.97669584,0.52228165,0.6464543342590332,1,-8.900889
mcdonalds_switzerland_360,"we are ready to have a fun, we can see it on your phone.",1,1,0.57856363,0.52228165,0.4581434726715088,0,-9.4148855
mcdonalds_switzerland_248,benny’s team is in a game.,1,1,0.9640569,0.52228165,0.4950440227985382,0,-5.9293885
mcdonalds_switzerland_693,today's special: i’m going to show you how much we love the burger! get ready for your favourite meal of today.,2,1,0.9623984,0.52228165,0.0201617218554019,0,-8.203168
mcdonalds_switzerland_358,the # mccloskey has been enjoying the same day as a group of us who have made it their own with your favorite mac and cheese! so let’ s enjoy this one too.,2,1,0.6688753,0.52228165,0.0137850670143961,0,-0.00035637227
mcdonalds_switzerland_1988,"what are you waiting for? '' this season, we bring the joy of your favorite flavors to everyone in need.",4,1,0.97043926,0.52228165,0.1993283182382583,0,-9.311615
mcdonalds_switzerland_453,"the moment we see a new'm or an app that has you hooked, just click the like button! don’ t forget to share it with your friends and family.",1,1,0.96344835,0.52228165,0.0165231935679912,0,-8.878538
mcdonalds_switzerland_2065,"as a cat, you know what? '' your favorite part of the day is always in front! 😄📸😉 📷🍦 🍲👀🥗🌿 🥤 👇 🤔 🙌️🙏🐾 🐱🤩🏻♀️🎭 💕 😍💖 🌟 🎬 🧑�",1,1,0.91065264,0.52228165,0.0055564660578966,0,-0.00019369634
mcdonalds_switzerland_568,we know that we love you.,2,1,0.9697558,0.52228165,0.4529692530632019,0,-9.40875
mcdonalds_switzerland_616,"but if you think it's a good idea to have an italian breakfast, then why not try our recipe for the perfect cappuccino? make sure that all your friends are also invited! ❤❤❤.",4,1,0.9652075,0.52228165,0.0062671788036823,0,-7.2499504
mcdonalds_switzerland_1888,"do you want to try a taste of this ice cream? yes, we're very happy! if it is dark and the last one with me in Italy will be yours.",1,1,0.78526145,0.52228165,0.0251732598990201,0,-0.8699759
mcdonalds_switzerland_1942,"it's the most popular social media app in india, but it’ s not your only choice.",1,1,0.9654723,0.52228165,0.358443945646286,0,-0.0029151822
mcdonalds_switzerland_31,we have the new and more special offer for you! choose one of these four products to get 50 yuan each.,2,1,0.82258666,0.52228165,0.055285345762968,0,-7.841041
