caption,image_id,fluency,diversity,humor_score,humor,b_clip,humor_score_,humor_
"if you’ re looking for a reason to get out of the house, this is it",sonicdrivein_529,0.9751595,0.4826168,0.7296894788742065,1,-9.610174,0.8642328381538391,1
when you know you’ re in the dog house you know you’ re in the dog house you,sonicdrivein_196,0.9135929,0.4826168,0.9567443132400512,1,-2.6695676,0.94680255651474,1
this is our second day in the wild and we still haven 't figured out what to do,sonicdrivein_2052,0.9712643,0.4826168,0.3890847563743591,0,-3.7584252,0.8430357575416565,1
you bought this for your son you will love it he will love it you can order it online,sonicdrivein_80,0.96546,0.4826168,0.4533196687698364,0,-8.079994,0.9472122192382812,1
it’ s been a long time since we’ ve had a drink,sonicdrivein_234,0.9825727,0.4826168,0.9474286437034608,1,-8.523487,0.2227897495031356,0
let’ s just say we’ re not the only ones getting ready for the new year �,sonicdrivein_283,0.97627175,0.4826168,0.3100152909755707,0,-9.216665,0.1270450055599212,0
"when you’ re in the car, you’ re in the zone 🤷‍�",sonicdrivein_497,0.94960314,0.4826168,0.696026086807251,1,-9.831535,0.5110251307487488,1
is this the first time you see a pop-up in a social media app? 🤔,sonicdrivein_344,0.96992344,0.4826168,0.3609208464622497,0,-2.6394374,0.8682798743247986,1
we all have that one person in our life who always knows when we’ ve run out of gas,sonicdrivein_690,0.92704993,0.4826168,0.7895872592926025,1,-5.0838804,0.9802675247192384,1
let’ s see what you’ ve been cooking up for the new year 🙌,sonicdrivein_1077,0.9597331,0.4826168,0.2558987736701965,0,-8.745843,0.9790381193161012,1
it’ s the most wonderful time of the year 🎄 🎄 🎄 �,sonicdrivein_135,0.9366332,0.4826168,0.2231749296188354,0,-8.087223,0.4033291637897491,0
we’ re bringing back the drive-thru for a limited time only 🔥,sonicdrivein_339,0.8763875,0.4826168,0.1855830997228622,0,-9.210957,0.2907868325710296,0
i still can’ t figure out how to make the drive thru work 🤷‍♀,sonicdrivein_404,0.9750709,0.4826168,0.4125862419605255,0,-8.992098,0.8812059164047241,1
it’ s the only way to get a drink at the drive-thru if you’ re,sonicdrivein_454,0.9073134,0.4826168,0.2072475850582122,0,-9.107065,0.4269446134567261,0
"it ‘s the summer of sonic, and we ‘ re here to help you make the most of",sonicdrivein_470,0.95977324,0.4826168,0.0153855476528406,0,-8.901917,0.0534010306000709,0
"check out our doggo drive-in, where you can take your pup for a drive-in movie",sonicdrivein_532,0.96524775,0.4826168,0.0134117323905229,0,-8.608276,0.3810332119464874,0
what’ s your go-to drive-thru drink? 🤔,sonicdrivein_655,0.93398595,0.4826168,0.4919970035552978,0,-9.414882,0.5955280661582947,1
"siri, where are you? i told you i was going to drive you around, right? ''",sonicdrivein_743,0.92728645,0.4826168,0.8409453630447388,1,-8.240936,0.7864452600479126,1
"now thru the end of the year, you can bring your dog to any wag shop and get a free",sonicdrivein_788,0.78702,0.4826168,0.032064288854599,0,-8.643339,0.0392496325075626,0
it 's been a long time since we 've all been like this,sonicdrivein_866,0.97469556,0.4826168,0.8425660729408264,1,-0.05037412,0.1439075767993927,0
we’ re still trying to figure out how we’ re going to eat all of these chicken tend,sonicdrivein_952,0.98299855,0.4826168,0.7863882780075073,1,-0.12394077,0.3879680931568146,0
we 've come a long way since the first time we introduced you to the world of sonic shakes �,sonicdrivein_1022,0.9594202,0.4826168,0.9389715194702148,1,-9.077383,0.813284158706665,1
it ‘s time to celebrate the school’ s hot tub day with a drink in your mouth,sonicdrivein_1138,0.96181524,0.4826168,0.038023218512535,0,-8.915439,0.6333189010620117,1
we hope you’ re ready for the new year’ s drive-in movie night 🎥,sonicdrivein_1209,0.97398055,0.4826168,0.0054892227053642,0,-8.856486,0.0886337682604789,0
can’ t wait to see what’ s on the menu this 4th of july ?,sonicdrivein_1376,0.9736872,0.4826168,0.6733560562133789,1,-9.137119,0.8780754804611206,1
it’ s that time of the year again 🎉🎉🎉🎉,sonicdrivein_1435,0.90876174,0.4826168,0.075500838458538,0,-9.111952,0.0077169155701994,0
"if you’ re looking for something to get you through the weekend, we’ ve got you covered",sonicdrivein_1452,0.9689326,0.4826168,0.0875275209546089,0,-9.096391,0.1678760647773742,0
this man knows a thing or two when it comes to men 's haircuts 🙌🏼,sonicdrivein_1566,0.9715433,0.4826168,0.3634493947029114,0,-0.0005775214,0.2664496600627899,0
this is why we love our dad we love our dad we love our dad we love our dad we love our,sonicdrivein_1737,0.9657369,0.4826168,0.1626550555229187,0,-8.159208,0.741736114025116,1
"it’ s halloween, and this is the corn dog you’ re looking for",sonicdrivein_1755,0.9735246,0.4826168,0.3520632982254028,0,-8.471159,0.4098690152168274,0
if you’ re a fan of the slushies you’ re going to love this one �,sonicdrivein_1765,0.96146137,0.4826168,0.3502086102962494,0,-8.401154,0.0096846437081694,0
"they’ ve got corn on the cob, we’ve got corn on the floor and they�",sonicdrivein_1809,0.78629553,0.4826168,0.8352479934692383,1,-0.0005099665,0.9221274256706238,1
what’ s your drink of choice? 🤔🤔🤔🤔�,sonicdrivein_1866,0.9670811,0.4826168,0.2504080235958099,0,-8.567456,0.1302829831838607,0
"i 'm sorry, but i 'm not ready to go back to school yet, so i 'm",sonicdrivein_2078,0.9681425,0.4826168,0.6031590104103088,1,-5.049559,0.7308037281036377,1
"i 'm sure you 're all excited to get to the end of the year, but i 'm",sonicdrivein_2080,0.96752834,0.4826168,0.1620771288871765,0,-9.438964,0.1594708412885666,0
what do you think of the new breakfast sandwiches at sonic? i’ m eating one right now,sonicdrivein_2168,0.9766898,0.4826168,0.6328960657119751,1,-9.534021,0.2017740607261657,0
🚨🚨🚨🚨🚨🚨🚨�,sonicdrivein_2181,0.86411864,0.4826168,0.068210445344448,0,-0.0009371418,0.0581000559031963,0
`` what 's this? '' `` what 's this? '' `` what 's this? '',sonicdrivein_2185,0.94790196,0.4826168,0.3754964172840118,0,-2.2762337,0.1494539976119995,0
this is my son’ s first day of school and he wanted to go to sonic drive-in,sonicdrivein_2208,0.9692308,0.4826168,0.846881628036499,1,-7.857699,0.1989854425191879,0
