caption,image_id,fluency,diversity,humor_score,humor
what’ s your favorite drink of the night? 🍸🍸🍸�,sonicdrivein_691,0.96859735,0.39000025,0.0147897563874721,0
what’ s your go-tos when you’ re in the drive-thru?,sonicdrivein_373,0.93687886,0.39000025,0.5854542255401611,1
"if you’ re looking for a reason to get out of the house, this is it",sonicdrivein_529,0.9751595,0.39000025,0.5284152626991272,1
when you want to be the last person to see your crush at the mall before they leave,sonicdrivein_376,0.9683667,0.39000025,0.8166893124580383,1
do you remember when you had to choose between a corn dog and a root beer? now it’ s,sonicdrivein_531,0.93474174,0.39000025,0.3452131748199463,0
"if you 're looking for something to do on halloween, this is for you",sonicdrivein_2031,0.9689196,0.39000025,0.2059745788574218,0
"me and my dad are going out to eat today, and i’ m so excited to share with you",sonicdrivein_534,0.9687635,0.39000025,0.1652155965566635,0
"i know you 're trying to protect the earth, but it ‘s not going to work",sonicdrivein_1337,0.9740835,0.39000025,0.2048503458499908,0
the only way to make a sonic shake is with a sonic drink 🤷‍♀️,sonicdrivein_697,0.9233747,0.39000025,0.1517162770032882,0
this is my son’ s first day of school and he’ s got a lot of ideas for,sonicdrivein_408,0.9735581,0.39000025,0.2387561053037643,0
when you know you’ re in the dog house you know you’ re in the dog house you,sonicdrivein_196,0.9135929,0.39000025,0.9290342330932616,1
this is our second day in the wild and we still haven 't figured out what to do,sonicdrivein_2052,0.9712643,0.39000025,0.2353875488042831,0
"i 'm not trying to make you feel bad, but i 'm holding back a little bit of fruit",sonicdrivein_51,0.96442467,0.39000025,0.7333672046661377,1
i can’ t make this stuff up 🤷‍♀️,sonicdrivein_414,0.89597267,0.39000025,0.8067115545272827,1
what do you think we should do with our sonics pass this year? share your thoughts in the comments,sonicdrivein_798,0.88496447,0.39000025,0.1002509221434593,0
"if you’ re not going to be at the drive-in this year, i’ m going",sonicdrivein_1346,0.9736304,0.39000025,0.1629527658224105,0
"when i’ m away from home, i don’ t eat or drink anything i’ m",sonicdrivein_143,0.7944788,0.39000025,0.7366790175437927,1
we can make this happen we can make this happen we can make this happen we can make this happen,sonicdrivein_69,0.9462301,0.39000025,0.3135930001735687,0
we can’ t stay in the car long enough to get all the food we want,sonicdrivein_163,0.9709446,0.39000025,0.6405394077301025,1
"just in case you didn’ t know, there’ s a new bullet out now",sonicdrivein_78,0.97052133,0.39000025,0.7268696427345276,1
you bought this for your son you will love it he will love it you can order it online,sonicdrivein_80,0.96546,0.39000025,0.45451220870018,0
"it’ s not every day i eat the same thing, but it’ s every day i love",sonicdrivein_893,0.9564001,0.39000025,0.4274969100952148,0
"i 'm sure i 'm going to regret this, but i 've decided to use the ice-",sonicdrivein_645,0.97156286,0.39000025,0.5592691898345947,1
it’ s been a long time since we’ ve had a drink,sonicdrivein_234,0.9825727,0.39000025,0.9056721329689026,1
what do you do when you’ re hungry but don’ t want to leave the house?,sonicdrivein_85,0.97402316,0.39000025,0.5918837189674377,1
"i don’ t know if it’ s just me, but i feel like i’ ve",sonicdrivein_560,0.91938174,0.39000025,0.3668879270553589,0
what would you do if i told you to go ice skating in the summer?,sonicdrivein_446,0.9790309,0.39000025,0.6685578227043152,1
the best way to start your day is with the best drink in the world 🍸🍸�,sonicdrivein_89,0.9717872,0.39000025,0.4676993191242218,0
"we all have those days when we need a little pick me up, so we’ ve got you covered",sonicdrivein_566,0.8557574,0.39000025,0.5087669491767883,1
let’ s just say we’ re not the only ones getting ready for the new year �,sonicdrivein_283,0.97627175,0.39000025,0.2631575763225555,0
we’ re having a drive thru happy hour today only 🤷‍♀️�,sonicdrivein_290,0.7318799,0.39000025,0.6193264126777649,1
⭐️⭐️⭐️⭐️⭐️�,sonicdrivein_457,0.86411864,0.39000025,0.1074643656611442,0
what did i just say? i 'm so tired i 'm going to go to bed now,sonicdrivein_1181,0.96483916,0.39000025,0.4993108510971069,0
it ‘s the end of the month so i ‘m going to get a t-shirt with,sonicdrivein_1384,0.94711727,0.39000025,0.0463151708245277,0
if you 're looking for something to put on your mantle this is what you 're looking for,sonicdrivein_91,0.95148474,0.39000025,0.5657908916473389,1
we’ ll see what we can do 🤷‍♀️ pic.twitter.com,sonicdrivein_571,0.9398113,0.39000025,0.3678395748138428,0
do you know how many times i stopped at the drive-through before i found my match?,sonicdrivein_572,0.9808849,0.39000025,0.1018102690577507,0
is this what it feels like to run on a bong? 🤔🤔,sonicdrivein_1199,0.9715623,0.39000025,0.6702431440353394,1
what’ s the best way to celebrate the 4th of july? 🎉🎉,sonicdrivein_98,0.96652126,0.39000025,0.5504064559936523,1
what do you think about adding a drive thru to the menu? 🤷‍♀️,sonicdrivein_780,0.96706676,0.39000025,0.4800138175487518,0
🐶🐶🐶🐶🐶🐶🐶�,sonicdrivein_585,0.86411864,0.39000025,0.1720562577247619,0
this is the breakfast of champions it 's a mix of the ice cream and the frozen drinks,sonicdrivein_742,0.80633146,0.39000025,0.6473439335823059,1
is it just me or does anyone else feel like we’ re on a sonic journey?,sonicdrivein_670,0.95014256,0.39000025,0.1379485130310058,0
i’ m not the only one who thinks this is the best drink in the world,sonicdrivein_486,0.9809372,0.39000025,0.4408565461635589,0
i’ m so in love with the sonic drive-thru that i’ ve already bought two,sonicdrivein_784,0.9668022,0.39000025,0.1078710779547691,0
we’ ve all been there at some point in our lives,sonicdrivein_596,0.94404244,0.39000025,0.4591731131076813,0
when you know you’ ve gone too far but you can’ t stop,sonicdrivein_491,0.9215853,0.39000025,0.4811142385005951,0
i’ m not the only one who’ d like to get a cheeseburger and a shake,sonicdrivein_495,0.97388965,0.39000025,0.5121003985404968,1
i still can’ t decide what i want to get for my birthday so i’ m going to,sonicdrivein_496,0.9224318,0.39000025,0.7192729115486145,1
"when you’ re in the car, you’ re in the zone 🤷‍�",sonicdrivein_497,0.94960314,0.39000025,0.5226204991340637,1
is this the first time you see a pop-up in a social media app? 🤔,sonicdrivein_344,0.96992344,0.39000025,0.5257589221000671,1
what’ s your favorite thing to order at the drive thru? let us know in the comments,sonicdrivein_786,0.8010607,0.39000025,0.2344517856836319,0
what do you want to see in the app this year? vote in the poll below,sonicdrivein_832,0.95528895,0.39000025,0.0172009877860546,0
🤔🤔🤔🤔🤔🤔🤔�,sonicdrivein_505,0.86411864,0.39000025,0.412747859954834,0
"if you’ re a fan of sonic’ s slushies, you know we’ re",sonicdrivein_522,0.9297969,0.39000025,0.0697507485747337,0
it’ s halloween and we’ ve got a deal on corn dogs all day long at,sonicdrivein_1029,0.94611764,0.39000025,0.8209208846092224,1
this is what we all wanted to see this is what we all wanted to see this is what we all wanted,sonicdrivein_65,0.8968134,0.39000025,0.1449720114469528,0
if only i could go back in time and not have gotten this car,sonicdrivein_369,0.9150867,0.39000025,0.2584056556224823,0
we all have that one person in our life who always knows when we’ ve run out of gas,sonicdrivein_690,0.92704993,0.39000025,0.9099583029747008,1
we can’ t wait to share this with our friends and family this holiday season 🎄,sonicdrivein_1502,0.962606,0.39000025,0.010100026614964,0
this is the last time i’ m going to ask you to get out of the house,sonicdrivein_1594,0.97074103,0.39000025,0.1065858900547027,0
we can’ t wait to try out the new sonic drive-thru treats 🍕,sonicdrivein_152,0.9623094,0.39000025,0.0446116775274276,0
"do you want to be a tot? if you do, you ‘ll want to check this out",sonicdrivein_1220,0.9705101,0.39000025,0.4576334953308105,0
"if you think i 'm the only one who likes the new flavor, you 're wrong i 've",sonicdrivein_1017,0.74365306,0.39000025,0.094266727566719,0
let’ s see what you’ ve been cooking up for the new year 🙌,sonicdrivein_1077,0.9597331,0.39000025,0.2281262725591659,0
i 'm sorry but i 'm sure you 're wrong about this i 'm sure you 're,sonicdrivein_1094,0.84381545,0.39000025,0.1806970387697219,0
we need your help to decide if we should have a sonic drive thru or not,sonicdrivein_809,0.9674684,0.39000025,0.183325320482254,0
what if we told you there was a way to combine two of life’ s favorite foods?,sonicdrivein_189,0.955919,0.39000025,0.0197083372622728,0
it ‘s that time of year again so we ‘re giving you a little something to help you,sonicdrivein_1368,0.84969085,0.39000025,0.0173522252589464,0
is it time for a new sonic? 🤔🤔🤔🤔�,sonicdrivein_1023,0.9551646,0.39000025,0.132449597120285,0
"no matter how many times you try to get your kids to wear the right shoes, they still love them",sonicdrivein_772,0.9770711,0.39000025,0.518415093421936,1
chrissyteigen is here to answer your questions about being the only girl in the family at the drive,sonicdrivein_297,0.9202859,0.39000025,0.2173622250556945,0
"there 's a lot of people in the room, but only one girl who i 'm trying to get",sonicdrivein_898,0.9082333,0.39000025,0.1843665838241577,0
"we 've all been there, we 've all been there, we 've all been there",sonicdrivein_1358,0.93001586,0.39000025,0.8657246828079224,1
breakfastbreakfastbreakfastbreakfastbreakfastbreakfastbreakfastbreakfastbreakfastbreakfastbreakfast,sonicdrivein_313,0.9031919,0.39000025,0.051296804100275,0
it’ s time to get your wag on at your favorite @ wagamingshop �,sonicdrivein_507,0.9232711,0.39000025,0.0416860245168209,0
"when you can say `` no, no, no, no, no, no, no, no, no",sonicdrivein_2014,0.9112225,0.39000025,0.2480639517307281,0
this is my son's baseball game and he has a total of 16 people in the whole stadium,sonicdrivein_988,0.4904669,0.39000025,0.10196403414011,0
"i know you’ ve always wanted to try our new menu, but we don’ t have any",sonicdrivein_103,0.97215277,0.39000025,0.1091217696666717,0
it’ s the most wonderful time of the year 🎄 🎄 🎄 �,sonicdrivein_135,0.9366332,0.39000025,0.2374216169118881,0
"if you’ re in the mood for a drive-thru treat, we’ ve got you",sonicdrivein_363,0.9629205,0.39000025,0.0462219752371311,0
we’ ve all been there 🤷‍♀️🤷‍♀,sonicdrivein_204,0.9052976,0.39000025,0.1303926557302475,0
we all know how fast we can run when we’ re in a breakfast race,sonicdrivein_228,0.9450349,0.39000025,0.1025908216834068,0
"“ i ‘ m always on a sonic run, no matter what time of day it is ”",sonicdrivein_262,0.90307707,0.39000025,0.2683495581150055,0
let us know what you’ re listening to in the comments,sonicdrivein_268,0.88719296,0.39000025,0.0173004604876041,0
are you ready for round two? the straws are running out and everyone is fighting over them,sonicdrivein_272,0.98315364,0.39000025,0.0183522682636976,0
our first sonic drive-thru of the year 🍔🍔🍔🍔,sonicdrivein_277,0.94596195,0.39000025,0.0786463171243667,0
shoutout to all the girls out there who are still wearing sweatpants to school 🤷‍,sonicdrivein_280,0.9414415,0.39000025,0.0454471446573734,0
watch the full episode of momfessionals here 👇 watch the full episode of momfessionals here,sonicdrivein_293,0.94790727,0.39000025,0.0474673993885517,0
moments that make you proud of your kids watch the full episode of momfessionals with annalise,sonicdrivein_295,0.9347957,0.39000025,0.061289008706808,0
do you need a break from the news? we do too that’ s why we’ re making,sonicdrivein_296,0.5581975,0.39000025,0.5213245153427124,1
what do you think of the festival’ s lineup so far? let us know in the comments,sonicdrivein_302,0.86446434,0.39000025,0.0191320870071649,0
watch the all-new episode of momfessionals with amandalee watch here momfessionals,sonicdrivein_303,0.52431357,0.39000025,0.108486607670784,0
watch the full episode of momfessionals here 👉 https://www. youtube.com/ watch?,sonicdrivein_304,0.9368533,0.39000025,0.2964359521865845,0
"we all have a favorite social media influencer, and today we’ re introducing you to one of our",sonicdrivein_308,0.97130877,0.39000025,0.2737659513950348,0
choose your favorite drink from the app and it’ ll be ready to order when you are,sonicdrivein_310,0.8976766,0.39000025,0.0509259849786758,0
customize your drink with your favorite music festival musicfestivaldisco musicfestivaldisco music,sonicdrivein_311,0.87452435,0.39000025,0.0217433627694845,0
we’ ll be ready to hit the slopes in november 🌨🌨�,sonicdrivein_314,0.96261716,0.39000025,0.0816004946827888,0
is it just me or does the drive-in drive-in drive-in drive-in drive-in,sonicdrivein_316,0.89077705,0.39000025,0.4419590532779693,0
head to sonicswagshop. com to get your new sonics swag head to sonicsw,sonicdrivein_325,0.74218434,0.39000025,0.0424478612840175,0
summer is here and so is our new summer collection 🌞 head to sonicswagshop.,sonicdrivein_326,0.9660334,0.39000025,0.0147094307467341,0
summer is here and so is the new sonics collection 🎉 head to sonicswagshop,sonicdrivein_329,0.9496858,0.39000025,0.0045967190526425,0
"join us at the drive-in for the last day of the school year on sunday, september",sonicdrivein_331,0.9690983,0.39000025,0.0189012549817562,0
what’ s your favorite drive-in movie? watch the full episode of drive-in movie with j,sonicdrivein_333,0.9563003,0.39000025,0.2256697118282318,0
we want to thank you all for all the love and support you’ ve shown us over the last year,sonicdrivein_337,0.9720786,0.39000025,0.0084355026483535,0
we’ re bringing back the drive-thru for a limited time only 🔥,sonicdrivein_339,0.8763875,0.39000025,0.2415377497673034,0
this is the drink for you if you’ re looking for a summer drink that’ s safe for,sonicdrivein_341,0.7509893,0.39000025,0.0379498489201068,0
check out the link in our bio to see what we’ re talking about 🔥,sonicdrivein_342,0.92392796,0.39000025,0.0041808779351413,0
if you’ re looking for the perfect gift for the man in your life this is it,sonicdrivein_346,0.93766165,0.39000025,0.0093894666060805,0
i don’ t know why i’ m doing this to myself but i’ m going to,sonicdrivein_348,0.94541895,0.39000025,0.1403614282608032,0
"it’ s National Slurpee Day, so let’ s celebrate with a little slushy",sonicdrivein_349,0.9484507,0.39000025,0.0228394102305173,0
"no, no, no, no, no, no, no, no, no, no, no,",sonicdrivein_354,0.8671994,0.39000025,0.3990710079669952,0
today we are donating 10% of all sales to the teacher’ s union and the children’ s,sonicdrivein_359,0.9431869,0.39000025,0.0490644052624702,0
it’ s that time of year 🎉🎉🎉🎉�,sonicdrivein_362,0.8700536,0.39000025,0.0524909272789955,0
"we love hearing from you guys, so feel free to share your favorite sonic moments with us on twitter or inst",sonicdrivein_370,0.94853926,0.39000025,0.00571482302621,0
guess i’ ll just have to get used to the smell of my food 🤷‍,sonicdrivein_371,0.9535847,0.39000025,0.1355534791946411,0
we ca n’ t wait to release our first drink of the day!,sonicdrivein_375,0.92230225,0.39000025,0.0184884220361709,0
"if you’ ve ever ordered a pink lemonade at a restaurant, you know it’ s the",sonicdrivein_389,0.9529276,0.39000025,0.0019964287057518,0
what’ s your favorite summer drink? share it with us on instagram,sonicdrivein_395,0.9552364,0.39000025,0.0075612911023199,0
i can’ t believe i’ m the only one who’ ll be eating all of this,sonicdrivein_402,0.9603932,0.39000025,0.4876399040222168,0
i still can’ t figure out how to make the drive thru work 🤷‍♀,sonicdrivein_404,0.9750709,0.39000025,0.3642404079437256,0
i don’ t know why i do this to myself but i’ m gonna do it anyway,sonicdrivein_405,0.94287246,0.39000025,0.0708643496036529,0
"if you’ re looking for a way to save money on your favorite drinks, we’ ve got",sonicdrivein_409,0.9724373,0.39000025,0.1052323132753372,0
it’ s time to check out the new drive-thru menu at dashdance restaurant,sonicdrivein_411,0.97476554,0.39000025,0.0286308843642473,0
i can’ t believe it’ s the end of the drive-thru season 🍔,sonicdrivein_413,0.9754204,0.39000025,0.079321265220642,0
are you ready to take your tots game to the next level? we got you covered with our tots,sonicdrivein_418,0.64242107,0.39000025,0.0025066789239645,0
do you have any drinks that you like that i haven’ t tried yet? i’ d love,sonicdrivein_423,0.9759312,0.39000025,0.8372561931610107,1
sonic drive-in is the best drive-in in the world and we’ re here to prove,sonicdrivein_424,0.9524743,0.39000025,0.0125384544953703,0
questions? foodquestions? foodquestions? foodquestions? foodquestions? foodquestions,sonicdrivein_427,0.81264144,0.39000025,0.3354019224643707,0
what if we told you there was a way to make your life a little bit easier,sonicdrivein_428,0.96817476,0.39000025,0.2287380099296569,0
what if we told you there was a way to make your tots even tastier,sonicdrivein_430,0.9091446,0.39000025,0.3208567500114441,0
what’ s the best way to order a cheeseburger at sonic 🤷‍♀,sonicdrivein_435,0.9459891,0.39000025,0.0104833813384175,0
what do you think of the new grilled cheese sandwich? 🤔🤔🤔,sonicdrivein_445,0.9761139,0.39000025,0.0702274367213249,0
let us know what you love most about sonic drive-ins by tagging us on insta @ sonicdriveins,sonicdrivein_451,0.93449736,0.39000025,0.0106345294043421,0
it’ s the only way to get a drink at the drive-thru if you’ re,sonicdrivein_454,0.9073134,0.39000025,0.2732037305831909,0
our new sonic tumblers are here and they’ re so good we can’ t wait to,sonicdrivein_461,0.9490447,0.39000025,0.0101515157148242,0
⚡️⚡️⚡️⚡️⚡️�,sonicdrivein_462,0.86411864,0.39000025,0.1083253100514411,0
get ready for summer with the new sonics tumbler now available at sonicswagshop.com,sonicdrivein_463,0.92778724,0.39000025,0.0063713481649756,0
this is the best picture we’ ve ever taken of sonic at night sonicfanfriday,sonicdrivein_468,0.7860116,0.39000025,0.0356056503951549,0
"it ‘s the summer of sonic, and we ‘ re here to help you make the most of",sonicdrivein_470,0.95977324,0.39000025,0.0496494844555854,0
we’ ve all been there at some point in our lives,sonicdrivein_474,0.94404244,0.39000025,0.1925292462110519,0
what sonic swag are you hoping to get this holiday season? 🎄🎄🎄,sonicdrivein_477,0.9100501,0.39000025,0.0616718716919422,0
our new tic-tacs are here and they’ re so good you’ re going to,sonicdrivein_478,0.8755254,0.39000025,0.0567143522202968,0
what’ s your favorite gift this holiday season? a sonic gift card is just $ 20 and comes with,sonicdrivein_479,0.9163211,0.39000025,0.0023690105881541,0
when it’ s cold out there’ s nothing better than a warm meal from your favorite restaurant order,sonicdrivein_482,0.97515285,0.39000025,0.0773014426231384,0
