caption,image_id,fluency,diversity,humor_score,humor,b_clip,humor_score_,humor_
"if you’ re looking for a reason to get out of the house, this is it",sonicdrivein_529,0.9751595,0.47805497,0.7296894788742065,1,-9.610174,0.8642328381538391,1
when you know you’ re in the dog house you know you’ re in the dog house you,sonicdrivein_196,0.9135929,0.47805497,0.9567443132400512,1,-2.6695676,0.94680255651474,1
this is our second day in the wild and we still haven 't figured out what to do,sonicdrivein_2052,0.9712643,0.47805497,0.3890847563743591,0,-3.7584252,0.8430357575416565,1
"i 'm not trying to make you feel bad, but i 'm holding back a little bit of fruit",sonicdrivein_51,0.96442467,0.47805497,0.9251503944396972,1,-0.0011354197,0.7146108150482178,1
we can’ t stay in the car long enough to get all the food we want,sonicdrivein_163,0.9709446,0.47805497,0.753943681716919,1,-8.203431,0.3484023511409759,0
you bought this for your son you will love it he will love it you can order it online,sonicdrivein_80,0.96546,0.47805497,0.4533196687698364,0,-8.079994,0.9472122192382812,1
it’ s been a long time since we’ ve had a drink,sonicdrivein_234,0.9825727,0.47805497,0.9474286437034608,1,-8.523487,0.2227897495031356,0
"we all have those days when we need a little pick me up, so we’ ve got you covered",sonicdrivein_566,0.8557574,0.47805497,0.824264407157898,1,-9.662582,0.882660448551178,1
let’ s just say we’ re not the only ones getting ready for the new year �,sonicdrivein_283,0.97627175,0.47805497,0.3100152909755707,0,-9.216665,0.1270450055599212,0
we’ re having a drive thru happy hour today only 🤷‍♀️�,sonicdrivein_290,0.7318799,0.47805497,0.7738686800003052,1,-8.98078,0.4644962549209595,0
"when you’ re in the car, you’ re in the zone 🤷‍�",sonicdrivein_497,0.94960314,0.47805497,0.696026086807251,1,-9.831535,0.5110251307487488,1
is this the first time you see a pop-up in a social media app? 🤔,sonicdrivein_344,0.96992344,0.47805497,0.3609208464622497,0,-2.6394374,0.8682798743247986,1
we all have that one person in our life who always knows when we’ ve run out of gas,sonicdrivein_690,0.92704993,0.47805497,0.7895872592926025,1,-5.0838804,0.9802675247192384,1
let’ s see what you’ ve been cooking up for the new year 🙌,sonicdrivein_1077,0.9597331,0.47805497,0.2558987736701965,0,-8.745843,0.9790381193161012,1
it’ s the most wonderful time of the year 🎄 🎄 🎄 �,sonicdrivein_135,0.9366332,0.47805497,0.2231749296188354,0,-8.087223,0.4033291637897491,0
we’ re bringing back the drive-thru for a limited time only 🔥,sonicdrivein_339,0.8763875,0.47805497,0.1855830997228622,0,-9.210957,0.2907868325710296,0
i still can’ t figure out how to make the drive thru work 🤷‍♀,sonicdrivein_404,0.9750709,0.47805497,0.4125862419605255,0,-8.992098,0.8812059164047241,1
it’ s the only way to get a drink at the drive-thru if you’ re,sonicdrivein_454,0.9073134,0.47805497,0.2072475850582122,0,-9.107065,0.4269446134567261,0
"it ‘s the summer of sonic, and we ‘ re here to help you make the most of",sonicdrivein_470,0.95977324,0.47805497,0.0153855476528406,0,-8.901917,0.0534010306000709,0
"check out our doggo drive-in, where you can take your pup for a drive-in movie",sonicdrivein_532,0.96524775,0.47805497,0.0134117323905229,0,-8.608276,0.3810332119464874,0
what’ s your go-to drive-thru drink? 🤔,sonicdrivein_655,0.93398595,0.47805497,0.4919970035552978,0,-9.414882,0.5955280661582947,1
"siri, where are you? i told you i was going to drive you around, right? ''",sonicdrivein_743,0.92728645,0.47805497,0.8409453630447388,1,-8.240936,0.7864452600479126,1
"now thru the end of the year, you can bring your dog to any wag shop and get a free",sonicdrivein_788,0.78702,0.47805497,0.032064288854599,0,-8.643339,0.0392496325075626,0
what do you see when you look at a mozzarella stick ? it ‘s just a bunch of,sonicdrivein_789,0.9719734,0.47805497,0.2618928849697113,0,-7.7915373,0.2006005495786667,0
"we ’ t know if this is a kid or an adult, but it ’ s time for some",sonicdrivein_821,0.9341642,0.47805497,0.2045608013868332,0,-8.735652,0.5363043546676636,1
it 's been a long time since we 've all been like this,sonicdrivein_866,0.97469556,0.47805497,0.8425660729408264,1,-0.05037412,0.1439075767993927,0
it ‘s a work day so i ca n’ t really think about it but i do n,sonicdrivein_899,0.77053183,0.47805497,0.1382582336664199,0,-9.023394,0.1690339297056198,0
we’ re still trying to figure out how we’ re going to eat all of these chicken tend,sonicdrivein_952,0.98299855,0.47805497,0.7863882780075073,1,-0.12394077,0.3879680931568146,0
we 've come a long way since the first time we introduced you to the world of sonic shakes �,sonicdrivein_1022,0.9594202,0.47805497,0.9389715194702148,1,-9.077383,0.813284158706665,1
"when you’ re trying to decide what to eat, you’ ve got a lot of choices �",sonicdrivein_1069,0.9551269,0.47805497,0.915724515914917,1,-9.532301,0.5553029775619507,1
it ‘s time to celebrate the school’ s hot tub day with a drink in your mouth,sonicdrivein_1138,0.96181524,0.47805497,0.038023218512535,0,-8.915439,0.6333189010620117,1
we hope you’ re ready for the new year’ s drive-in movie night 🎥,sonicdrivein_1209,0.97398055,0.47805497,0.0054892227053642,0,-8.856486,0.0886337682604789,0
i 'm going to give this to my daughter when she 's 3 years old i 'm going to,sonicdrivein_1223,0.92740047,0.47805497,0.6989207863807678,1,-9.72558,0.7213085889816284,1
can’ t believe it’ s valentine’ s day and we’ re serving,sonicdrivein_1367,0.9338319,0.47805497,0.1479128301143646,0,-9.153423,0.1636581867933273,0
can’ t wait to see what’ s on the menu this 4th of july ?,sonicdrivein_1376,0.9736872,0.47805497,0.6733560562133789,1,-9.137119,0.8780754804611206,1
it’ s that time of the year again 🎉🎉🎉🎉,sonicdrivein_1435,0.90876174,0.47805497,0.075500838458538,0,-9.111952,0.0077169155701994,0
"if you’ re looking for something to get you through the weekend, we’ ve got you covered",sonicdrivein_1452,0.9689326,0.47805497,0.0875275209546089,0,-9.096391,0.1678760647773742,0
guess i’ m going to have to go get a sonic drive-in drink after all,sonicdrivein_1459,0.9503349,0.47805497,0.3660657107830047,0,-7.3456373,0.8317430019378662,1
this man knows a thing or two when it comes to men 's haircuts 🙌🏼,sonicdrivein_1566,0.9715433,0.47805497,0.3634493947029114,0,-0.0005775214,0.2664496600627899,0
what’ s your favorite sonic drive-in menu item? we’ re having a sonic drive-,sonicdrivein_1660,0.94857615,0.47805497,0.0112412003800272,0,-8.302794,0.1497000455856323,0
this is why we love our dad we love our dad we love our dad we love our dad we love our,sonicdrivein_1737,0.9657369,0.47805497,0.1626550555229187,0,-8.159208,0.741736114025116,1
"it’ s halloween, and this is the corn dog you’ re looking for",sonicdrivein_1755,0.9735246,0.47805497,0.3520632982254028,0,-8.471159,0.4098690152168274,0
if you’ re a fan of the slushies you’ re going to love this one �,sonicdrivein_1765,0.96146137,0.47805497,0.3502086102962494,0,-8.401154,0.0096846437081694,0
"they’ ve got corn on the cob, we’ve got corn on the floor and they�",sonicdrivein_1809,0.78629553,0.47805497,0.8352479934692383,1,-0.0005099665,0.9221274256706238,1
i did n't know where to start so i did n't know where to start but i did know i,sonicdrivein_1813,0.6852571,0.47805497,0.3830406963825226,0,-8.394683,0.028800019994378,0
what’ s your drink of choice? 🤔🤔🤔🤔�,sonicdrivein_1866,0.9670811,0.47805497,0.2504080235958099,0,-8.567456,0.1302829831838607,0
it 's been a while since we’ ve seen so many players in the river it’ s,sonicdrivein_1944,0.81005615,0.47805497,0.4975089728832245,0,-8.853109,0.3814188241958618,0
"i 'm sorry, but i 'm not ready to go back to school yet, so i 'm",sonicdrivein_2078,0.9681425,0.47805497,0.6031590104103088,1,-5.049559,0.7308037281036377,1
"i 'm sure you 're all excited to get to the end of the year, but i 'm",sonicdrivein_2080,0.96752834,0.47805497,0.1620771288871765,0,-9.438964,0.1594708412885666,0
this dog wants to be the dog of the dog of the dog of the dog of the dog of the dog,sonicdrivein_2138,0.80629766,0.47805497,0.8505061864852905,1,-9.534454,0.9649009108543396,1
what do you think of the new breakfast sandwiches at sonic? i’ m eating one right now,sonicdrivein_2168,0.9766898,0.47805497,0.6328960657119751,1,-9.534021,0.2017740607261657,0
🚨🚨🚨🚨🚨🚨🚨�,sonicdrivein_2181,0.86411864,0.47805497,0.068210445344448,0,-0.0009371418,0.0581000559031963,0
`` what 's this? '' `` what 's this? '' `` what 's this? '',sonicdrivein_2185,0.94790196,0.47805497,0.3754964172840118,0,-2.2762337,0.1494539976119995,0
"it 's been a long time since i 've thought about my son, but here he is with his",sonicdrivein_2196,0.96744686,0.47805497,0.8777452707290649,1,-0.022470271,0.7174397706985474,1
this is my son’ s first day of school and he wanted to go to sonic drive-in,sonicdrivein_2208,0.9692308,0.47805497,0.846881628036499,1,-7.857699,0.1989854425191879,0
this is what you get when you 've been forced to listen to your dad drive you around all day long,sonicdrivein_2209,0.9766117,0.47805497,0.6717002391815186,1,-8.299361,0.4614003896713257,0
