caption,image_id,fluency,diversity,humor_score,humor,benign
when you know you’ re in the dog house you know you’ re in the dog house you,sonicdrivein_196,0.9135929,0.49601415,0.9290342330932616,1,-9.506585
this is our second day in the wild and we still haven 't figured out what to do,sonicdrivein_2052,0.9712643,0.49601415,0.2353875488042831,0,-7.46158
i can’ t make this stuff up 🤷‍♀️,sonicdrivein_414,0.89597267,0.49601415,0.8067115545272827,1,-9.456612
we can make this happen we can make this happen we can make this happen we can make this happen,sonicdrivein_69,0.9462301,0.49601415,0.3135930001735687,0,-7.5514894
you bought this for your son you will love it he will love it you can order it online,sonicdrivein_80,0.96546,0.49601415,0.45451220870018,0,-9.004858
the best way to start your day is with the best drink in the world 🍸🍸�,sonicdrivein_89,0.9717872,0.49601415,0.4676993191242218,0,-9.934838
what do you think about adding a drive thru to the menu? 🤷‍♀️,sonicdrivein_780,0.96706676,0.49601415,0.4800138175487518,0,-8.033701
i’ m not the only one who thinks this is the best drink in the world,sonicdrivein_486,0.9809372,0.49601415,0.4408565461635589,0,-8.493552
when you know you’ ve gone too far but you can’ t stop,sonicdrivein_491,0.9215853,0.49601415,0.4811142385005951,0,-5.342836
is this the first time you see a pop-up in a social media app? 🤔,sonicdrivein_344,0.96992344,0.49601415,0.5257589221000671,1,-8.510755
it’ s the most wonderful time of the year 🎄 🎄 🎄 �,sonicdrivein_135,0.9366332,0.49601415,0.2374216169118881,0,-7.3870935
we’ ve all been there 🤷‍♀️🤷‍♀,sonicdrivein_204,0.9052976,0.49601415,0.1303926557302475,0,-7.2818336
customize your drink with your favorite music festival musicfestivaldisco musicfestivaldisco music,sonicdrivein_311,0.87452435,0.49601415,0.0217433627694845,0,-6.6293097
is it just me or does the drive-in drive-in drive-in drive-in drive-in,sonicdrivein_316,0.89077705,0.49601415,0.4419590532779693,0,-9.087227
we’ re bringing back the drive-thru for a limited time only 🔥,sonicdrivein_339,0.8763875,0.49601415,0.2415377497673034,0,-0.0009495279
"it ‘s the summer of sonic, and we ‘ re here to help you make the most of",sonicdrivein_470,0.95977324,0.49601415,0.0496494844555854,0,-8.679799
our new tic-tacs are here and they’ re so good you’ re going to,sonicdrivein_478,0.8755254,0.49601415,0.0567143522202968,0,-4.216605
"check out our doggo drive-in, where you can take your pup for a drive-in movie",sonicdrivein_532,0.96524775,0.49601415,0.0361537486314773,0,-9.40736
did you know we now have a dog wag shop? 🐶 🐶 🐶 �,sonicdrivein_543,0.9301241,0.49601415,0.2138892114162445,0,-9.686949
let’ s take a closer look at the new cravings coming soon to the cravings menu �,sonicdrivein_556,0.67209023,0.49601415,0.0596749223768711,0,-8.85635
we’ ve all been there we’ ve all ordered the same thing 🤷‍�,sonicdrivein_594,0.7924786,0.49601415,0.0634573101997375,0,-9.609896
when was the first time you heard the sound of the ringer? it ‘s the sound of a,sonicdrivein_614,0.95900667,0.49601415,0.428581029176712,0,-9.4415
what’ s your go-to drive-thru drink? 🤔,sonicdrivein_655,0.93398595,0.49601415,0.6504597067832947,1,-6.121105
"siri, where are you? i told you i was going to drive you around, right? ''",sonicdrivein_743,0.92728645,0.49601415,0.6656250953674316,1,-6.809084
what do you see when you look at a mozzarella stick ? it ‘s just a bunch of,sonicdrivein_789,0.9719734,0.49601415,0.0891463384032249,0,-1.5778583
"we’ re having a drive-in movie night tonight, what’ s your favorite drive-in",sonicdrivein_791,0.8850128,0.49601415,0.1696384847164154,0,-7.9373894
this is why i’ m still a little kid i’ m not sure what i’ m,sonicdrivein_842,0.5884317,0.49601415,0.4850046932697296,0,-7.638525
what’ s your favorite sonic flavor? i’ m here to help you figure it out,sonicdrivein_877,0.97925055,0.49601415,0.1345543712377548,0,-7.206455
summer is in full swing and this is the soundtrack to my day,sonicdrivein_926,0.9539705,0.49601415,0.0516902431845665,0,-8.454034
we’ re still trying to figure out how we’ re going to eat all of these chicken tend,sonicdrivein_952,0.98299855,0.49601415,0.6865145564079285,1,-8.863529
it 's been a while since you 've had the chance to try the new frozen drink we 've,sonicdrivein_1084,0.97021896,0.49601415,0.1251225620508194,0,-5.9895372
we’ re not the only ones who like to dip our fries in our drink 🍟,sonicdrivein_1102,0.9618451,0.49601415,0.2899390757083893,0,-9.603456
it ‘s time to celebrate the school’ s hot tub day with a drink in your mouth,sonicdrivein_1138,0.96181524,0.49601415,0.0246982965618371,0,-8.904881
"it ‘s time for you to try the blue raspberry slushie, it ‘s delicious",sonicdrivein_1197,0.9358769,0.49601415,0.0689755231142044,0,-9.047859
we’ ve all been there 🤷‍♂️ we’ ve all been there,sonicdrivein_1221,0.9166955,0.49601415,0.045429166406393,0,-7.402219
what is the best way to get all your friends together for a girls day out?,sonicdrivein_1254,0.96807843,0.49601415,0.1644656956195831,0,-9.351882
can’ t believe it’ s valentine’ s day and we’ re serving,sonicdrivein_1367,0.9338319,0.49601415,0.1930682361125946,0,-6.574854
guess i’ m going to have to go get a sonic drive-in drink after all,sonicdrivein_1459,0.9503349,0.49601415,0.2557293474674225,0,-8.493217
we can’ t wait to see all the fans at the sonic drive-in this weekend 🤩,sonicdrivein_1471,0.9722076,0.49601415,0.0675219893455505,0,-7.9909782
this man knows a thing or two when it comes to men 's haircuts 🙌🏼,sonicdrivein_1566,0.9715433,0.49601415,0.575920820236206,1,-8.55507
this one’ s for all you dog owners out there looking for a sonic buddy we’ ve got,sonicdrivein_1623,0.6319054,0.49601415,0.0780116245150566,0,-9.469459
"if you’ re in the mood for a shake, we got you covered 🍕",sonicdrivein_1635,0.9491299,0.49601415,0.057046603411436,0,-9.658383
who’ s next? 🤔🤔🤔🤔🤔�,sonicdrivein_1666,0.944193,0.49601415,0.3755115568637848,0,-6.98322
you don’ t know if you like them or not until you try ’ em all together,sonicdrivein_1729,0.9084001,0.49601415,0.4008290767669678,0,-8.962257
this is why we love our dad we love our dad we love our dad we love our dad we love our,sonicdrivein_1737,0.9657369,0.49601415,0.1619795709848404,0,-5.6720686
"it’ s halloween, and this is the corn dog you’ re looking for",sonicdrivein_1755,0.9735246,0.49601415,0.4976269006729126,0,-7.7686515
if you’ re a fan of the slushies you’ re going to love this one �,sonicdrivein_1765,0.96146137,0.49601415,0.2076535671949386,0,-8.974885
what’ s the one thing you can’ t live without this holiday season?,sonicdrivein_1778,0.9520491,0.49601415,0.2944861054420471,0,-7.767277
"this is the answer to the question, “ how do you pick a phone? ”",sonicdrivein_1849,0.95160973,0.49601415,0.4380767047405243,0,-6.633035
what’ n’ t you love about our shakes? 🍦🍦🍦,sonicdrivein_1854,0.9045398,0.49601415,0.7305841445922852,1,-8.693384
please help us get this drink back in stock now! 💦💦💦,sonicdrivein_1996,0.9335145,0.49601415,0.1344464272260666,0,-8.871635
"i 'm sorry, but i 'm not ready to go back to school yet, so i 'm",sonicdrivein_2078,0.9681425,0.49601415,0.6279332637786865,1,-8.355968
hannah is going to be the first person in her family to go to a music festival this year and she,sonicdrivein_2095,0.95640326,0.49601415,0.5750784873962402,1,-7.1911097
