caption,image_id,fluency,diversity,humor_score,humor,benign
"if you’ re looking for a reason to get out of the house, this is it",sonicdrivein_529,0.9751595,0.49941888,0.7296894788742065,1,-7.1935744
when you know you’ re in the dog house you know you’ re in the dog house you,sonicdrivein_196,0.9135929,0.49941888,0.9567443132400512,1,-8.416935
we can make this happen we can make this happen we can make this happen we can make this happen,sonicdrivein_69,0.9462301,0.49941888,0.1139332875609397,0,-9.138273
we can’ t stay in the car long enough to get all the food we want,sonicdrivein_163,0.9709446,0.49941888,0.753943681716919,1,-9.239105
you bought this for your son you will love it he will love it you can order it online,sonicdrivein_80,0.96546,0.49941888,0.4533196687698364,0,-8.673104
let’ s just say we’ re not the only ones getting ready for the new year �,sonicdrivein_283,0.97627175,0.49941888,0.3100152909755707,0,-7.9436107
if you 're looking for something to put on your mantle this is what you 're looking for,sonicdrivein_91,0.95148474,0.49941888,0.6377496123313904,0,-9.845468
this is the breakfast of champions it 's a mix of the ice cream and the frozen drinks,sonicdrivein_742,0.80633146,0.49941888,0.2529076933860779,0,-0.05037412
when you know you’ ve gone too far but you can’ t stop,sonicdrivein_491,0.9215853,0.49941888,0.3298625648021698,0,-8.825123
what’ s your favorite thing to order at the drive thru? let us know in the comments,sonicdrivein_786,0.8010607,0.49941888,0.133669912815094,0,-9.336817
let’ s see what you’ ve been cooking up for the new year 🙌,sonicdrivein_1077,0.9597331,0.49941888,0.2558987736701965,0,-8.886791
i 'm sorry but i 'm sure you 're wrong about this i 'm sure you 're,sonicdrivein_1094,0.84381545,0.49941888,0.6825339794158936,1,-4.568478
customize your drink with your favorite music festival musicfestivaldisco musicfestivaldisco music,sonicdrivein_311,0.87452435,0.49941888,0.0047654993832111,0,-7.537356
head to sonicswagshop. com to get your new sonics swag head to sonicsw,sonicdrivein_325,0.74218434,0.49941888,0.0139022218063473,0,-0.0007921895
we’ re bringing back the drive-thru for a limited time only 🔥,sonicdrivein_339,0.8763875,0.49941888,0.1855830997228622,0,-2.2016678
it’ s the only way to get a drink at the drive-thru if you’ re,sonicdrivein_454,0.9073134,0.49941888,0.2072475850582122,0,-8.649438
"it ‘s the summer of sonic, and we ‘ re here to help you make the most of",sonicdrivein_470,0.95977324,0.49941888,0.0153855476528406,0,-9.056454
"check out our doggo drive-in, where you can take your pup for a drive-in movie",sonicdrivein_532,0.96524775,0.49941888,0.0134117323905229,0,-9.752763
are you ready for the new year? we’ re kicking off the season with a new sonic wag,sonicdrivein_546,0.96816224,0.49941888,0.0126465493813157,0,-9.1084
let’ s take a closer look at the new cravings coming soon to the cravings menu �,sonicdrivein_556,0.67209023,0.49941888,0.0937984362244606,0,-7.916903
"so i 'm going to start off today 's show by saying, `` oh, i 'm so",sonicdrivein_558,0.9470098,0.49941888,0.6915608048439026,1,-9.292603
we’ ve all been there we’ ve all ordered the same thing 🤷‍�,sonicdrivein_594,0.7924786,0.49941888,0.3382306098937988,0,-8.711202
what’ s your go-to drive-thru drink? 🤔,sonicdrivein_655,0.93398595,0.49941888,0.4919970035552978,0,-7.5527225
"siri, where are you? i told you i was going to drive you around, right? ''",sonicdrivein_743,0.92728645,0.49941888,0.8409453630447388,1,-7.233781
"now thru the end of the year, you can bring your dog to any wag shop and get a free",sonicdrivein_788,0.78702,0.49941888,0.032064288854599,0,-8.907169
"we’ re having a drive-in movie night tonight, what’ s your favorite drive-in",sonicdrivein_791,0.8850128,0.49941888,0.0898487120866775,0,-8.291353
"the next time i go to the store, i 'm going to try something different, i 'm going",sonicdrivein_830,0.95278966,0.49941888,0.6319349408149719,0,-9.409944
it 's been a long time since we 've all been like this,sonicdrivein_866,0.97469556,0.49941888,0.8425660729408264,1,-9.177912
summer is in full swing and this is the soundtrack to my day,sonicdrivein_926,0.9539705,0.49941888,0.0352369844913482,0,-9.492057
we’ re still trying to figure out how we’ re going to eat all of these chicken tend,sonicdrivein_952,0.98299855,0.49941888,0.7863882780075073,1,-6.6759233
