train_F,test_F,save
7985.548387096775,7982.933333333333,V
7986.064516129032,8000.0, 
7989.1612903225805,7989.333333333333, 
7982.967741935484,7987.2, 
7982.967741935484,7993.6, 
7991.225806451613,7989.333333333333, 
7983.4838709677415,7985.066666666667, 
7988.129032258064,7987.2, 
7991.225806451613,7985.066666666667, 
7982.451612903225,7985.066666666667, 
7993.806451612903,7995.733333333334, 
7986.064516129032,7991.466666666666, 
7987.096774193548,7985.066666666667, 
7985.548387096775,7989.333333333333, 
