con_loss,unc_loss,fc_loss
0.69140625,0.6328125,0.07861328125
0.69921875,0.64453125,0.04931640625
0.69140625,0.7421875,0.111328125
0.68359375,0.7734375,0.1044921875
0.78515625,0.640625,0.035888671875
0.87890625,0.6484375,0.0439453125
0.72265625,0.984375,0.052001953125
0.6640625,0.68359375,0.05712890625
0.734375,0.65625,0.03076171875
0.7734375,0.703125,0.2177734375
0.8046875,0.7890625,0.057861328125
0.78515625,0.765625,0.06591796875
0.6015625,0.62109375,0.0390625
0.65234375,0.578125,0.044189453125
0.66015625,0.640625,0.0206298828125
0.6328125,0.5,0.05517578125
0.65234375,0.671875,0.07177734375
0.78515625,0.59765625,0.0703125
0.69921875,0.71875,0.083984375
0.703125,0.75390625,0.045166015625
0.73046875,0.62890625,0.06640625
0.71484375,0.56640625,0.076171875
0.78515625,0.7109375,0.051513671875
