bleu_threshold,trainData_size,testData_size,train_loss,test_loss,train_bleu,test_bleu,save
0.05,161134,40316,2.73345953326713,2.6343245967741935,0.19168729052879793,0.010592881665899232,V
0.05,161134,40316,2.361033798566286,2.381083281637717,0.1614448857994042,0.017632446305797547,V
0.05,161134,40316,2.300572263685452,2.301593517369727,0.13662031793073484,0.018668447427779022,V
0.05,161134,40316,2.2702993110724927,2.2755176023573203,0.1348110104270111,0.022258193017714183,V
0.05,161134,40316,2.2540720813679247,2.2653439050868487,0.13443881113455844,0.023348666758662758,V
0.05,161134,40316,2.2394066728214996,2.2512329404466502,0.13449651269240312,0.024155201973245163,V
0.05,161134,40316,2.2276583447120157,2.244494416873449,0.13448225701340624,0.024470802709386095,V
0.05,161134,40316,2.219690195971946,2.244690214019851,0.1345450013964746,0.023914501088184107, 
0.05,161134,40316,2.2137537239324727,2.238015663771712,0.13463586922790488,0.02308141047185533,V
0.05,161134,40316,2.209591453574975,2.234805366004963,0.13448458447120118,0.026015782364841915,V
0.05,161134,40316,2.201929268557597,2.230767292183623,0.13455198376986122,0.026560849008381942,V
0.05,161134,40316,2.199053403519116,2.2434029931761788,0.13454267393867916,0.030023264851481327, 
0.05,161134,40316,2.193296824571748,2.2466443083126553,0.1342315704133562,0.027552931581321063, 
0.05,161134,40316,2.190349681138282,2.236685794044665,0.1344267859359485,0.027959093046494986, 
0.05,161134,40316,2.1855919694947863,2.237899348635236,0.134638778550149,0.02819707030060769, 
