train_G,train_D,test_G,test_D,save
3.805224609375,2.895859375,2.9413671875,2.90203125,V
2.806015625,2.896298828125,2.68890625,2.901171875,V
2.6384130859375,2.8955859375,2.60203125,2.8980859375,V
2.5701025390625,2.896162109375,2.5821875,2.9009765625,V
2.5425732421875,2.89572265625,2.5309375,2.9003515625,V
2.5266455078125,2.8955078125,2.51734375,2.8991796875,V
2.506650390625,2.8955078125,2.50171875,2.8978515625,V
2.4856884765625,2.895166015625,2.50484375,2.8987109375, 
2.496494140625,2.89642578125,2.486484375,2.899140625,V
2.4792236328125,2.89603515625,2.47283203125,2.898203125,V
2.4700732421875,2.8959765625,2.4669921875,2.8986328125,V
2.47318359375,2.89587890625,2.4794921875,2.9008203125, 
2.4574658203125,2.89484375,2.48658203125,2.8994140625, 
2.4602685546875,2.8967578125,2.4653125,2.9024609375,V
2.4520654296875,2.894267578125,2.44779296875,2.8984765625,V
