image_id,caption,humor_score,humor
mcdonalds_switzerland_586,"tasty, trendy, and definitely not for everyone ... but for the pros, this is the mcdo menu for you.",1.233592950011797e-10,0
mcdonalds_switzerland_16,a picture of a happy face.,0.9980231523513794,1
mcdonalds_switzerland_271,which one is your favorite? 🍔 🍟 🥤 happy mealday to all of you !# mcdonalds# mcdo# happy# meal# mcdonaldsaddiction# mcdonaldslove# mcfamily# mcdonaldsswitzerland# freedonutland# freedoliveathena#,2.0107713680772576e-06,0
mcdonalds_switzerland_1985,"a few hours ago, we woke up to the world famous mcdonald’ s sunset offers in the app.",5.662040836185156e-10,0
mcdonalds_switzerland_696,i 'm lovin' it.,4.2847064785078715e-10,0
mcdonalds_switzerland_1842,"do you know switzerland as well as you think? if so, can you tell me where this mcdonald’ s restaurant is located? 📍# swissmcdelivery# food# mundlive# mcdonalds# burger# mundano# burgerland# mundano-les-deux-les#",2.3523551107018648e-08,0
mcdonalds_switzerland_673,people who wear our hats are always in a mood for a chocolate dessert.,1.4206989362719469e-05,0
mcdonalds_switzerland_712,what do you think? will you try it? or will you just eat it? 😉# mcdonalds# mcdo# food# meat# veggie# foodie# foodie# foodiexchange# foodie# funny# funny# video# funny# video# video# funny# linkin# bern,6.029723209621807e-08,0
mcdonalds_switzerland_725,"no doubt, you already know the difference between a good and a bad burger.",5.235922344581923e-07,0
mcdonalds_switzerland_904,"so yummy, so delicious and so delicious 😉.",0.897646963596344,1
mcdonalds_switzerland_681,when you think about the pros and cons of using a sweet tooth as a topping for your burgers.,2.8145934471979217e-09,0
mcdonalds_switzerland_1037,summer is calling for# summertime.,1.5571465610264568e-06,0
mcdonalds_switzerland_2039,chickpea salad with# mcdonalds# mcdo# salad# fruit# salad# navel# salad# navela# salad# navela# salad# navela# salad# navela# salad# navela# salad# navela# salad# navela# salad#,2.6768235329655e-05,0
mcdonalds_switzerland_721,i know you were thinking of something when you were in the mood for a burger .. but i 'm not kidding.,5.1955885282950476e-05,0
mcdonalds_switzerland_1056,"the one and only christmas martin’ s ✨ who enjoys sharing his or her favorite mcdonald’ s burger with his buddies? thanks for the video,@ mcdonalds_switzerland# mcdonalds# mcdo# christmas# christmas# christmas# christmas# christmas# christmas",5.234513933416451e-10,0
mcdonalds_switzerland_163,"when you lose your cool at the phone, you always forget that it 's you who calls me 🍔 🍟 🥤.",0.9978793859481812,1
mcdonalds_switzerland_481,we 're there for you ... ☀️🍔 🍟 🥤# mcdo# spacekatydoun# youlivewedeliver@ xavier.,0.18136224150657654,0
mcdonalds_switzerland_205,what a refreshingly sweet mccafé 😎 🤩 i 'm sure you already know the scent of mcflurry in your mouth.,3.640922727754514e-07,0
mcdonalds_switzerland_262,"morning coffee, a breakfast and a mccafe.",0.00429198844358325,0
mcdonalds_switzerland_419,i know some people who would never leave their candles on the table 😍😍# sunset# food# sunset# love# drink# sunset# sunset# calendarday# mcdonalds# mcdo# sunset# menu# sunset# calendarday# sunset# bestoftheday# mindful # mindfulmessaging# bestofchrist,1.0285276630384033e-06,0
