bleu_threshold,trainData_size,testData_size,train_loss,test_loss,train_bleu,test_bleu,save
0.05,40875,10176,5.555494371023006,5.013841043307087,0.1289334006363189,0.06430087352362206,V
0.05,40875,10176,4.675507831620166,4.819728100393701,0.13467633382280972,0.06468227116141725,V
0.05,40875,10176,4.52129221732746,4.760765255905512,0.12475449706314269,0.06484836368110239,V
0.05,40875,10176,4.460673641703377,4.723209891732283,0.11804637787567326,0.0652697465551181,V
0.05,40875,10176,4.425324278022516,4.6798720472440944,0.11378563999021031,0.06742433562992126,V
0.05,40875,10176,4.402770129711209,4.676980807086614,0.11228279490944686,0.06768270177165345,V
0.05,40875,10176,4.384506546744983,4.6592642716535435,0.11040557697014189,0.06797336368110236,V
0.05,40875,10176,4.369187469407733,4.636749507874016,0.10860025085658344,0.06814253198818902,V
0.05,40875,10176,4.3548932329907,4.621585875984252,0.10730199155653462,0.06819943405511818,V
0.05,40875,10176,4.345432574645129,4.618971456692913,0.10702283712677432,0.06844242125984255,V
0.05,40875,10176,4.335375367107195,4.606791338582677,0.106736417033774,0.06847625492125986,V
0.05,40875,10176,4.3262435756240825,4.59744094488189,0.10641978707782648,0.06869771161417317,V
0.05,40875,10176,4.316951174743025,4.595841535433071,0.10663699216838,0.06875461368110232,V
0.05,40875,10176,4.309547846304454,4.590397391732283,0.10661213595203153,0.06881305364173224,V
0.05,40875,10176,4.301938020068527,4.572711614173229,0.10605841593245222,0.06896991879921258,V
0.05,40875,10176,4.294718245227607,4.578678641732283,0.10611921806167388,0.0687853715551181, 
0.05,40875,10176,4.287980298580519,4.565206692913386,0.10666911404796861,0.06879459891732277,V
0.05,40875,10176,4.281601811062163,4.544968011811024,0.10674635952031337,0.06948665108267721,V
0.05,40875,10176,4.277097099853157,4.548351377952756,0.10657657244248661,0.06951433316929131, 
0.05,40875,10176,4.269158406754772,4.539093257874016,0.10664655225159085,0.06963890255905515,V
0.05,40875,10176,4.26568618453255,4.543522391732283,0.10723468857072928,0.06957738681102367, 
0.05,40875,10176,4.261387971120901,4.511841781496063,0.10733373103279505,0.0703078863188976,V
0.05,40875,10176,4.254787689672051,4.537124753937008,0.10758764684287811,0.07012949064960636, 
0.05,40875,10176,4.250856583455702,4.497846948818897,0.10767062836514904,0.07134288877952749,V
0.05,40875,10176,4.24651248164464,4.514640748031496,0.10806488619676963,0.07065237450787405, 
0.05,40875,10176,4.240631118453255,4.517901082677166,0.10795054760156639,0.07050781249999998, 
0.05,40875,10176,4.237403634361233,4.492741141732283,0.10752952153695552,0.07137057086614179,V
0.05,40875,10176,4.2341379099363685,4.481083907480315,0.10785609397944193,0.07170121801181108,V
0.05,40875,10176,4.231124571708272,4.477669783464567,0.10732072931962804,0.07173505167322836,V
0.05,40875,10176,4.226443954968184,4.4570927657480315,0.10745189366128235,0.07198111466535441,V
0.05,40875,10176,4.2241648311306905,4.467273622047244,0.10808400636319114,0.07186423474409452, 
0.05,40875,10176,4.219025330396476,4.444328248031496,0.10823390846793936,0.07226254921259849,V
0.05,40875,10176,4.216325562897699,4.46875,0.10845034875183548,0.07205031988188974, 
0.05,40875,10176,4.213228095937347,4.470441683070866,0.10791001284875164,0.0719580462598425, 
0.05,40875,10176,4.210566568771415,4.448911171259843,0.10812989476260407,0.07218411663385836, 
