train_G,train_D,test_G,test_D,save
14.6096875,1.90908203125,13.719375,1.8626171875,V
13.603984375,1.861298828125,13.34171875,1.855546875,V
13.4287109375,1.8533203125,13.22609375,1.8475,V
13.388203125,1.85138671875,13.21109375,1.847109375,V
13.30859375,1.84849609375,12.97265625,1.842578125,V
13.1797265625,1.842109375,13.53046875,1.8439453125, 
13.1840625,1.844443359375,13.0725,1.8460546875, 
13.196640625,1.8451171875,13.115,1.843203125, 
13.1876171875,1.846025390625,13.130625,1.848828125, 
13.1744921875,1.8424609375,12.78484375,1.8412109375,V
13.2413671875,1.8408984375,12.89359375,1.8442578125, 
13.2228125,1.842275390625,13.00859375,1.8362109375,V
13.2326953125,1.846318359375,13.15484375,1.8406640625, 
13.178046875,1.842607421875,13.14375,1.840625, 
13.1205078125,1.8424609375,12.97453125,1.839609375, 
13.293046875,1.842158203125,12.99796875,1.842578125, 
13.1758984375,1.84185546875,13.09109375,1.84234375, 
