d_con_r2f_loss,d_con_f2r_loss,d_con_f_loss,d_con_m_loss,d_unc_r_loss,d_unc_f_loss,d_unc_m_loss
0.232421875,40.75,4.3125,0.70703125,0.6796875,2.71875,0.71484375
0.30078125,18.5,4.1875,0.6484375,0.66796875,2.21875,0.72265625
0.3203125,0.98828125,4.09375,0.6484375,0.66796875,2.640625,0.7265625
0.2890625,2.8125,3.84375,0.66015625,0.6953125,2.3125,0.69921875
0.443359375,4.4375,3.578125,0.6171875,0.640625,2.109375,0.76171875
0.48828125,5.71875,3.15625,0.6953125,0.6796875,2.015625,0.71875
0.462890625,6.84375,2.734375,0.67578125,0.64453125,1.8125,0.75
0.3984375,7.8125,2.21875,0.69921875,0.671875,1.75,0.72265625
0.283203125,8.625,1.640625,0.64453125,0.66796875,1.359375,0.72265625
0.34765625,9.3125,1.03125,0.72265625,0.69140625,1.15625,0.69921875
0.208984375,9.8125,0.431640625,0.66015625,0.6640625,0.77734375,0.73046875
0.26953125,10.1875,5.375,0.62890625,0.6640625,0.4921875,0.7265625
0.302734375,10.5,1.203125,0.59765625,0.69921875,0.30859375,0.69921875
0.296875,10.75,2.234375,0.6875,0.69140625,0.65234375,0.69921875
0.244140625,10.875,2.953125,0.62109375,0.6875,0.57421875,0.70703125
0.21484375,11.0,3.40625,0.6171875,0.6953125,0.43359375,0.69921875
0.240234375,11.0,3.625,0.671875,0.69140625,0.296875,0.69921875
0.2265625,11.0,3.75,0.6796875,0.69140625,0.2890625,0.703125
0.205078125,10.9375,3.796875,0.69140625,0.67578125,0.3125,0.71484375
0.208984375,10.9375,3.796875,0.66015625,0.6640625,0.30078125,0.73046875
0.2236328125,10.875,3.796875,0.72265625,0.69921875,0.337890625,0.6953125
0.23828125,10.8125,3.75,0.609375,0.66015625,0.306640625,0.734375
0.23828125,10.6875,3.625,0.66796875,0.66796875,0.3203125,0.7265625
0.2177734375,10.5,3.5,0.7109375,0.69140625,0.306640625,0.703125
0.201171875,10.375,3.21875,0.72265625,0.6875,0.2197265625,0.703125
0.265625,10.125,2.96875,0.6484375,0.6640625,0.44921875,0.734375
0.2041015625,9.875,2.609375,0.671875,0.65234375,0.1962890625,0.74609375
0.2265625,9.625,2.109375,0.6953125,0.6875,0.330078125,0.70703125
0.2421875,9.1875,1.6875,0.71484375,0.67578125,0.26953125,0.71484375
0.2109375,8.875,1.0625,0.671875,0.6640625,0.2060546875,0.7265625
0.208984375,8.625,0.51171875,0.6640625,0.66015625,0.244140625,0.734375
0.244140625,8.125,3.109375,0.6015625,0.671875,0.255859375,0.71875
0.2265625,7.8125,1.0546875,0.6875,0.6640625,0.279296875,0.734375
0.232421875,7.34375,1.921875,0.6875,0.69921875,0.271484375,0.6953125
0.2314453125,7.0,2.46875,0.71484375,0.6875,0.220703125,0.703125
0.2158203125,6.59375,2.90625,0.703125,0.6796875,0.2197265625,0.7109375
0.240234375,6.28125,3.09375,0.6875,0.69140625,0.259765625,0.69921875
0.2314453125,5.9375,3.15625,0.69140625,0.6875,0.21484375,0.703125
0.2177734375,5.53125,3.21875,0.5859375,0.68359375,0.2119140625,0.7109375
0.248046875,5.21875,3.21875,0.57421875,0.65234375,0.20703125,0.7421875
0.2119140625,4.8125,3.140625,0.65234375,0.67578125,0.220703125,0.71484375
0.2080078125,4.4375,3.03125,0.6484375,0.703125,0.2158203125,0.69140625
0.228515625,4.03125,2.875,0.6953125,0.67578125,0.2197265625,0.71484375
0.20703125,3.578125,2.5625,0.60546875,0.66796875,0.2158203125,0.7265625
0.212890625,3.140625,2.234375,0.703125,0.70703125,0.2412109375,0.6875
0.23828125,2.734375,1.875,0.67578125,0.66796875,0.2080078125,0.72265625
0.21875,2.21875,1.4296875,0.72265625,0.65234375,0.1923828125,0.74609375
0.201171875,1.7109375,0.9375,0.65234375,0.69140625,0.1904296875,0.703125
0.212890625,1.234375,0.33984375,0.62890625,0.6875,0.2236328125,0.703125
0.2080078125,0.75390625,4.375,0.609375,0.6875,0.21484375,0.70703125
0.2421875,0.251953125,1.1953125,0.6484375,0.6796875,0.2041015625,0.7109375
0.263671875,3.203125,2.34375,0.73046875,0.69921875,0.224609375,0.6953125
0.2080078125,0.22265625,3.15625,0.6796875,0.67578125,0.19140625,0.71875
0.27734375,0.6015625,3.671875,0.6484375,0.66015625,0.2080078125,0.734375
0.2060546875,0.8046875,4.0,0.6875,0.68359375,0.1904296875,0.71484375
0.23828125,0.9453125,4.125,0.63671875,0.6875,0.1953125,0.703125
0.287109375,1.140625,4.21875,0.65234375,0.67578125,0.212890625,0.71484375
0.2421875,0.9921875,4.21875,0.73046875,0.6640625,0.2099609375,0.73046875
0.2490234375,1.0234375,4.25,0.66796875,0.65234375,0.2041015625,0.7421875
0.212890625,0.92578125,4.21875,0.71875,0.69921875,0.2041015625,0.69140625
0.21484375,0.9765625,4.125,0.69921875,0.67578125,0.2099609375,0.7265625
0.2470703125,1.0546875,3.96875,0.65625,0.6640625,0.2080078125,0.734375
0.2734375,0.9921875,3.90625,0.6875,0.69140625,0.236328125,0.703125
0.21484375,0.703125,3.671875,0.6484375,0.68359375,0.1953125,0.7109375
0.212890625,0.6171875,3.34375,0.69921875,0.66796875,0.20703125,0.72265625
0.234375,0.462890625,3.015625,0.65625,0.640625,0.203125,0.7578125
0.23046875,0.2236328125,2.640625,0.703125,0.671875,0.2041015625,0.72265625
0.2158203125,0.78515625,2.1875,0.67578125,0.6953125,0.2080078125,0.6953125
0.228515625,0.26953125,1.7265625,0.6484375,0.703125,0.201171875,0.69140625
0.25,0.31640625,1.2578125,0.62890625,0.70703125,0.197265625,0.6875
0.23046875,0.38671875,0.78515625,0.6640625,0.671875,0.185546875,0.71875
0.216796875,0.373046875,0.244140625,0.66015625,0.69140625,0.224609375,0.69921875
0.2373046875,0.37890625,5.5625,0.671875,0.67578125,0.2177734375,0.71875
0.255859375,0.302734375,0.78125,0.71484375,0.69921875,0.24609375,0.6953125
0.26171875,0.296875,1.546875,0.68359375,0.67578125,0.2265625,0.71875
0.2353515625,0.23046875,2.0625,0.703125,0.69140625,0.1982421875,0.703125
0.201171875,0.2490234375,2.359375,0.6875,0.6875,0.197265625,0.70703125
0.22265625,0.2001953125,2.46875,0.6953125,0.69921875,0.212890625,0.6953125
0.2197265625,0.21484375,2.53125,0.69140625,0.671875,0.18359375,0.72265625
0.2421875,0.216796875,2.515625,0.59375,0.66015625,0.208984375,0.734375
0.224609375,0.2080078125,2.53125,0.625,0.6640625,0.208984375,0.7265625
0.2197265625,0.201171875,2.53125,0.67578125,0.640625,0.22265625,0.7578125
0.212890625,0.2138671875,2.53125,0.6328125,0.6640625,0.205078125,0.7265625
0.203125,0.35546875,2.453125,0.66015625,0.66796875,0.19921875,0.72265625
0.220703125,0.2041015625,2.328125,0.63671875,0.6875,0.2099609375,0.703125
0.216796875,0.251953125,2.15625,0.65234375,0.69140625,0.17578125,0.703125
0.2080078125,0.283203125,1.9609375,0.6875,0.69921875,0.189453125,0.6953125
0.2021484375,0.275390625,1.703125,0.6875,0.65234375,0.212890625,0.7421875
0.21484375,0.328125,1.3671875,0.6640625,0.65625,0.2158203125,0.7421875
0.20703125,0.234375,0.9375,0.67578125,0.66015625,0.201171875,0.734375
0.2060546875,0.2216796875,0.58203125,0.68359375,0.69921875,0.1923828125,0.6953125
0.21875,0.2021484375,0.30078125,0.64453125,0.6640625,0.22265625,0.7265625
0.2236328125,0.2001953125,1.125,0.66015625,0.69921875,0.2109375,0.6953125
0.2314453125,0.2265625,0.76953125,0.6484375,0.6953125,0.189453125,0.6953125
0.208984375,0.390625,1.2265625,0.65234375,0.68359375,0.2099609375,0.70703125
0.216796875,0.212890625,1.5078125,0.69140625,0.6953125,0.2197265625,0.6953125
0.216796875,0.2734375,1.6484375,0.69921875,0.6484375,0.1982421875,0.75
0.21484375,0.291015625,1.75,0.64453125,0.703125,0.216796875,0.6875
0.2080078125,0.30078125,1.75,0.69140625,0.7109375,0.2060546875,0.6796875
0.20703125,0.30078125,1.75,0.66796875,0.67578125,0.208984375,0.71484375
0.2216796875,0.345703125,1.765625,0.67578125,0.63671875,0.2001953125,0.76171875
0.2138671875,0.2734375,1.7265625,0.67578125,0.6953125,0.1826171875,0.6953125
0.2138671875,0.232421875,1.640625,0.59765625,0.6796875,0.19140625,0.70703125
0.2421875,0.28515625,1.5234375,0.703125,0.6875,0.201171875,0.703125
0.234375,0.2158203125,1.28125,0.6796875,0.671875,0.1865234375,0.72265625
0.2119140625,0.98828125,1.0546875,0.68359375,0.6875,0.1904296875,0.70703125
0.2578125,0.2890625,0.7265625,0.6875,0.6796875,0.2119140625,0.71484375
0.203125,0.42578125,0.39453125,0.67578125,0.6953125,0.1982421875,0.69921875
0.2421875,0.6640625,0.41015625,0.67578125,0.66796875,0.20703125,0.72265625
0.232421875,0.6484375,0.470703125,0.65234375,0.6796875,0.234375,0.71484375
0.2314453125,0.69140625,0.2470703125,0.65625,0.671875,0.18359375,0.72265625
0.22265625,0.6796875,0.306640625,0.7109375,0.6796875,0.1806640625,0.7109375
0.2158203125,0.64453125,0.380859375,0.61328125,0.6875,0.1943359375,0.703125
0.216796875,0.69140625,0.39453125,0.609375,0.65625,0.2138671875,0.73828125
0.2216796875,0.7421875,0.41796875,0.6171875,0.6796875,0.2099609375,0.71484375
