,image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
61,sonicdrivein_135,it’ s time for us to get down to our own sonic and get our sonic drink of the day.,2,1,0.9555184,0.47894847,0.05,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
65,sonicdrivein_1866,the trick or treat you always get is a squeeze of limeade.,3,1,0.93508,0.47894847,0.1395087864425117,1.2416694149812216e-308,1.2416694149812216e-308,1.2416694149812216e-308
78,sonicdrivein_788,the drive-in is a blast.,1,1,0.9702354,0.47894847,0.1340640092071278,1.491511611267286e-308,1.491511611267286e-308,1.491511611267286e-308
119,sonicdrivein_2112,is it time for a new year? 🤔# fallontonight# fallontonight# wintertime# wintertime# summertime# wintertime# summertime# wintertime# wintertime# wintertime# summertime# wintertime# summertime# wintertime# summertime# wintertime# wintertime#,0,1,0.95894027,0.47894847,0.0,0.0,0.0,0.0
123,sonicdrivein_80,the trick or treat is to make it yourself.,0,1,0.9550415,0.47894847,0.0,0.0,0.0,0.0
124,sonicdrivein_690,when you can get a double cheeseburger from a place like kelseaballer.,1,1,0.88040686,0.47894847,0.0833333333333333,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
129,sonicdrivein_196,the trick or treat you’ re asking for is a treat.,1,1,0.96862775,0.47894847,0.0909090909090909,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
138,sonicdrivein_2208,it 's a lil slush# slush# slush# slush# slush# slush# slush# slush# slush# slush# slush# slush# slush# slush# slush# slush# slush# slush# slush# slush# slush,0,1,0.8473846,0.47894847,0.0,0.0,0.0,0.0
147,sonicdrivein_2052,a dance that will tell the rest of us what a great dance is.,0,1,0.9593276,0.47894847,0.0,0.0,0.0,0.0
181,sonicdrivein_2080,we have a new trick or treat for you.,2,1,0.95258874,0.47894847,0.0817509869269871,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309
212,sonicdrivein_234,when the boss told you you 're not me to the office? you’ re gon na tell me that.,2,1,0.60764444,0.47894847,0.0526315789473684,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
233,sonicdrivein_2218,"we know what they say: if you eat a chicken dip, you 'll love it.",4,1,0.96119034,0.47894847,0.2,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
240,sonicdrivein_1809,"the temperature at the drive-in is… well, it 's… well, it 's… well, it 's… well, it 's… well, it 's… well, it 's… well, it 's… well, it 's… well, it 's… well, it '",1,1,0.68670404,0.47894847,0.0178105663452765,1.4266737208830245e-308,1.4266737208830245e-308,1.4266737208830245e-308
260,sonicdrivein_952,we’ re taking a look at the hottest food of the day.,2,1,0.98037016,0.47894847,0.0045094805185684,1.204071266077735e-309,1.204071266077735e-309,1.204071266077735e-309
315,sonicdrivein_2091,`` what 's new this year? '' `` what 's new this year? '' `` what 's new this year? '' `` what 's new this year? '' `` what 's new this year? '' `` what 's new this year? '' `` what 's new this year? '' `` what 's,0,1,0.9574101,0.47894847,0.0,0.0,0.0,0.0
338,sonicdrivein_404,we asked you to pick a favorite drink of your favorite drink of the day.,0,1,0.9219815,0.47894847,0.0,0.0,0.0,0.0
383,sonicdrivein_2078,i want you to be on your way to get your own sonic masterpiece.,3,1,0.9781145,0.47894847,0.0999532196250186,1.556823072428848e-308,1.556823072428848e-308,1.556823072428848e-308
392,sonicdrivein_414,the only reason i have to be honest and realize i’ m just a person 🤷‍♀️🍪🍪🍪 and follow me on twitter@ 🤷‍♀️ and instagram@ 🤷‍♀️.,0,1,0.78517616,0.47894847,0.0,0.0,0.0,0.0
428,sonicdrivein_1376,a sonic drink of the day — a sonic drink of the day — a sonic drink of the day — a sonic drink of the day.,0,1,0.92658013,0.47894847,0.0,0.0,0.0,0.0
