,image_id,caption,fluency,diversity
61,sonicdrivein_135,"get in losers, new holiday merch is here ✨ ",0.23821639,0.6134636
65,sonicdrivein_1866,get a lil wild with an unexpected combo that’s surprisingly delightful. catch a taste of our new wildberry lavender,0.8964255,0.6134636
78,sonicdrivein_788,who’s a good boy? you are! 🐶,0.9454691,0.6134636
119,sonicdrivein_2112,"hey, central ok! eat at sonic on thursday, 2/20, between 6-11 and we will donate 10% of sales to calm waters. then,",0.57292795,0.6134636
123,sonicdrivein_80,just know we are very proud of this one,0.9347637,0.6134636
124,sonicdrivein_690,don't keep mom from her emotional support ice.,0.5808597,0.6134636
129,sonicdrivein_196,"wake up, it’s the first of the month",0.9484379,0.6134636
138,sonicdrivein_2208,today is the day! $.50 corn dogs all day at sonic!,0.69018745,0.6134636
147,sonicdrivein_2052,"eat your heart out, candy board games. ",0.46238413,0.6134636
181,sonicdrivein_2080,vote for local teacher projects to earn sonic limeades for learning funding! head to limeadesforlearning.com and pick a,0.84471494,0.6134636
212,sonicdrivein_234,what’s my skincare routine you ask? small classic shakes,0.6924204,0.6134636
233,sonicdrivein_2218,"so, are you going to eat both halves or share with a bud?",0.63030183,0.6134636
240,sonicdrivein_1809,kick off summer break with a 50¢ corn dog in hand. 🙏 tag your after school crew and swing by sonic tomorrow for national end of school day.#sonic #corndog #😎 tax not included. add-ons cost extra. cannot be combined with other offers. offer valid 05/24/16 at participating sonic drive-ins while supplies last.,0.4947705,0.6134636
260,sonicdrivein_952,"struggling to decide your order? 🤔 then check the time: our clock will tell you what to get. ⏰

9am - 12pm: bacon egg & cheese breakfast burrito
12pm - 3pm: crave cheeseburger
3pm - 6pm: corn dog
6pm - 9pm: red, white, & blue slush float",0.8089659,0.6134636
315,sonicdrivein_2091,"phooey, rain! see you next week for ghostbusters in okc. repost from @myriadgardens --- a decision. #sonicsummermovies",0.8678138,0.6134636
338,sonicdrivein_404,"@starbucks inspired us, which era are you? 👀",0.7286476,0.6134636
383,sonicdrivein_2078,the second week of @sonicdrivein’s limeades for learning voting is almost up! have you voted for your favorite project,0.8734125,0.6134636
392,sonicdrivein_414,when you first move out of your parents’ house:,0.87979394,0.6134636
428,sonicdrivein_1376,"you say “potato,” i say “picasso.” show us your tot art! 🎨",0.61985016,0.6134636
444,sonicdrivein_1452,work is more fun with friends. 🙌 we’re looking for new team members to join our crew! check out jobs.sonicdrivein.com,0.90565544,0.6134636
480,sonicdrivein_2168,"see you this morning for 1/2-price breakfast burritos all day at sonic. or, maybe it's a breakfast for dinner kind of",0.9194706,0.6134636
484,sonicdrivein_491,"ahhh yes, gold, my favorite color.",0.8886177,0.6134636
494,sonicdrivein_78,the fourth is strong with this one 😮‍💨,0.35629883,0.6134636
533,sonicdrivein_1209,best friends come in all sorts of pairs. 😊 which one are you? tag your friends to find out! #friendshipday,0.94402045,0.6134636
535,sonicdrivein_1077,raise your hand ✋ if you think it would be pretty cool if you could add us to your group chat.,0.95762396,0.6134636
553,sonicdrivein_594,"you got questions, we have onion rings.",0.94328743,0.6134636
572,sonicdrivein_532,"deck your doggo out in sonic swag for their next trip to the drive-in. our wag shop is now open with toys, costumes, and",0.8685778,0.6134636
608,sonicdrivein_2100,"who wants celebrate tax filing <or, drown tax sorrow> in sonic drinks or slushes? <raises hand> 1/2-price all day today!",0.259513,0.6134636
618,sonicdrivein_91,"the best day of the year, lads",0.892658,0.6134636
652,sonicdrivein_780,eating a corn dog in outer space? 👀,0.9261232,0.6134636
682,sonicdrivein_786,“i’m gonna walk the dog.”,0.92365164,0.6134636
738,sonicdrivein_2181,congrats to our grand prize #doubledogdare winners! @lparrinelli @jusserv @tia_lorraine pls email your name and mailing,0.24373312,0.6134636
763,sonicdrivein_283,asking for a friend. #weird #wrong,0.8918,0.6134636
780,sonicdrivein_1435,introducing the freshest collab—the new @redbull slush and cherry limeade red bull® slush! it’s the ultimate cool down before you step up. 👐,0.62872386,0.6134636
807,sonicdrivein_1138,who’s at the door? it’s our trick or treat blast! are you dressing up for halloween? 🎃  visit the link in bio to get our downloadable cupstume patterns!,0.7231827,0.6134636
810,sonicdrivein_1755,how many corn dogs you’ll have is still a toss-up. drop by sonic on august 31st and enjoy 50¢ corn dogs all day. ,0.95130557,0.6134636
821,sonicdrivein_344,here’s a hint: it might have strawberries in it,0.93366027,0.6134636
824,sonicdrivein_376,not us seeing our ex at the drive-in,0.90565515,0.6134636
834,sonicdrivein_2185,"this little bit was so excited to meet mr. coney at sonic summer movie night at okc's myriad gardens. tonight, ""the",0.49138534,0.6134636
902,sonicdrivein_41,it’s giving gold medal ????? #xgamesmode,0.2066515,0.6134636
905,sonicdrivein_497,one tot doesn’t make me a bad mom.,0.9067887,0.6134636
920,sonicdrivein_1765,"drown your tastebuds in rich, creamy 1/2 price shakes after 8pm at sonic for the next five days.#sonicdrivein #shakebreak #shakes #📅 #🕖",0.7767136,0.6134636
972,sonicdrivein_339,"tbh, we have this on repeat today. 🔂 swing by 5/25 to get your half price shakes when you apply code: treat in the app🥤",0.3830476,0.6134636
983,sonicdrivein_1753,the best doggone corn dog deal of all time—stop by sonic today for 50¢ corn dogs all day.,0.757172,0.6134636
1010,sonicdrivein_528,"if you didn’t know, now you know.",0.94480306,0.6134636
1030,sonicdrivein_743,"did you know? our commercials feature real sonic fans trying new items and sharing their unscripted reactions. 🎶 nico, josh and layne, play together in some of nashville's finest honky-tonks nearly every night of the week. and visit their favorite drive-in almost as often!",0.9472109,0.6134636
1060,sonicdrivein_470,our drop before the ball drops. stay tuned 👀,0.8200602,0.6134636
