bleu_threshold,trainData_size,testData_size,train_loss,test_loss,train_bleu,test_bleu,save
0.1,162050,40520,2.7107253610219697,2.811744200394867,0.25585918214638353,0.13102673062685088,V
0.1,162050,40520,2.333449688348556,2.4284477572803556,0.1865861631387311,0.13653442744323768,V
0.1,162050,40520,2.2776981185201186,2.36304217053307,0.15208821895828195,0.13651707490128298,V
0.1,162050,40520,2.2473892441681067,2.274389961747285,0.1527876025981243,0.13642992657946704,V
0.1,162050,40520,2.2322632529005184,2.2624784057255676,0.15058656427425365,0.13655563610562704,V
0.1,162050,40520,2.219914353708961,2.2349476338845014,0.14879543631202197,0.13612336500493596,V
0.1,162050,40520,2.2107952704579117,2.2411058582181638,0.15113841489755664,0.13607593472359344, 
0.1,162050,40520,2.2009086298136262,2.227748257033564,0.15103388823747174,0.13629766164856882,V
0.1,162050,40520,2.1930821479264377,2.219361195088845,0.14968265937422942,0.13611796643632745,V
0.1,162050,40520,2.1851505608183164,2.2217654861796645,0.14924613521352736,0.13601924975320823, 
0.1,162050,40520,2.181190793939768,2.2181002437068114,0.14827010306097266,0.13642298556268506,V
0.1,162050,40520,2.1761081368797828,2.2369663129318855,0.14775344822266104,0.13652285908193465, 
0.1,162050,40520,2.1728686782584545,2.22363956071076,0.14780204733399158,0.13663584341066154, 
0.1,162050,40520,2.167156836274994,2.22053923988154,0.14689544248333686,0.13666129380552838, 
