train_F,test_F,save
7969.3312,7968.820512820513,V
7969.1264,7968.820512820513, 
7969.1264,7969.2307692307695, 
7969.3824,7969.846153846154, 
7969.1776,7969.641025641025, 
7968.8704,7968.615384615385,V
7969.024,7969.846153846154, 
7969.2288,7969.641025641025, 
7968.9216,7968.820512820513, 
7969.3312,7969.025641025641, 
7969.024,7968.615384615385, 
7969.2288,7968.205128205128, 
7969.0752,7968.820512820513, 
7969.2288,7968.820512820513, 
7969.2288,7968.615384615385, 
7969.0752,7969.025641025641, 
7969.1264,7969.4358974358975, 
7968.8192,7969.025641025641, 
7969.4336,7969.025641025641, 
7969.3312,7968.615384615385, 
7968.8704,7969.2307692307695, 
7969.2288,7970.461538461538, 
7969.5872,7969.4358974358975, 
7969.0752,7969.4358974358975, 
7969.1264,7968.820512820513, 
7968.8192,7968.410256410257,V
7968.6656,7969.2307692307695, 
7969.1264,7969.2307692307695, 
7969.1776,7969.025641025641, 
7969.1776,7969.2307692307695, 
