image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor
mcdonalds_switzerland_1940,the twin-star award!@ caliban_luke thank you for all your hard work from the white church to lauds.,1,1,0.86431897,0.50490725,0.0493072607307646,1.865109047072646e-308,1.865109047072646e-308,1.865109047072646e-308,0.0061882613226771,0
mcdonalds_switzerland_1988,s.,0,1,0.694574,0.50490725,0.0,0.0,0.0,0.0,0.807920515537262,1
mcdonalds_switzerland_672,"and the, they got to choose what movie we will watch together.",1,1,0.21434124,0.50490725,0.0833333333333333,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8454567193984985,1
mcdonalds_switzerland_646,a person's will be in the bundle! call it by name and make sure to get your number of choice.,1,1,0.51156193,0.50490725,0.05,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0053809168748557,0
mcdonalds_switzerland_2065,this is the story you see in your feed.,1,1,0.9681997,0.50490725,0.111111111111111,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0196978114545345,0
mcdonalds_switzerland_16,all the amazing stuff you've just heard from your friends.,0,1,0.9708202,0.50490725,0.0,0.0,0.0,0.0,0.9225546717643738,1
mcdonalds_switzerland_902,"y? you finally get to the screen in this month’ s of and is vermont on time, thanks for being timely.",2,1,0.056991614,0.50490725,0.0952380952380952,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1347075402736663,0
mcdonalds_switzerland_716,we’ ve found a recipe for the most delicious french fries ever! ‘ he who eats them wins!” says christina of her blog cookcrazy.,0,1,0.7935145,0.50490725,0.0,0.0,0.0,0.0,0.0403360426425933,0
mcdonalds_switzerland_461,who thinks? they're thinking hard to find food! but who can remind you of the restaurant at your local utility box.,3,1,0.9272141,0.50490725,0.1298794918395304,2.0229402343384255e-308,2.0229402343384255e-308,2.0229402343384255e-308,0.0296247601509094,0
mcdonalds_switzerland_2052,"clue night, i'm making you a special deal for netflix mcdonald’s and caroli pizza.",0,1,0.7170495,0.50490725,0.0,0.0,0.0,0.0,0.0396394655108451,0
mcdonalds_switzerland_31,"ya's so sad that i can give you this magical and lucky me! ♪thankyou very much to liyue, who made such a great life story for us.",1,1,0.15481167,0.50490725,0.037037037037037,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.344454675912857,0
mcdonalds_switzerland_360,hello! we're happy to see you today.,1,1,0.97972554,0.50490725,0.0806740174296798,1.25653953070478e-308,1.25653953070478e-308,1.25653953070478e-308,0.1767198890447616,0
mcdonalds_switzerland_568,"if you receive a weird message from someone, keep it up with the mcdonald's swag bite.",3,1,0.9649518,0.50490725,0.0647982661081827,7.689649493008776e-309,7.689649493008776e-309,7.689649493008776e-309,0.083204947412014,0
mcdonalds_switzerland_481,the samenvandy expand has brought a new can to your way of the day.,2,1,0.33876014,0.50490725,0.1428571428571428,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2005535513162613,0
mcdonalds_switzerland_605,"the fried chicken of yuma, is friendly and easy to enjoy.",2,1,0.37773585,0.50490725,0.1660183120513204,2.03171653398392e-308,2.03171653398392e-308,2.03171653398392e-308,0.0278907995671033,0
mcdonalds_switzerland_1899,"am you think the new menu in your favorite store? we're glad it comes out soon, thank @ mylife for making our news.",2,1,0.19999772,0.50490725,0.0797145175674336,2.0397629256023657e-308,2.0397629256023657e-308,2.0397629256023657e-308,0.0625636056065559,0
mcdonalds_switzerland_584,"a miracle that makes you feel so happy! '' is this what i built?
 are those straps on your shirt now?! 🐷🐶👀❤ 🧑💕🚲🙏⭐️ ⭐️ ⭐️ ⭐️ ✔️✔️ x3 ⭐️✔ ×2 ⭐️×1 ⭐️x4 ⭐️♥️✅",1,1,0.9063007,0.50490725,0.0303030303030303,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0352981463074684,0
mcdonalds_switzerland_725,"we’ re ready, it's all thanks to the magic of om and time for you.",1,1,0.8545001,0.50490725,0.0666666666666666,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5166612863540649,1
mcdonalds_switzerland_558,this will be the best week of this year for you and your special guest from behind! </s> thanks to all my colleagues who helped make that crazy film fest.,5,1,0.9621804,0.50490725,0.1666666666666666,0.0344827586206896,2.2250738585072617e-308,2.2250738585072617e-308,0.0889414176344871,0
mcdonalds_switzerland_429,this holiday season we are talking about the happy light.,0,1,0.96656376,0.50490725,0.0,0.0,0.0,0.0,0.3305189311504364,0
mcdonalds_switzerland_80,all these songs are the same? get to know more about this on our app! you then.,2,1,0.57054794,0.50490725,0.1176470588235294,0.0625,2.2250738585072617e-308,2.2250738585072617e-308,0.0744754374027252,0
mcdonalds_switzerland_616,the end of the journey - but it ends up where you want to go.,1,1,0.9301477,0.50490725,0.0510618892243099,1.704247123185085e-308,1.704247123185085e-308,1.704247123185085e-308,0.135491132736206,0
mcdonalds_switzerland_655,"`` i'm feeling really good right now, that is the best social feast in my town.",0,1,0.8902715,0.50490725,0.0,0.0,0.0,0.0,0.257538378238678,0
mcdonalds_switzerland_409,# 39; a big thank you for your help on this tour.,1,1,0.95173126,0.50490725,0.0597109425478157,1.594335087959687e-308,1.594335087959687e-308,1.594335087959687e-308,0.4543967247009277,0
mcdonalds_switzerland_693," pitch the coin on your left, help is in.",0,1,0.21485919,0.50490725,0.0,0.0,0.0,0.0,0.1848853677511215,0
mcdonalds_switzerland_203,"we want to see where you're going! just click the play button and we ''ll come join us in our new show, warm from last night.",1,1,0.95198876,0.50490725,0.0384615384615384,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0349143706262111,0
mcdonalds_switzerland_402,this is the perfect place to sit and enjoy your favorite television.,3,1,0.9748821,0.50490725,0.1516326649281583,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308,0.6098689436912537,1
mcdonalds_switzerland_762,"yeast 't welcome the new season! we have a giveaway, you can pick up your copy today for just ♥️ and to receive whatever comes with it.",4,1,0.07465918,0.50490725,0.1481481481481481,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0290776025503873,0
mcdonalds_switzerland_1612,and it’ s good! the company that makes your life better.,0,1,0.9404425,0.50490725,0.0,0.0,0.0,0.0,0.0949997678399086,0
