image_id,caption,human_ins,human_humor,human_related,overfit,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor
sonicdrivein_655,i'm going to give you a few ideas on how we can make it more fun for everyone.,0,0,0,-1,3,1,0.97960436,0.39844063,0.1666666666666666,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.7855592966079712,1
sonicdrivein_1175,it's time for you to make a decision.,0,1,1,2,1,1,0.9746698,0.39844063,0.0169169104045765,3.01131000863463e-309,3.01131000863463e-309,3.01131000863463e-309,0.1411674618721008,0
sonicdrivein_496,"1 / 2 of all the people on this page have sent in their feedback so far, but we still don't know where they came from!
this ad is sponsored by: →""
### Questions and Detailed Answers Based On The Extract Provided

**Question:** What does it mean when someone sends you an emoji?  
*Answer:* When",1,0,0,-1,1,1,0.84795845,0.39844063,0.0181818181818181,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2727585136890411,0
sonicdrivein_1376,i'm so excited to have you on the show this week.,0,0,0,-1,2,1,0.9741159,0.39844063,0.1660183120513204,2.03171653398392e-308,2.03171653398392e-308,2.03171653398392e-308,0.8686736822128296,1
sonicdrivein_1927,it's not just me who can’ t wait to get home after a long day at the office.,0,0,0,-1,3,1,0.97345555,0.39844063,0.1068633980716591,1.4266737208830245e-308,1.4266737208830245e-308,1.4266737208830245e-308,0.2522628307342529,0
sonicdrivein_1678,"we're not going to make it up ourselves, we are here for you.",1,1,1,2,2,1,0.9459149,0.39844063,0.0660095386066321,9.546946419773297e-309,9.546946419773297e-309,9.546946419773297e-309,0.501185417175293,1
sonicdrivein_1572,"when you’ re ready to order food, just say `` i need a refill.",1,1,1,2,1,1,0.96956295,0.39844063,0.0714285714285714,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.7742268443107605,1
sonicdrivein_566,"we're here to help you find your perfect picnic spot, so please let us know where it is.",0,0,0,-1,0,1,0.9755282,0.39844063,0.0,0.0,0.0,0.0,0.6412248015403748,1
sonicdrivein_2185,you know what i like to do when things get a little out of hand.,1,1,1,2,2,1,0.98196006,0.39844063,0.0893760061380852,1.491511611267286e-308,1.491511611267286e-308,1.491511611267286e-308,0.8086798787117004,1
sonicdrivein_1944,it’ s time to get back on track.,0,0,0,1,1,1,0.9764573,0.39844063,0.0217217429313056,3.86659858861305e-309,3.86659858861305e-309,3.86659858861305e-309,0.346190869808197,0
sonicdrivein_788,"it's like, oh my god.",1,1,1,2,0,1,0.92365605,0.39844063,0.0,0.0,0.0,0.0,0.6925002932548523,1
sonicdrivein_1282,"it's like, oh my god i’m so happy to see you.",1,1,1,0,0,1,0.964877,0.39844063,0.0,0.0,0.0,0.0,0.5243797898292542,1
sonicdrivein_945,i'm going to go out of my comfort zone this weekend.,0,0,1,0,1,1,0.9825582,0.39844063,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.470549076795578,0
sonicdrivein_376,it's time to put it back in the fridge.,0,0,0,-1,1,1,0.981306,0.39844063,0.111111111111111,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6639425158500671,1
sonicdrivein_163,i'm not going to go out of my comfort zone and i’ m sure you know what that means.,1,1,1,2,0,1,0.9722945,0.39844063,0.0,0.0,0.0,0.0,0.9230725169181824,1
sonicdrivein_2200,"we’ re going to do something different today, and we just want you all stay safe! pic.",0,0,0,0,0,1,0.92342544,0.39844063,0.0,0.0,0.0,0.0,0.8022961020469666,1
sonicdrivein_742,"it's not about the ice cream, it’ s all of us.",1,1,1,2,0,1,0.9674279,0.39844063,0.0,0.0,0.0,0.0,0.7542279958724976,1
sonicdrivein_2095,"it's like, you know what i mean.",0,0,0,-1,1,1,0.8872879,0.39844063,0.0257274731639931,4.00718695878539e-309,4.00718695878539e-309,4.00718695878539e-309,0.6298198103904724,1
sonicdrivein_316,we’ re going to have a ton of things coming out in the next 30 days.,0,0,0,-1,2,1,0.97890466,0.39844063,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.7757483124732971,1
sonicdrivein_2196,it’ s time for you.,0,0,0,-1,1,1,0.96757495,0.39844063,0.0181435906578825,2.018541463615545e-309,2.018541463615545e-309,2.018541463615545e-309,0.8319647908210754,1
sonicdrivein_414,"it’ s my first day of school, and i'm not sure what to do with it.",0,0,0,0,2,1,0.9784032,0.39844063,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.7245021462440491,1
sonicdrivein_1022,"if you can 't find it on your own, ask someone else.",0,1,1,0,2,1,0.9771333,0.39844063,0.1194218850956315,1.594335087959687e-308,1.594335087959687e-308,1.594335087959687e-308,0.9483689665794371,1
sonicdrivein_1755,"don't worry, we ’ ve got you covered.",1,1,1,2,0,1,0.9766669,0.39844063,0.0,0.0,0.0,0.0,0.6472616195678711,1
sonicdrivein_1616,it’ s called “ i don t know what to do with all this ice cream” but it was the best thing ever.,1,1,1,2,2,1,0.91900945,0.39844063,0.0869565217391304,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1207485422492027,0
sonicdrivein_204,"it’ s not about the food, it's all of you.",0,1,1,0,1,1,0.9555072,0.39844063,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.629332959651947,1
sonicdrivein_809,12:30 p.,0,0,0,-1,1,1,0.8547919,0.39844063,0.0,0.0,0.0,0.0,0.4888530075550079,0
sonicdrivein_2091,i'm so excited to be back with you all year long.,0,0,0,-1,1,1,0.9684709,0.39844063,0.0526889344349826,1.289604477082714e-308,1.289604477082714e-308,1.289604477082714e-308,0.6895091533660889,1
sonicdrivein_866,it’ s time to say goodbye.,0,0,0,-1,1,1,0.9744086,0.39844063,0.0266466243466156,3.55744243506706e-309,3.55744243506706e-309,3.55744243506706e-309,0.7834903001785278,1
sonicdrivein_135,"i'm not sure what to do about it, but i think we’ ll find out soon enough.",0,0,1,0,0,1,0.97587603,0.39844063,0.0,0.0,0.0,0.0,0.6939690709114075,1
sonicdrivein_1138,"yes, it's a thing.",0,0,0,-1,0,1,0.8687013,0.39844063,0.0,0.0,0.0,0.0,0.7678596377372742,1
sonicdrivein_2209,when you’ re at a loss for words to express how much u love your partner.,0,0,0,-1,1,1,0.9621964,0.39844063,0.0587133164258422,2.090263448406506e-308,2.090263448406506e-308,2.090263448406506e-308,0.6833872199058533,1
sonicdrivein_78,"if you're looking for something fun to do with your kids this summer, look no further.",0,1,1,0,2,1,0.97851586,0.39844063,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5435963273048401,1
sonicdrivein_1821,it's your turn to make a difference in someone’ s life.,0,0,1,0,2,1,0.9802582,0.39844063,0.080224212319997,9.8177638708909e-309,9.8177638708909e-309,9.8177638708909e-309,0.7373539805412292,1
sonicdrivein_528,"you know, we’ ve all been through this before.",0,0,0,0,2,1,0.97737134,0.39844063,0.2222222222222222,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8939821124076843,1
sonicdrivein_1640,i 'll be the first to say it.,0,0,0,-1,1,1,0.97872216,0.39844063,0.013174903070233,2.34521059279541e-309,2.34521059279541e-309,2.34521059279541e-309,0.4765667915344238,0
sonicdrivein_1070,we're here to help you find your way home.,0,1,1,2,1,1,0.9779758,0.39844063,0.0292885709017474,5.86523101198632e-309,5.86523101198632e-309,5.86523101198632e-309,0.2461088448762893,0
sonicdrivein_1998,it’ s 3:45 pm and we know it.,0,1,1,2,0,1,0.93051153,0.39844063,0.0,0.0,0.0,0.0,0.5235430002212524,1
sonicdrivein_780,"when you’ re trying to find your way home from work and all of a sudden, there is an ice cream truck parked on the corner.",1,0,0,-1,1,1,0.96251744,0.39844063,0.0384615384615384,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.7554381489753723,1
sonicdrivein_373,"when you go to the grocery store and see all of these vegan options on display, i 'll make it a point .",0,0,0,-1,0,1,0.97112525,0.39844063,0.0,0.0,0.0,0.0,0.4855623841285705,0
sonicdrivein_1459,"it's not about the mic, it’ s how you say this.",1,1,1,2,2,1,0.9622597,0.39844063,0.1154066216255058,1.412335412826535e-308,1.412335412826535e-308,1.412335412826535e-308,0.6118191480636597,1
sonicdrivein_80,"it’ s like, “ oh my god i love you so much right now.",0,1,1,2,0,1,0.8710435,0.39844063,0.0,0.0,0.0,0.0,0.970469892024994,1
sonicdrivein_1897,"i'm not sure if you know this, but i do n’t have one of these.",0,0,0,-1,0,1,0.93771,0.39844063,0.0,0.0,0.0,0.0,0.7398460507392883,1
sonicdrivein_1788,it’ s been a long time since i've had an ice cream cone.,1,0,0,-1,0,1,0.9831518,0.39844063,0.0,0.0,0.0,0.0,0.8561413884162903,1
sonicdrivein_1950,it's been a long time since we’ ve had an ice cream party.,1,1,1,0,1,1,0.98375064,0.39844063,0.0415717689605026,1.2025033327569346e-308,1.2025033327569346e-308,1.2025033327569346e-308,0.593765377998352,1
sonicdrivein_290,"you know when you’ re about to order your favorite drink at a bar and they say, “ i got it for ya” or something like that.",1,1,1,2,2,1,0.94009227,0.39844063,0.074074074074074,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9079380631446838,1
sonicdrivein_1702,"if you're having a hard time deciding what to do today, ask yourself these three questions:1.",0,0,0,-1,3,1,0.9615891,0.39844063,0.0223936815500099,2.657471755342055e-309,2.657471755342055e-309,2.657471755342055e-309,0.5465145707130432,1
sonicdrivein_1730,this is what it looks like if you get your hands on the 2019 summer reading list.,0,1,0,0,1,1,0.97693354,0.39844063,0.0438346362949106,1.6581001563886476e-308,1.6581001563886476e-308,1.6581001563886476e-308,0.614781379699707,1
sonicdrivein_1358,it's been a long time since i’ ve seen one like this.,0,0,0,-1,0,1,0.97792816,0.39844063,0.0,0.0,0.0,0.0,0.7631414532661438,1
sonicdrivein_2100,"it's like, you know what i’ m talking about.",0,0,0,-1,0,1,0.85964733,0.39844063,0.0,0.0,0.0,0.0,0.8419899940490723,1
sonicdrivein_89,"it's the end of summer, and it’ s time to say goodbye.",0,0,0,-1,0,1,0.978609,0.39844063,0.0,0.0,0.0,0.0,0.9099013209342957,1
sonicdrivein_1809,"it ’ s time for the new year, so here are just a few of my favorite things to look forward to this coming month.",1,1,1,2,3,1,0.9706379,0.39844063,0.0407514630773927,7.55625126578587e-309,7.55625126578587e-309,7.55625126578587e-309,0.3737192451953888,0
sonicdrivein_952,what's your go-to snack for the day? banana chips.,1,0,1,0,2,1,0.9603906,0.39844063,0.0032591149147837,3.26329712944047e-310,3.26329712944047e-310,3.26329712944047e-310,0.495076984167099,0
sonicdrivein_2076,it’ s time for the 2019 holiday menu.,0,0,0,-1,2,1,0.9685667,0.39844063,0.0716261992150475,6.374943338305425e-309,6.374943338305425e-309,6.374943338305425e-309,0.3780175149440765,0
sonicdrivein_558,it's been a long time since i felt like this.,0,1,1,2,1,1,0.9801695,0.39844063,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.7818721532821655,1
sonicdrivein_1220,"it's time to change the way we think about food, how it is made and who makes it.",0,0,0,-1,2,1,0.9577264,0.39844063,0.1051066076563072,2.1048296854718573e-308,2.1048296854718573e-308,2.1048296854718573e-308,0.6031750440597534,1
sonicdrivein_2052,you've got it.,0,0,0,-1,0,1,0.96674293,0.39844063,0.0,0.0,0.0,0.0,0.8595477342605591,1
sonicdrivein_404,"yes, there's an app for that.",1,0,1,-1,0,1,0.95107967,0.39844063,0.0,0.0,0.0,0.0,0.742301881313324,1
sonicdrivein_1866,"if you're looking for something fun to do with your kids on a rainy day, check this out.",0,0,0,-1,2,1,0.98182124,0.39844063,0.1051066076563072,2.1048296854718573e-308,2.1048296854718573e-308,2.1048296854718573e-308,0.2250508219003677,0
sonicdrivein_486,"when you order a burger and fries, but it's not what u want.",1,0,0,-1,0,1,0.96000654,0.39844063,0.0,0.0,0.0,0.0,0.7364653944969177,1
sonicdrivein_2112,i'm not sure if this is what you’ re looking for.,0,0,0,-1,0,1,0.9814534,0.39844063,0.0,0.0,0.0,0.0,0.9232835173606871,1
sonicdrivein_491,"i'm not sure if this is what i want to wear, but it does n’t make me feel any better.",0,0,0,-1,0,1,0.9601607,0.39844063,0.0,0.0,0.0,0.0,0.7030081748962402,1
sonicdrivein_2218,it's been a long time since we’ ve had fun.,0,0,0,-1,1,1,0.9836362,0.39844063,0.0740818220681718,1.6483752567447546e-308,1.6483752567447546e-308,1.6483752567447546e-308,0.7733542919158936,1
sonicdrivein_1199,"when i was 10 years old, my mom told me to get a dog.",0,0,0,-1,1,1,0.9720243,0.39844063,0.0714285714285714,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9877036809921264,1
sonicdrivein_645,`` i've got your back! '' it’ s all part of the plan.,1,1,1,2,0,1,0.97651094,0.39844063,0.0,0.0,0.0,0.0,0.3129248917102813,0
sonicdrivein_1029,it's the time of year when we all start thinking about what you want to eat for dinner.,0,0,0,0,0,1,0.9822296,0.39844063,0.0,0.0,0.0,0.0,0.8256723284721375,1
sonicdrivein_196,"it's time to get ready for spring break, and we’ ve got you covered! just make sure your feet are wet before heading out on the beach.",0,0,0,-1,1,1,0.9821854,0.39844063,0.037037037037037,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.7254800796508789,1
sonicdrivein_690,what do you want to eat for lunch today? </s> 🤔🤓🍴🥗👨‍💼 👩🏽 🧑🦅🐶🎉 pic.,0,0,0,-1,0,1,0.9116325,0.39844063,0.0,0.0,0.0,0.0,0.5718305706977844,1
sonicdrivein_743,it's your turn.,0,0,0,-1,0,1,0.9652072,0.39844063,0.0,0.0,0.0,0.0,0.7077524662017822,1
sonicdrivein_41,"it's not just me, it’ s all of us.",0,0,1,0,0,1,0.95864284,0.39844063,0.0,0.0,0.0,0.0,0.9756575226783752,1
