train_G,train_D,test_G,test_D,save
1.83220703125,2.783625,1.61334375,2.77984375,V
1.58541015625,2.7829296875,1.591546875,2.78365625,V
1.56909375,2.7829921875,1.579671875,2.78078125,V
1.561109375,2.7809921875,1.568890625,2.78325,V
1.553859375,2.78128125,1.56978125,2.78109375, 
1.551578125,2.78309375,1.5606875,2.7795625,V
1.54779296875,2.7817890625,1.56003125,2.78053125,V
1.5469140625,2.782109375,1.555703125,2.78275,V
1.54266796875,2.780015625,1.54971875,2.783375,V
1.5436875,2.781765625,1.5553125,2.77996875, 
1.5448828125,2.7818984375,1.547765625,2.78178125, 
