caption,image_id,fluency,diversity
what’ s your favorite drink of the night? 🍸🍸🍸�,sonicdrivein_691,0.96859735,0.39000025
what’ s your go-tos when you’ re in the drive-thru?,sonicdrivein_373,0.93687886,0.39000025
"if you’ re looking for a reason to get out of the house, this is it",sonicdrivein_529,0.9751595,0.39000025
when you want to be the last person to see your crush at the mall before they leave,sonicdrivein_376,0.9683667,0.39000025
do you remember when you had to choose between a corn dog and a root beer? now it’ s,sonicdrivein_531,0.93474174,0.39000025
"if you 're looking for something to do on halloween, this is for you",sonicdrivein_2031,0.9689196,0.39000025
"me and my dad are going out to eat today, and i’ m so excited to share with you",sonicdrivein_534,0.9687635,0.39000025
"i know you 're trying to protect the earth, but it ‘s not going to work",sonicdrivein_1337,0.9740835,0.39000025
the only way to make a sonic shake is with a sonic drink 🤷‍♀️,sonicdrivein_697,0.9233747,0.39000025
this is my son’ s first day of school and he’ s got a lot of ideas for,sonicdrivein_408,0.9735581,0.39000025
when you know you’ re in the dog house you know you’ re in the dog house you,sonicdrivein_196,0.9135929,0.39000025
this is our second day in the wild and we still haven 't figured out what to do,sonicdrivein_2052,0.9712643,0.39000025
"i 'm not trying to make you feel bad, but i 'm holding back a little bit of fruit",sonicdrivein_51,0.96442467,0.39000025
i can’ t make this stuff up 🤷‍♀️,sonicdrivein_414,0.89597267,0.39000025
what do you think we should do with our sonics pass this year? share your thoughts in the comments,sonicdrivein_798,0.88496447,0.39000025
"if you’ re not going to be at the drive-in this year, i’ m going",sonicdrivein_1346,0.9736304,0.39000025
"when i’ m away from home, i don’ t eat or drink anything i’ m",sonicdrivein_143,0.7944788,0.39000025
we can make this happen we can make this happen we can make this happen we can make this happen,sonicdrivein_69,0.9462301,0.39000025
we can’ t stay in the car long enough to get all the food we want,sonicdrivein_163,0.9709446,0.39000025
"just in case you didn’ t know, there’ s a new bullet out now",sonicdrivein_78,0.97052133,0.39000025
you bought this for your son you will love it he will love it you can order it online,sonicdrivein_80,0.96546,0.39000025
"it’ s not every day i eat the same thing, but it’ s every day i love",sonicdrivein_893,0.9564001,0.39000025
"i 'm sure i 'm going to regret this, but i 've decided to use the ice-",sonicdrivein_645,0.97156286,0.39000025
it’ s been a long time since we’ ve had a drink,sonicdrivein_234,0.9825727,0.39000025
what do you do when you’ re hungry but don’ t want to leave the house?,sonicdrivein_85,0.97402316,0.39000025
"i don’ t know if it’ s just me, but i feel like i’ ve",sonicdrivein_560,0.91938174,0.39000025
what would you do if i told you to go ice skating in the summer?,sonicdrivein_446,0.9790309,0.39000025
the best way to start your day is with the best drink in the world 🍸🍸�,sonicdrivein_89,0.9717872,0.39000025
"we all have those days when we need a little pick me up, so we’ ve got you covered",sonicdrivein_566,0.8557574,0.39000025
let’ s just say we’ re not the only ones getting ready for the new year �,sonicdrivein_283,0.97627175,0.39000025
we’ re having a drive thru happy hour today only 🤷‍♀️�,sonicdrivein_290,0.7318799,0.39000025
⭐️⭐️⭐️⭐️⭐️�,sonicdrivein_457,0.86411864,0.39000025
what did i just say? i 'm so tired i 'm going to go to bed now,sonicdrivein_1181,0.96483916,0.39000025
it ‘s the end of the month so i ‘m going to get a t-shirt with,sonicdrivein_1384,0.94711727,0.39000025
if you 're looking for something to put on your mantle this is what you 're looking for,sonicdrivein_91,0.95148474,0.39000025
we’ ll see what we can do 🤷‍♀️ pic.twitter.com,sonicdrivein_571,0.9398113,0.39000025
do you know how many times i stopped at the drive-through before i found my match?,sonicdrivein_572,0.9808849,0.39000025
is this what it feels like to run on a bong? 🤔🤔,sonicdrivein_1199,0.9715623,0.39000025
what’ s the best way to celebrate the 4th of july? 🎉🎉,sonicdrivein_98,0.96652126,0.39000025
what do you think about adding a drive thru to the menu? 🤷‍♀️,sonicdrivein_780,0.96706676,0.39000025
🐶🐶🐶🐶🐶🐶🐶�,sonicdrivein_585,0.86411864,0.39000025
this is the breakfast of champions it 's a mix of the ice cream and the frozen drinks,sonicdrivein_742,0.80633146,0.39000025
is it just me or does anyone else feel like we’ re on a sonic journey?,sonicdrivein_670,0.95014256,0.39000025
i’ m not the only one who thinks this is the best drink in the world,sonicdrivein_486,0.9809372,0.39000025
i’ m so in love with the sonic drive-thru that i’ ve already bought two,sonicdrivein_784,0.9668022,0.39000025
we’ ve all been there at some point in our lives,sonicdrivein_596,0.94404244,0.39000025
when you know you’ ve gone too far but you can’ t stop,sonicdrivein_491,0.9215853,0.39000025
i’ m not the only one who’ d like to get a cheeseburger and a shake,sonicdrivein_495,0.97388965,0.39000025
i still can’ t decide what i want to get for my birthday so i’ m going to,sonicdrivein_496,0.9224318,0.39000025
"when you’ re in the car, you’ re in the zone 🤷‍�",sonicdrivein_497,0.94960314,0.39000025
is this the first time you see a pop-up in a social media app? 🤔,sonicdrivein_344,0.96992344,0.39000025
what’ s your favorite thing to order at the drive thru? let us know in the comments,sonicdrivein_786,0.8010607,0.39000025
