caption,image_id,fluency,diversity
what do you think is the best burger you have ever tasted? i do n't know but i want it,mcdonalds_switzerland_1,0.7851514,0.40257198
"no matter how long it 's been since you 've had a burger, it 's always been like",mcdonalds_switzerland_203,0.9617238,0.40257198
"we all love the mcdonald 's fries but if you want to try something new, here 's the",mcdonalds_switzerland_7,0.9709708,0.40257198
i 'm so excited i 'm going to pretend that i 've just eaten a sandwich i 'm,mcdonalds_switzerland_13,0.9220934,0.40257198
do you remember when mcdonald 's introduced the mcchicken sandwich? it 's time to relive,mcdonalds_switzerland_16,0.9642762,0.40257198
it 's time to start over again so don 't forget to eat your favorite macaroni again,mcdonalds_switzerland_19,0.95354426,0.40257198
did you know that you can get a free mcdonald’ s burger if you vote for the “,mcdonalds_switzerland_22,0.9005642,0.40257198
we don’ t know what we ‘ re going to do in the future but we ‘ re,mcdonalds_switzerland_27,0.93256855,0.40257198
"oh, my god, i 'm so tired i 've been looking for you all day i 'm",mcdonalds_switzerland_31,0.91356295,0.40257198
it’ s a big day at the mcdonald’ s menu and the best way to celebrate is,mcdonalds_switzerland_45,0.9443871,0.40257198
are you ready for some love? 💕 do n't forget to turn on your favorite playlist and shop,mcdonalds_switzerland_265,0.7960955,0.40257198
thank you to the mcdonald 's team that 's keeping the mcdonald 's fries warm for the,mcdonalds_switzerland_271,0.5140446,0.40257198
what would you do if you had to choose between the apple fritter and the vanilla one?,mcdonalds_switzerland_222,0.97807103,0.40257198
do you know how many fast food restaurants there are in canada? i 'm sure there are more than,mcdonalds_switzerland_794,0.97212344,0.40257198
how the hell did they decide to put the big one on top of the other two? 🤷�,mcdonalds_switzerland_828,0.9627515,0.40257198
does anyone know what i 'm looking for? 🤔🤔🤔🤔,mcdonalds_switzerland_69,0.93865734,0.40257198
"do you want to know what 's on the menu at mcdonald 's? well, there 's",mcdonalds_switzerland_835,0.98017967,0.40257198
you 're going to meet a friend who 's going to take you to a place where you 'll,mcdonalds_switzerland_80,0.9754091,0.40257198
"`` oh, the little things the doctors give you when you ask them to do something that they 're not",mcdonalds_switzerland_864,0.95315075,0.40257198
do you remember when you first fell in love with the mcdonald 's coffee? here 's your new,mcdonalds_switzerland_332,0.9187374,0.40257198
just in case you didn 't know you can turn your mouth into a mcdonald 's logo,mcdonalds_switzerland_117,0.9263791,0.40257198
when you find out your crush likes the same burger as you do you know there 's no way they ',mcdonalds_switzerland_118,0.95713997,0.40257198
"in the menu of the mcdonald 's app, there 's a big discount on the mcdonald '",mcdonalds_switzerland_122,0.78657997,0.40257198
did you know that the mcdonald 's restaurants in switzerland are also participating in the ronald mc,mcdonalds_switzerland_237,0.9260689,0.40257198
i 'm glad i 'm not the only one who 's had a hard time with a watermelon,mcdonalds_switzerland_419,0.96856135,0.40257198
"when i wake up in the middle of the night to check if my kids are ok, i go to sleep",mcdonalds_switzerland_163,0.98238105,0.40257198
"even though i 'm already in the restaurant, i can 't stop myself from eating the burger with the",mcdonalds_switzerland_628,0.6173953,0.40257198
"i 'm sorry, i 'm sorry, i 'm sorry, i 'm sorry, i '",mcdonalds_switzerland_168,0.84597373,0.40257198
when you 're in the middle of a conversation with someone and they start talking about memes you do n't,mcdonalds_switzerland_169,0.7614992,0.40257198
this is how we use the rosary in the promenade we 'll always remember this moment,mcdonalds_switzerland_172,0.9141077,0.40257198
did you know that you can get a free mcdonald 's cup with every purchase on the mcdonald ',mcdonalds_switzerland_178,0.81851846,0.40257198
where is your favorite place to order a mcdonald 's big mac? let us know in the comments below,mcdonalds_switzerland_181,0.8585195,0.40257198
are you ready for some mcdonald 's fries? i ' m sure you ' re not and i ',mcdonalds_switzerland_737,0.9184866,0.40257198
"if you 're on the ketchup side of the table, you 're gonna want to switch to the",mcdonalds_switzerland_637,0.94141847,0.40257198
it 's ok to like something that 's not cool it 's ok to like something that 's,mcdonalds_switzerland_654,0.89297265,0.40257198
the best way to know if your chicken mcnuggets are ready is to put them in the hot mcm,mcdonalds_switzerland_662,0.9392681,0.40257198
"when you 've just had your morning coffee, you 'll know what we 're talking about",mcdonalds_switzerland_691,0.97013074,0.40257198
you 're going to miss that chicken so much that you 're going to have to retire,mcdonalds_switzerland_706,0.97455525,0.40257198
you never know what you 're going to get when you order the big mac®,mcdonalds_switzerland_712,0.9460599,0.40257198
"so, there 's no way i 'm going to be able to buy a ticket for the mcdonald",mcdonalds_switzerland_774,0.9754572,0.40257198
i 'm a little bit nervous about ordering a meal from mcdonald 's but at least i 'm,mcdonalds_switzerland_721,0.9222871,0.40257198
"do you know the taste of the mcdonald 's big mac? well, there 's nothing like it",mcdonalds_switzerland_725,0.94373727,0.40257198
"you 're not the only one who noticed it when you 're eating a chicken sandwich, you 're",mcdonalds_switzerland_732,0.93637496,0.40257198
"do you have a boat? '' yes, i do n't think you 're so bad ''",mcdonalds_switzerland_735,0.46113265,0.40257198
when it comes to choosing between the mcdonald 's chicken mcnuggets and the christmas tree which one,mcdonalds_switzerland_769,0.78847134,0.40257198
"when the mcdonald 's fries are removed, it 's not the end of the mcdonald 's",mcdonalds_switzerland_904,0.9086848,0.40257198
how do you know when it 's time to switch to m& m 's? we do n't,mcdonalds_switzerland_793,0.69753456,0.40257198
i 'm sure that many of our colleagues will cry if they see the chicken mcnuggets in the hot,mcdonalds_switzerland_363,0.97466826,0.40257198
when your kids ask you what 's the coolest thing in the world you 're going to tell them about,mcdonalds_switzerland_380,0.9683564,0.40257198
are you interested in working at mc donald 's? we 've got you covered we 're changing,mcdonalds_switzerland_412,0.7144771,0.40257198
i 'm sure you 're curious to know what 's going on at the mcdonald 's coffee,mcdonalds_switzerland_451,0.979007,0.40257198
"when i saw this picture, i thought, `` if i 'm not wearing my ice mask, i '",mcdonalds_switzerland_607,0.8699157,0.40257198
"if you lose your burger, what will you find in its place? i 've lost my burger, but",mcdonalds_switzerland_409,0.97816706,0.40257198
"it 's so easy to say no to a big meal even if you want to eat it, you can",mcdonalds_switzerland_713,0.930698,0.40257198
check out the menu for the mcdonald 's mcflurries in the mcdonald 's app for,mcdonalds_switzerland_232,0.74393183,0.40257198
"even if you 're not in the mood for a sweet treat, we all know that it 's time",mcdonalds_switzerland_234,0.98366135,0.40257198
"they 're always waiting for me to go to the airport with a ticket in my back, but i '",mcdonalds_switzerland_236,0.9681267,0.40257198
we are celebrating the launch of the new mcdonald 's app by giving away a gift card to one lucky,mcdonalds_switzerland_242,0.94658333,0.40257198
"if you 're really in love with the mcdonald 's app, you 'll know that you can",mcdonalds_switzerland_248,0.9677742,0.40257198
head to the menu in the top right of the screen and click on ' hamburger menu ' to see the,mcdonalds_switzerland_251,0.695137,0.40257198
"no, no, no, no, no, no, no, no, no, no, no,",mcdonalds_switzerland_256,0.8671994,0.40257198
"when you go to a mcdonald 's restaurant and order a hamburger, do you know what happens when",mcdonalds_switzerland_262,0.9711501,0.40257198
have you ever wondered what would happen if mcdonald 's gave you a whole bag of mcdonald 's,mcdonalds_switzerland_273,0.9719936,0.40257198
it 's always nice to give back to your friends and family with a meal at mcdonald 's but,mcdonalds_switzerland_285,0.9672762,0.40257198
do you like the new mcdonald 's menu? 🤔 🤔 🤔 �,mcdonalds_switzerland_293,0.94897705,0.40257198
it ‘s not always easy to tell the difference between a big mac and a big mac nachos,mcdonalds_switzerland_330,0.961066,0.40257198
"when you are trying to lose weight and your favorite snack is the mcdonald 's fries, don 't",mcdonalds_switzerland_347,0.9578248,0.40257198
"thanks to@ mrmcdonaldsuk, we 're excited to announce that they 've partnered with",mcdonalds_switzerland_348,0.9174196,0.40257198
what do you think is the best burger in the world? 🍔🍟🍟�,mcdonalds_switzerland_349,0.97371113,0.40257198
are you ready for the mcdonald 's hamburgers and fries party on friday? we 're,mcdonalds_switzerland_350,0.9746466,0.40257198
the beginning of the new year is a good time to move on from your high school sweethearts,mcdonalds_switzerland_352,0.975373,0.40257198
we all love our mcdonald 's hamburgers but we also love our mcdonald 's fries more,mcdonalds_switzerland_353,0.95547295,0.40257198
how 's it like to eat at mcdonald 's without a car? we 're here to help,mcdonalds_switzerland_354,0.9727964,0.40257198
"can you believe it 's christmas in a mcdonald 's bag? we 've got cookies,",mcdonalds_switzerland_355,0.94082826,0.40257198
we all know that mcdonald 's mcdonald 's mcdonald 's mcdonald 's mcdonald,mcdonalds_switzerland_356,0.90530896,0.40257198
