prompt,label,image
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, Com, hat, @, ort.",and the standardized testing was a Biggie Bag,wendys_158
"bo, "">, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.","Finally, a post you care about: Spicy Nuggs are back, baby 🔥",wendys_366
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, Com, hat, @, ort.",What blind items got leaked about Frosty😲?,wendys_192
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",Guess a ghost ate your fries. ¯\_(ツ)_/¯,wendys_232
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.",What if we kissed in the Wendy’s drive thru? jk…. unless ? 👉👈 👀,wendys_267
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort.",And we’re back #NationalRoastDay,wendys_117
"bo, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.","Straight-up facts, son.",wendys_248
"bo, re, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, Com, hat, @, ort.",🍔?,wendys_122
"bo, re, v, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, ustom, ti, Com, hat, @, ort, x.",that’s where the protein is,wendys_12
"bo, "">, v, ches, �, urrent, int, ever, ze, ми, And, alse, ther, these, dd, ch, Name, E, AP, I, <unused42>, mun, sto, work, ustom, ti, Com, hat, @, ort.","The couple that feasts on Wendy’s together, stays together.",wendys_239
