image_id,caption,fluency,diversity
imgflip_210,teacher congratulating me for getting an a on the test; me who sat close to his desk and saw his grade test,0.75540406,0.5100895
imgflip_113,thought i was the only one in the public restrooms until i started singing; when i finished someone in the next stall clapped,0.24657115,0.5100895
imgflip_135,me; watching the children play and have fun because i know that there is a 100 million ton asteroid zooming towards my earth as i wait in my escape vessel.,0.5729466,0.5100895
imgflip_380,member when; people got rewarded for the things they did- not because of who they became !,0.84624153,0.5100895
imgflip_73,twitter is even more like the circus now that you 're it and 't be recommended; twitter users,0.27705932,0.5100895
imgflip_881,"pov: you make a video; you go on youtube; you make a movie and it gets so much views; it gets so much likes; you get so many subscribers; it gets copyrighted; it does n't matter, as long as you copyright it; it gets more views; you become famous; you earn$ 1000000!",0.86006945,0.5100895
imgflip_3,"so this is related to arbitrum right? arbid could be the last step before the airdrop right? just tell me this is the last step before the airdr .... damnit you fool! you know how this works, you mention the drop and another 30 days& amp; 200 crew3 tasks are added.",0.2893149,0.5100895
imgflip_577,looking at the fun stream and you see a good meme; look at the bad that get a bunch of cheap copies,0.71170104,0.5100895
imgflip_126,"this my son, is about wonderful time of chistmas. its here we live to celebrate the most joyful time of the year; dont you dare even talk about it ... thats where the christmas haters live",0.75179225,0.5100895
imgflip_29,hello; anyone interested the me to draw wendigos and stuff; cause im writing a book and need an illustrator; comment if your interested; plz,0.04473724,0.5100895
imgflip_538,you need to give credit where credit is due on the economy; thank you president sir!,0.418971,0.5100895
imgflip_63,this is where my crowns in fall guys would go; if i had any from my year 's shows,0.7146922,0.5100895
imgflip_218,when you take a quick 40 minute nap but end up waking up with your up at 1am;* visible confusion*,0.60004276,0.5100895
imgflip_162,when you start trying to eavesdrop and there 's a car with a loud muffler passing by your house; and the damm thing seems to take forever to get out of hearing distance!,0.8304598,0.5100895
imgflip_389,bully: i bet your still a virgin me: i was until yesterday bully: i don’ t believe you me: ask your sis then bully: i don’ t have a sis me: yeah in 9 mounths you would have a daughter,0.23964393,0.5100895
imgflip_11,there are types of gamers. one of them is gamers playing minecraft; and then there 's me trying to play even the lowest quality games but my pc is like t## t,0.66674393,0.5100895
imgflip_45,there ca n't be any witnesses ... me when i was 10 to my dad; it 's ... so beautiful. my mom,0.412032,0.5100895
imgflip_514,"when i grow up, i’ m gon na be rich& amp; famous; i’ m gon na be the & car driver",0.40382156,0.5100895
imgflip_551,you 'd be surprised at how quick lowe 's employees help you after ignoring you for 20 minutes and you you to start a chainsaw ...,0.14856775,0.5100895
imgflip_0,doing something with my life and trying to invent more advanced things; spending 5+ hours a day on imgflip trying and get on the front page,0.43814763,0.5100895
imgflip_165,& quot; today 's teenagers are somehow allowed to operate their deadly machines.& quot;;& quot; yes which 's why i always insist on commuting to and from work in a tank.& quot;,0.8145205,0.5100895
imgflip_133,the people at my funeral:; here lies me:; and am trying to make an appearance on camera to scare everyone:,0.73352796,0.5100895
imgflip_166,"me and my dad ; my grandma; me and my mum; my sister, uncle, and grandad",0.69399476,0.5100895
imgflip_114,"any illegal "" "" you is not my president '' sign in protest of the election; has a valid point",0.22087736,0.5100895
imgflip_52,my mind “ show him my ! ”; me “ do i put the coat on; me “ but i’ m cold ”; my mind “ the outfit!!! ”; me “ ok ok jeez ”,0.34255105,0.5100895
imgflip_316,"there is a person on imgflip called shiko-uwu-mint or shiko-mint-uwu or whatever. anyway she’ s someone who harasses people for no supporting lgbtq+ or furries, and she’ ll harass you if u don’ t support gay people and furries, i’ m here to raise awareness, so far i’ ve only seen her harass me and one other person, there is also another user called puckthepooka, but they’ ve stopped, but the main problem is shiko, if you see her, she’ ll try to start an argument with you for not supporting gay people or furries, and if you try to ignore her she’ ll try to lure you in with something along the lines of “ if you ignore me you’ re homophobic. ” be ware, she’ ll also try to get other to gang up on you and make you look like the bad guy; tl; dr there is an lgbtq+ furry supporting extremist who will harass you and try to start and argument with you and try to lure you in with “ if you ignore me you’ re homophobic ” if you say something even along the lines of furries are bad, she will harass you, be aware, we need to start a petition to ban her from imgflip for good and stop harassers like her. i will be posting this to all streams i’ m in to raise awareness",0.34962407,0.5100895
imgflip_277,when the panelist yawns twice by three span of a 10 minute interview and you realize it is time to bring out the big guns; i see dead people,0.13964596,0.5100895
