image_id,caption,fluency,diversity
sonicdrivein_572,this is your sign to get a snack 😎,0.8450023,0.5059119
sonicdrivein_1384,back to school and packed all the essentials.,0.8610084,0.5059119
sonicdrivein_798,just your sign to stop by sonic ✨,0.1379443,0.5059119
sonicdrivein_69,"sometimes when we work on our assignments, genius strikes",0.9603523,0.5059119
sonicdrivein_596,i love when a plan comes together.,0.981198,0.5059119
sonicdrivein_408,the most important messages are quick to type.,0.971387,0.5059119
sonicdrivein_344,here’s a hint: it might have strawberries in it,0.93366027,0.5059119
sonicdrivein_534,it’s just an internal reminder at this point.,0.96835303,0.5059119
sonicdrivein_78,the fourth is strong with this one 😮‍💨,0.35629883,0.5059119
sonicdrivein_457,might as well just @ me.,0.70460385,0.5059119
sonicdrivein_522,big and little. do we need to say more?,0.9699166,0.5059119
sonicdrivein_691,can we make it any more obvious? 💁‍♀️,0.9481008,0.5059119
sonicdrivein_290,reminder to check in on your group chats today,0.9089121,0.5059119
sonicdrivein_832,a lil’ confidence boost to get you through. 😭,0.8047007,0.5059119
sonicdrivein_1502,"you: “mom, can we go to sonic?”",0.8735439,0.5059119
sonicdrivein_414,when you first move out of your parents’ house:,0.87979394,0.5059119
sonicdrivein_496,how would you define it? #mmmsonic,0.8388971,0.5059119
sonicdrivein_89,our social media manager (me) is wildin,0.87779725,0.5059119
sonicdrivein_152,i’ll stop ordering kids meals when i’m ready (never),0.78982306,0.5059119
sonicdrivein_143,this very good boy deserves a very good treat,0.97124845,0.5059119
sonicdrivein_196,"wake up, it’s the first of the month",0.9484379,0.5059119
sonicdrivein_65,we're just two single moms who work one job!,0.9607161,0.5059119
sonicdrivein_1199,there’s only one thing running through my mind. 🏃🥤🏃,0.9506423,0.5059119
sonicdrivein_690,don't keep mom from her emotional support ice.,0.5808597,0.5059119
sonicdrivein_51,the r&d lab really went off with this one,0.9546835,0.5059119
sonicdrivein_670,"you want it, you got it!",0.92875737,0.5059119
sonicdrivein_742,just starting our weekend off with a slush. 🤩,0.91710246,0.5059119
sonicdrivein_163,sorry 4 the vegetables i bought rip :(,0.37523636,0.5059119
sonicdrivein_585,we didn’t even try to understand the assignment 🌭,0.91306335,0.5059119
sonicdrivein_2052,"eat your heart out, candy board games. ",0.46238413,0.5059119
sonicdrivein_497,one tot doesn’t make me a bad mom.,0.9067887,0.5059119
sonicdrivein_1594,"sonic is the goat, just ask a goat.",0.71222556,0.5059119
sonicdrivein_893,block ‘em in the top left corner. 👀,0.8197266,0.5059119
sonicdrivein_486,i love the taste of hypocrisy in the morning.,0.98047274,0.5059119
sonicdrivein_786,“i’m gonna walk the dog.”,0.92365164,0.5059119
sonicdrivein_784,"💪 no pain, no gain(ing tots). 🥲",0.82753795,0.5059119
sonicdrivein_505,test your circle. bring up steak butter bacon cheeseburgers.,0.93176186,0.5059119
sonicdrivein_80,just know we are very proud of this one,0.9347637,0.5059119
sonicdrivein_373,who knew ai had such good taste? #ai,0.81464785,0.5059119
sonicdrivein_495,sharing’s only fun when it’s not your stuff,0.866602,0.5059119
sonicdrivein_376,not us seeing our ex at the drive-in,0.90565515,0.5059119
sonicdrivein_369,her friends better stay away from her tots 🫣,0.6154088,0.5059119
sonicdrivein_283,asking for a friend. #weird #wrong,0.8918,0.5059119
sonicdrivein_2031,"👨: to me, you're perfect. 👩: ...babe.👨",0.86965483,0.5059119
sonicdrivein_697,"sonic saves the day! (and night, too)",0.9465677,0.5059119
sonicdrivein_780,eating a corn dog in outer space? 👀,0.9261232,0.5059119
sonicdrivein_566,i’ve had some time on my hands 😂,0.93245804,0.5059119
sonicdrivein_85,every wrap has its own special qualities 🤗,0.9287988,0.5059119
sonicdrivein_91,"the best day of the year, lads",0.892658,0.5059119
sonicdrivein_645,where we get our ice. it's chill.,0.8638112,0.5059119
sonicdrivein_446,it’s never too cold for ice cream.,0.96062636,0.5059119
sonicdrivein_98,m&m blast on canvas by sonic (e. 1953),0.82646734,0.5059119
sonicdrivein_491,"ahhh yes, gold, my favorite color.",0.8886177,0.5059119
sonicdrivein_571,life is good. cheese makes it better,0.97901183,0.5059119
sonicdrivein_234,what’s my skincare routine you ask? small classic shakes,0.6924204,0.5059119
sonicdrivein_560,what should we name our fantasy team?,0.933624,0.5059119
