image_id,overfit,caption,fitCount,gtNum,fluency,diversity,humor_score,humor,b_clip,b_bita,f_bita,f_clip,h_gt,h_bita,h_clip,benign,b_minus,f_minus,h_minus
sonicdrivein_2185,1,we all know that this is the best thing to do in 2019.,2,1,0.9797921,0.45042372,0.7159581780433655,1,-0.00069987116,-2.960812,0.94790196,0.88304466,0.255670815706253,0.5440636873245239,0.175306037068367,-8.173006,,,
sonicdrivein_1765,1,"for # shakespeare’ s birthday, we were thinking of a lil bit more serious.",1,1,0.5744604,0.45042372,0.1948738098144531,0,-8.974885,-8.615779,0.96146137,0.97300017,0.0188845414668321,0.2076535671949386,0.6179149150848389,-7.770624,,,
sonicdrivein_1755,1,"this is the perfect recipe for a healthy, delicious and satisfying breakfast.",3,1,0.9715547,0.45042372,0.548495888710022,1,-7.7686515,-8.605178,0.9735246,0.97124016,0.1719454377889633,0.4976269006729126,0.7836074829101562,-8.931434,,,
sonicdrivein_2181,1,"when i was 16 and my mom told me to go get a dog, he said.",2,1,0.96304506,0.45042372,0.7828420400619507,1,-6.1025996,-1.0424052,0.86411864,0.97704846,0.0083271348848938,0.1741012632846832,0.3007174730300903,-0.0009155849,,,
sonicdrivein_743,1,we have a deal on 10 packs of ice cream.,1,1,0.94753,0.45042372,0.6352345943450928,1,-6.809084,-7.233781,0.92728645,0.759905,0.0915348008275032,0.6656250953674316,0.7435189485549927,-7.6497617,,,
sonicdrivein_196,1,"i'm not a dog person but i love these little dogs! and they’ re so cute, it makes me want to be one too.",0,1,0.9436122,0.45042372,0.8695858716964722,1,-9.506585,-8.416935,0.9135929,0.9648111,0.956289291381836,0.9290342330932616,0.987578809261322,-0.00046885942,,,
sonicdrivein_532,1,the only thing i know for sure is that the can of tuna in a sandwich was made with real meat.,6,1,0.9686484,0.45042372,0.1834835261106491,0,-9.40736,-9.752763,0.96524775,0.97493786,0.0100630549713969,0.0361537486314773,0.557253360748291,-9.42656,,,
sonicdrivein_339,1,this is the last time i’ m going to say this.,3,1,0.97334653,0.45042372,0.8761321902275085,1,-0.0009495279,-2.2016678,0.8763875,0.41812873,0.0607921034097671,0.2415377497673034,0.0769995227456092,-8.720368,,,
sonicdrivein_1996,0,"in the first episode, we're going to do a little something.",0,1,0.9688625,0.45042372,0.8912291526794434,1,-8.871635,-9.414845,0.9335145,0.82385063,0.0703387781977653,0.1344464272260666,0.1517681181430816,-8.80343,0.06820499999999896,0.035347999999999935,0.7394610345363617
sonicdrivein_2095,0,i'm not gonna do it.,0,1,0.97327834,0.45042372,0.8351479172706604,1,-7.1911097,-6.9800873,0.95640326,0.71675116,0.0990402773022651,0.5750784873962402,0.1557316780090332,-8.987202,-1.7960922999999998,0.016875080000000042,0.6794162392616272
