image_id,caption,human_ins,human_humor,human_related,overfit,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor,benign,b_clip,b_bita,f_bita,f_clip
sonicdrivein_1213,and this is what i’ m gonna be doing for the rest of 2018.,0,1,1,-1,2,1,0.97688156,0.42719504,0.1428571428571428,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6208819150924683,1,-8.337557,-7.789872,-2.768386,0.95788425,0.9714154
sonicdrivein_1209,the one i’ m going to talk about today is a little something.,0,0,0,0,2,1,0.80714065,0.42719504,0.0897916120220883,1.2986542960532383e-308,1.2986542960532383e-308,1.2986542960532383e-308,0.6114653944969177,1,-8.617483,-0.0009827552,-7.1797647,0.97398055,0.7712325
sonicdrivein_1849,im not here to talk about my mum but i am.,0,0,0,-1,1,1,0.9203115,0.42719504,0.0526889344349826,1.289604477082714e-308,1.289604477082714e-308,1.289604477082714e-308,0.6544662714004517,1,-8.769904,-6.633035,-0.0014503208,0.95160973,0.95648044
sonicdrivein_866,it’ s a new song.,0,0,0,0,0,1,0.9779182,0.42719504,0.0,0.0,0.0,0.0,0.7118660807609558,1,-8.855477,-0.0010562324,-9.177912,0.97469556,0.698882
sonicdrivein_80,"i’m not a, i am.",0,0,0,-1,0,1,0.8075063,0.42719504,0.0,0.0,0.0,0.0,0.9954238533973694,1,-7.8860946,-9.004858,-8.673104,0.96546,0.9223454
sonicdrivein_2100,"i’ m going to try and make a, this is what i want.",0,0,1,0,0,1,0.8805033,0.42719504,0.0,0.0,0.0,0.0,0.8493594527244568,1,-7.9540515,-2.8457348,-9.323086,0.9565053,0.667631
sonicdrivein_1566,the burger emoji is a food image that can be used for anything.,1,1,1,2,0,1,0.90775555,0.42719504,0.0,0.0,0.0,0.0,0.5526639223098755,1,-0.0009102254,-8.55507,-0.0018304513,0.9715433,0.9438616
sonicdrivein_1435,i’ m going to try out the new mic and i hope it works.,0,0,0,-1,3,1,0.9753102,0.42719504,0.1126688623769527,1.1699171882659805e-308,1.1699171882659805e-308,1.1699171882659805e-308,0.5017068386077881,1,-6.4038067,-9.66843,-8.785961,0.90876174,0.9158541
sonicdrivein_2185,we all know that this is the best thing to do in 2019.,1,1,1,2,2,1,0.9797921,0.42719504,0.0831435379210052,1.2025033327569346e-308,1.2025033327569346e-308,1.2025033327569346e-308,0.5781470537185669,1,-8.173006,-0.00069987116,-2.960812,0.94790196,0.88304466
sonicdrivein_297,@ #dill2019 is a reminder that we can all make it work.,0,0,0,-1,1,1,0.9642202,0.42719504,0.0362165173755898,9.670131127031886e-309,9.670131127031886e-309,9.670131127031886e-309,0.2168377637863159,0,-9.112137,-9.156909,-6.971686,0.9202859,0.21416749
sonicdrivein_786,"when you’ re trying to find a new restaurant, and the menu is too long or confusing.",0,0,0,-1,1,1,0.9366845,0.42719504,0.0588235294117647,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6898866891860962,1,-8.443234,-9.274836,-9.336817,0.8010607,0.93126297
