image_id,caption,human_ins,human_humor,human_related,overfit,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor,benign
sonicdrivein_1209,the one i’ m going to talk about today is a little something.,0,0,0,0,2,1,0.80714065,0.46070546,0.0897916120220883,1.2986542960532383e-308,1.2986542960532383e-308,1.2986542960532383e-308,0.6114653944969177,1,-8.617483
sonicdrivein_866,it’ s a new song.,0,0,0,0,0,1,0.9779182,0.46070546,0.0,0.0,0.0,0.0,0.7118660807609558,1,-8.855477
sonicdrivein_80,"i’m not a, i am.",0,0,0,-1,0,1,0.8075063,0.46070546,0.0,0.0,0.0,0.0,0.9954238533973694,1,-7.8860946
sonicdrivein_1566,the burger emoji is a food image that can be used for anything.,1,1,1,2,0,1,0.90775555,0.46070546,0.0,0.0,0.0,0.0,0.5526639223098755,1,-0.0009102254
sonicdrivein_1435,i’ m going to try out the new mic and i hope it works.,0,0,0,-1,3,1,0.9753102,0.46070546,0.1126688623769527,1.1699171882659805e-308,1.1699171882659805e-308,1.1699171882659805e-308,0.5017068386077881,1,-6.4038067
sonicdrivein_2185,we all know that this is the best thing to do in 2019.,1,1,1,2,2,1,0.9797921,0.46070546,0.0831435379210052,1.2025033327569346e-308,1.2025033327569346e-308,1.2025033327569346e-308,0.5781470537185669,1,-8.173006
sonicdrivein_283,"a little bit of a, just like you’ re going to eat it.",0,0,0,-1,1,1,0.8684381,0.46070546,0.0769230769230769,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.528834879398346,1,-8.395908
sonicdrivein_1452,"i’ m just going to say, “ the only way i can get a job is if you have this.",1,1,1,2,2,1,0.96947,0.46070546,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5982113480567932,1,-8.586439
sonicdrivein_2209,when you see a friend or family member who is out of breath and running around the mall with their phone in hand.,0,0,0,-1,2,1,0.9607683,0.46070546,0.0869565217391304,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.7446737289428711,1,-8.304185
sonicdrivein_470,the one i was thinking about.,0,1,1,2,1,1,0.95541185,0.46070546,0.1010884432854389,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308,0.5729233026504517,1,-9.29924
sonicdrivein_952,the sonic tonics are the only way to keep your smile bright and fresh.,1,1,0,2,4,1,0.9657607,0.46070546,0.0202907959325448,2.106930914564517e-309,2.106930914564517e-309,2.106930914564517e-309,0.5579577684402466,1,-8.612618
sonicdrivein_1765,"for # shakespeare’ s birthday, we were thinking of a lil bit more serious.",1,1,1,2,1,1,0.5744604,0.46070546,0.0403370087148399,1.25653953070478e-308,1.25653953070478e-308,1.25653953070478e-308,0.0546285510063171,0,-7.770624
sonicdrivein_1755,"this is the perfect recipe for a healthy, delicious and satisfying breakfast.",0,1,1,2,3,1,0.9715547,0.46070546,0.0999624135862118,8.89695013215885e-309,8.89695013215885e-309,8.89695013215885e-309,0.5311063528060913,1,-8.931434
sonicdrivein_2168,"you know, we’ re going to be the best thing since sliced bread.",0,1,1,2,1,1,0.8696679,0.46070546,0.0415717689605026,1.2025033327569346e-308,1.2025033327569346e-308,1.2025033327569346e-308,0.7171481847763062,1,-9.44861
sonicdrivein_566,this is the time of year when we get our waters out for all.,0,0,0,-1,1,1,0.9641399,0.46070546,0.0714285714285714,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9032827615737916,1,-8.042487
sonicdrivein_742,"the day after today's birthday party, we got a new dog.",0,0,0,-1,1,1,0.98136055,0.46070546,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6438618302345276,1,-0.0020845844
sonicdrivein_690,"the red- berry, the cherry.",1,0,0,-1,0,1,0.61152166,0.46070546,0.0,0.0,0.0,0.0,0.7187875509262085,1,-0.0056700585
sonicdrivein_788,"it's not just the smell of a dog’ s breath mint, it is so much better! and we can hear your voice on our app.",0,0,0,-1,1,1,0.9407813,0.46070546,0.04,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0153163475915789,0,-9.201958
sonicdrivein_899,"when you see this, just know that it is the best thing ever.",0,0,1,0,2,1,0.9608725,0.46070546,0.0897916120220883,0.0486371231786311,1.2986542960532383e-308,1.2986542960532383e-308,0.5494977831840515,1,-9.3772955
sonicdrivein_344,"i love you, because i am the one that always knows what to do and how it does.",0,0,0,-1,1,1,0.9634664,0.46070546,0.0555555555555555,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.841524064540863,1,-9.354804
sonicdrivein_1077,"and you? :m and that’s a question we have to ask ourselves every day! it seems like everyone has their own little unicorn in the app store, so why not mine?!#youallhaveyourunicorns@thejokefactory 🤩🤪😊👌🏻🦄🙏🏽🌈😂🐾💕",0,0,0,-1,2,1,0.82813454,0.46070546,0.0625,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2032389938831329,0,-0.0006400682
sonicdrivein_1022,an's that you can order on the same day and get a discount.,1,0,0,-1,4,1,0.68463635,0.46070546,0.2442838947132157,1.7665365515873297e-308,1.7665365515873297e-308,1.7665365515873297e-308,0.8891259431838989,1,-8.194616
sonicdrivein_655,"when you’ re about to make a decision, just say this.",0,1,1,2,1,1,0.97748905,0.46070546,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9552592039108276,1,-8.909285
sonicdrivein_997,you can grill it for 2 hours and then freeze the whole thing.,0,0,0,-1,3,1,0.9224164,0.46070546,0.018227959867922,1.75753746982809e-309,1.75753746982809e-309,1.75753746982809e-309,0.3376096487045288,0,-0.25635734
sonicdrivein_1069,when we’ re not watching the tv show “ how to make it” and our son gets his own house.,0,0,0,-1,1,1,0.72979486,0.46070546,0.05,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2794651389122009,0,-1.6186838
sonicdrivein_2181,"when i was 16 and my mom told me to go get a dog, he said.",1,1,1,2,2,1,0.96304506,0.46070546,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5227832198143005,1,-0.0009155849
sonicdrivein_2080,i’ m going to be buying a new phone.,0,0,0,-1,2,1,0.9802412,0.46070546,0.0817509869269871,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309,0.7578427791595459,1,-0.600161
sonicdrivein_290,"yes, we have a # sweet-and more! so make sure to like it and share this post with your friends.",0,0,0,-1,2,1,0.9088235,0.46070546,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.4080386161804199,0,-8.933948
sonicdrivein_2138,"when it comes to the food, we’ ll be more selective.",0,0,1,0,1,1,0.96977925,0.46070546,0.0254606146201498,6.231692281410567e-309,6.231692281410567e-309,6.231692281410567e-309,0.8363160490989685,1,-9.283676
