caption,image_id,funny_score,caption_id
you all loved it so i brought it back,mcdonalds_0,1.0,caption1
20 pics for 20 pieces <3,mcdonalds_1,1.0,caption2
i love him though,mcdonalds_2,1.0,caption3
what did u say,mcdonalds_3,1.0,caption4
the crossover u never knew u needed,mcdonalds_4,0.5,caption5
me n who?,mcdonalds_5,0.0,caption6
"loving Grimace in all his forms, Collector’s Meal is out now",mcdonalds_6,0.5,caption7
impossible to pick a fave. Get 1 of 6 collector’s cups today with the Collector’s Meal before it’s gone.,mcdonalds_7,0.0,caption8
in 20 years ur gonna be happy u collected all 6 limited edition cups. Collector’s Meal 8.13.,mcdonalds_8,0.0,caption9
ur not ready for what i’m about to spill,mcdonalds_9,0.0,caption10
which core memory did these just unlock,mcdonalds_10,1.0,caption11
how many fingers are you holding up,mcdonalds_11,1.0,caption12
juju strolling my way over rn,mcdonalds_12,1.0,caption13
this show has changed me,mcdonalds_13,1.0,caption14
race weekend recap 🏁,mcdonalds_14,0.5,caption15
from shibuya to the mcd’s app 🤌🫴🟣,mcdonalds_15,0.0,caption16
shibuya meets chicago. see u at the race 7.7 @jujutsukaisen,mcdonalds_16,1.0,caption17
so which one are u trying to get on 7.9?,mcdonalds_17,0.0,caption18
i’ll show u what real jujutsu is. special grade garlic sauce drops 7.9 in the app,mcdonalds_18,1.0,caption19
something SPECIALZ coming,mcdonalds_19,1.0,caption20
happy birthday month to grimace say it back,mcdonalds_20,1.0,caption21
in grimace we trust @mets,mcdonalds_21,1.0,caption22
or am i alone in this world,mcdonalds_22,1.0,caption23
took a ride with @bubbawallace & @tyler_reddick at race weekend in Iowa 🏎️💨,mcdonalds_23,0.0,caption24
"we asked u which cars u wanted to see @bubbawallace & @tyler_reddick drive in Iowa 
take a look at their new rides 🤩",mcdonalds_24,0.0,caption25
this is ur sign to call ur grandma. get a Grandma McFlurry before it’s gone,mcdonalds_25,0.0,caption26
thanks for sharing all ur grandma nicknames i loved hearing about all of them,mcdonalds_26,0.0,caption27
the Grandma McFlurry is out and I’ve already taken 3 grandmas today wbu,mcdonalds_27,0.0,caption28
calling every grandma i know bc the Grandma McFlurry comes out 5.21,mcdonalds_28,0.0,caption29
michelangelo’s drive thru,mcdonalds_29,1.0,caption30
"the dream team is back again, vote for ur fav in stories 🏎️",mcdonalds_30,0.0,caption31
one me espresso to go please,mcdonalds_31,1.0,caption32
real ones remember,mcdonalds_32,1.0,caption33
ur order is ready,mcdonalds_33,1.0,caption34
💅,mcdonalds_34,1.0,caption35
lmk,mcdonalds_35,1.0,caption36
the Filet-O-Fish wows in a new photo ,mcdonalds_36,0.5,caption37
the more you know,mcdonalds_37,1.0,caption38
let me know at your earliest convenience,mcdonalds_38,1.0,caption39
couldn’t keep the secret any longer,mcdonalds_39,1.0,caption40
i’ll miss this crew. maybe we’ll meet again some day,mcdonalds_40,1.0,caption41
my head is now permanently nodding - official wcdonald’s music video w/ @rrreol999 & @studiopierrotjp out now,mcdonalds_41,1.0,caption42
let the last week of WcDonald’s be a celebration of the wcnuggets we dipped…and the friends made along the way,mcdonalds_42,1.0,caption43
u can only eat wcnuggets on the moon one way wyd,mcdonalds_43,1.0,caption44
built a mecha for short #3 🦾 and it’s just as epic in the sub and dub,mcdonalds_44,1.0,caption45
be honest which is cuter because i can’t choose (ᗒᗣᗕ)՞,mcdonalds_45,1.0,caption46
new wcdonalds short is here,mcdonalds_46,1.0,caption47
if i order this is that considered cosplaying,mcdonalds_47,1.0,caption48
PSA there are new digital mangas every week if u wanna color those too @acky_bright,mcdonalds_48,0.0,caption49
step 1: put arms behind u.,mcdonalds_49,1.0,caption50
WcDonald’s is *leveling up voice* HERE,mcdonalds_50,1.0,caption51
WcDizer is just like me fr,mcdonalds_51,1.0,caption52
tag urself i’m BURG,mcdonalds_52,1.0,caption53
a new universe is coming. level up with wcdonalds sauce and wcnuggets 2.26,mcdonalds_53,1.0,caption54
