caption,image_id,funny_score
consider this a wake up call for more fun. 🥤#LiveFreeEatSonic,sonicdrivein_0,0.0
thx eric for showing me how to shadow,sonicdrivein_1,0.0
@parishilton and @nicolerichie returned to the original @sonicdrivein from The Simple Life! #FallonTonight,sonicdrivein_2,0.0
its ✨ sonic math ✨ dont question our methods,sonicdrivein_3,0.0
getting ready for my tot girl walk,sonicdrivein_4,0.0
i’m seeing SONIC,sonicdrivein_5,1.0
dress for the job u want,sonicdrivein_6,1.0
but would a float float 🤔,sonicdrivein_7,0.0
we picked up a few new faces for our Superfan Limo 😍 welcome @sophiniweenie and @seansauce,sonicdrivein_8,0.0
"living free, having fun",sonicdrivein_9,0.0
the tot that got away,sonicdrivein_10,1.0
no but how do we know what blue tastes like,sonicdrivein_11,0.0
boss asked me to make something cool...what is cooler than ice asmr?,sonicdrivein_12,0.0
totstickers...about time,sonicdrivein_13,0.0
swipe to see where we went wrong,sonicdrivein_14,0.0
u told us to do stuff so we did stuff,sonicdrivein_15,0.0
us 🤝 @ayame.p 🤝 smashers #newburger #SONICsmasher #hydraulicpress,sonicdrivein_16,0.0
…should we?,sonicdrivein_17,0.0
testing SONIC menu items for next year’s food rolling competition.,sonicdrivein_18,0.0
someone plz plan a tot themed birthday bc this is what dreams are made of,sonicdrivein_19,0.0
@gracelynnhewitt is a genius.,sonicdrivein_20,0.0
"u mess with the groovy fry, you get the groovy guy",sonicdrivein_21,0.0
did you guys know that you’re allowed to fill your own piñata up with whatever you want?,sonicdrivein_22,0.0
"did this make u want a blue raspberry slush, be honest",sonicdrivein_23,0.0
"just relax, and breathe from your toes",sonicdrivein_24,0.0
crab girl summer,sonicdrivein_25,1.0
crab the summer of your dreams haha,sonicdrivein_26,0.0
*slams laptop shut until monday*,sonicdrivein_27,0.0
who knew slushes could be so mesmerizing,sonicdrivein_28,0.0
"@JnR.squad, thank you for finding a way to make a slush even better.",sonicdrivein_29,0.0
pickle problems require pickle solutions,sonicdrivein_30,0.0
inaugural Superfan Limo inductees! Tag who deserves a seat 👇,sonicdrivein_31,0.0
summer road trip essential,sonicdrivein_32,0.0
should I though??,sonicdrivein_33,0.0
thank you @citiesbydiana for saying what we’ve all been thinking. more drive-ins is always the answer.,sonicdrivein_34,0.0
y'all really got me with that one,sonicdrivein_35,0.0
an all-american vibe,sonicdrivein_36,1.0
"come for the content, stayed for the fries",sonicdrivein_37,0.0
sound off in the comments,sonicdrivein_38,0.0
nothing hits quite like words of aff from ur boss 😮‍💨,sonicdrivein_39,0.0
soaking in the ventura vibes this weekend in the cutest way,sonicdrivein_40,0.0
it’s giving gold medal ????? #xgamesmode,sonicdrivein_41,0.0
preparing for the weekend like,sonicdrivein_42,1.0
we would legit pay for an entire separate streaming service that just ran episodes of this,sonicdrivein_43,0.0
"top 5 things to drive into, sorry neighbor Carl",sonicdrivein_44,0.0
ur Sonic interns here with the mocktails of the summer 😎,sonicdrivein_45,0.0
legend has it Eric still hasn't looked the CIO in the eyes since this happened...,sonicdrivein_46,0.0
#tatertotcore #core #edits,sonicdrivein_47,0.0
the ending is still a WIP but it's def a vibe,sonicdrivein_48,0.0
"made this to show our boss what we've accomplished so far, feel like we're crushing it!!",sonicdrivein_49,0.0
"helping u fulfill all ur hot girl summer dreams. fanny pack that keeps your snacks warm, bag that holds all the tots u",sonicdrivein_50,0.0
the R&D lab really went off with this one,sonicdrivein_51,1.0
met the chief flavorista today. she's incredible. and SHE JOURNALS.,sonicdrivein_52,1.0
we’re not doing the shakes…you alredy know they scoop!,sonicdrivein_53,0.0
"it's about EFFICIENCY ppl, really not that cOmPliCAted !!",sonicdrivein_54,0.0
wash?? my cargo pants where I keep my tots? yeah good one Jessy,sonicdrivein_55,0.0
"Some say the CIO's first innovation so far has been the vibes, which we are loving",sonicdrivein_56,0.0
yes we see your comments!! pls be nice,sonicdrivein_57,0.0
a sonic intern podcast? buckle upppp,sonicdrivein_58,0.0
spoiler: they didn't give either of us the modeling gig,sonicdrivein_59,0.0
maybe we did too much,sonicdrivein_60,0.0
Eric calls this his “no skips” monday,sonicdrivein_61,0.0
still not sure why we weren’t asked to be in the ad…,sonicdrivein_62,0.0
I think this is our boss's way of telling me I can bring my roommate's dog in to the office?,sonicdrivein_63,0.0
fun times: incoming,sonicdrivein_64,0.0
we're just two single moms who work one job!,sonicdrivein_65,1.0
...maybe we aren't ready,sonicdrivein_66,0.0
#crab a Slush today,sonicdrivein_67,0.0
what is it about this crab that I just love so MUCH???,sonicdrivein_68,0.0
"sometimes when we work on our assignments, genius strikes",sonicdrivein_69,1.0
if we all clap loud enough they'll make Big Tot a thing,sonicdrivein_70,0.0
two types of interns in the world…,sonicdrivein_71,0.0
reporting for duty 🫡,sonicdrivein_72,0.0
the interns are in control now 🤝 welcome Eric & Jessy!,sonicdrivein_73,0.0
at least he’s consistent...,sonicdrivein_74,1.0
this is getting out of hand,sonicdrivein_75,0.5
how we grill our cheese,sonicdrivein_76,1.0
u can't tell me the debriefs don't hit different here,sonicdrivein_77,1.0
the fourth is strong with this one 😮‍💨,sonicdrivein_78,1.0
just a tot going through a lot rn,sonicdrivein_79,1.0
just know we are very proud of this one,sonicdrivein_80,1.0
coincidence?,sonicdrivein_81,1.0
it’s a serious problem,sonicdrivein_82,1.0
i am the drama and i'm not afraid to admit it,sonicdrivein_83,1.0
this button fixes everything,sonicdrivein_84,1.0
every wrap has its own special qualities 🤗,sonicdrivein_85,1.0
2024 solar eclipse 🤝 our NEW Blackout Slush Float. Celebrate this special event with our blackout slush topped with,sonicdrivein_86,1.0
"Introducing the newest SONIC beverage, the Queso Slush: Sip the Dip, featuring Moe’s Famous Queso!",sonicdrivein_87,0.0
my day isn’t complete without all three,sonicdrivein_88,1.0
our social media manager (me) is wildin,sonicdrivein_89,1.0
tots could be this year’s Cinderella story 👀,sonicdrivein_90,1.0
"the best day of the year, lads",sonicdrivein_91,1.0
"when we say we celebrate National Corn Dog day, this is what we mean",sonicdrivein_92,1.0
when we introduce rizz tots it’s over for y’all,sonicdrivein_93,1.0
