image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,benign,humor_score,humor
mcdonalds_switzerland_69,"dear reader, this is the most pressing matter of 2018:# swat bombing in case we don’t get a response from our president soon.",0,1,0.8834224,0.529136,0.0,0.0,0.0,0.0,-3.788989,0.6039074659347534,0
mcdonalds_switzerland_767,"if you see a brave looking, do the following to get more info: i got my first mtk.",4,1,0.712202,0.529136,0.0154407669384003,1.546058109147204e-309,1.546058109147204e-309,1.546058109147204e-309,-9.093926,0.0593407377600669,0
mcdonalds_switzerland_744,"if you open a new account on the app, it 'll put your picture and details of where they live or work for free.",3,1,0.87722933,0.529136,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-9.823802,0.2615830898284912,0
mcdonalds_switzerland_616,"yes, it is a.",0,1,0.93001914,0.529136,0.0,0.0,0.0,0.0,-8.908705,0.4038392901420593,0
mcdonalds_switzerland_769,"you can't eat everything you ""re thinking about.",0,1,0.94568086,0.529136,0.0,0.0,0.0,0.0,-9.431074,0.9602383971214294,1
mcdonalds_switzerland_569,"we all know that ""j.",0,1,0.78428465,0.529136,0.0,0.0,0.0,0.0,-8.882398,0.7110153436660767,1
mcdonalds_switzerland_410,the big deal is in the fact that 25% of people have signed up so far.,2,1,0.98381895,0.529136,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-7.5093713,0.6412648558616638,0
mcdonalds_switzerland_1988,"over the next few weeks, we will be delivering these packages to those who have signed up for our reward system.",2,1,0.98031956,0.529136,0.078720517868975,1.8391691476033075e-308,1.8391691476033075e-308,1.8391691476033075e-308,-9.111626,0.0790230184793472,0
mcdonalds_switzerland_586,i'm telling you all about the shortage of internet in some partsof asia and aroundthe world.,0,1,0.8845958,0.529136,0.0,0.0,0.0,0.0,-0.00012981049,0.2077578902244568,0
mcdonalds_switzerland_1899,"this is a game for the internet, but if you've found your way to this site then congratulations! my life has been significantly shortened by these comments and comics.",4,1,0.9400279,0.529136,0.1379310344827586,0.0357142857142857,2.2250738585072617e-308,2.2250738585072617e-308,-0.0001802282,0.0135556887835264,0
mcdonalds_switzerland_2000,you're invited to a swedish massage and shit like the rest of us are struggling in your couch.,0,1,0.33730143,0.529136,0.0,0.0,0.0,0.0,-8.110131,0.7573801279067993,1
mcdonalds_switzerland_402,"as a big kid, you should see this beautiful place.",0,1,0.9598661,0.529136,0.0,0.0,0.0,0.0,-9.306985,0.4313702881336212,0
mcdonalds_switzerland_163,"if it's not you, say so! :confused:'
the world is melting down to natsu_micheline9701https://www.",0,1,0.59874713,0.529136,0.0,0.0,0.0,0.0,-1.0464617,0.6026965379714966,0
mcdonalds_switzerland_409,it's great that you enjoy this game.,0,1,0.9791356,0.529136,0.0,0.0,0.0,0.0,-9.103633,0.3625934720039367,0
mcdonalds_switzerland_568,"when you see a really big and delicious macdonald's, don’t forget to check out part of your restaurant.",3,1,0.9675395,0.529136,0.0724330347511797,9.670131127031886e-309,9.670131127031886e-309,9.670131127031886e-309,-9.150641,0.2172616571187973,0
mcdonalds_switzerland_1037,it ’s official: the swedish kid is now in big news! but it just means he has got his mfa from top hit@ yolkycanary and flaunr a team of brats?!# t.,0,1,0.3768825,0.529136,0.0,0.0,0.0,0.0,-0.002117298,0.2053489536046981,0
mcdonalds_switzerland_203,"for you: i'm here! for the rest of your day, just open up my phone and see who/what.",2,1,0.88259137,0.529136,0.111111111111111,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-8.820069,0.1625519543886184,0
mcdonalds_switzerland_118,you 'll have to pay god’s money for that candy at table coulter in a hurry.,1,1,0.7188256,0.529136,0.0625,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-7.426778,0.8710611462593079,1
mcdonalds_switzerland_432,"we offer you the best version of our national anthem, but we also encourage everyone to use this holiday as a ballot and send your vote by way.",4,1,0.9287323,0.529136,0.1428571428571428,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-8.193498,0.1072987541556358,0
mcdonalds_switzerland_598,we're waiting for you at the station.,2,1,0.9824163,0.529136,0.0218360819973623,1.700541332859316e-309,1.700541332859316e-309,1.700541332859316e-309,-0.0064633377,0.4970802962779999,0
mcdonalds_switzerland_181,"the night before the police, you can order a ""friend with cat spray” on your menu.",4,1,0.95861095,0.529136,0.1875,0.0666666666666666,2.2250738585072617e-308,2.2250738585072617e-308,-0.00026377538,0.2174727171659469,0
mcdonalds_switzerland_716,"this is a really big deal, but don't worry - we have got you covered! even if it means using one of our whisks.",0,1,0.968323,0.529136,0.0,0.0,0.0,0.0,-8.087494,0.0029912800528109,0
mcdonalds_switzerland_27,i will go to the other side.,1,1,0.97253823,0.529136,0.0806740174296798,1.25653953070478e-308,1.25653953070478e-308,1.25653953070478e-308,-8.244895,0.5098817944526672,0
mcdonalds_switzerland_642,"i'm not going to say thank you for a burger, but my g.",2,1,0.8062075,0.529136,0.1538461538461538,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-8.392488,0.5691807866096497,0
mcdonalds_switzerland_461,"thank you so much for all the extra food on your plates! i hope it's not a big resona in my home, is that right? 👍
### Questions and Answers Related to the Extract:
1.",7,1,0.75846267,0.529136,0.2,0.0294117647058823,2.2250738585072617e-308,2.2250738585072617e-308,-1.4713807,0.0249086581170558,0
mcdonalds_switzerland_429,"do you know what's in your muscle? if you don’t use it, the body will remember.",3,1,0.97250724,0.529136,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-3.9355152,0.0258875470608472,0
mcdonalds_switzerland_19,the order of the month is usually filled with emotion.,0,1,0.97331625,0.529136,0.0,0.0,0.0,0.0,-8.554941,0.8032194375991821,1
mcdonalds_switzerland_1918,do you want to know why so many people are vegan? if they're not then it’s a good night for us.,0,1,0.9776534,0.529136,0.0,0.0,0.0,0.0,-7.4187765,0.0154745178297162,0
mcdonalds_switzerland_265,"you're not playing, are you?
i m going to love this one!
😂 that means the connection is better than mine🙏😍""
It seems like there might be a mix-up in your extract.",2,1,0.87789667,0.529136,0.0625,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-8.712357,0.2069654613733291,0
mcdonalds_switzerland_117,"so many people ask for a simple answer? so they want to be invited into the shower, right.",0,1,0.9734124,0.529136,0.0,0.0,0.0,0.0,-9.756604,0.6326354742050171,0
mcdonalds_switzerland_682,you can also enjoy a delicious meal in the restaurant of your choice.,2,1,0.97966295,0.529136,0.1538461538461538,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-9.391601,0.0665159150958061,0
mcdonalds_switzerland_1895,edge-toe.,0,1,0.6011141,0.529136,0.0,0.0,0.0,0.0,-8.205454,0.4993435442447662,0
mcdonalds_switzerland_864,this app is for people who are struggling with their mental health.,0,1,0.9702326,0.529136,0.0,0.0,0.0,0.0,-7.632136,0.9460707902908324,1
mcdonalds_switzerland_721,get rid of the annoying little details that make you lose confidence in yourself.,1,1,0.9723708,0.529136,0.0714285714285714,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-8.780364,0.9545562863349916,1
