caption,image_id,fluency,diversity
what do you think is the best burger you have ever tasted? i do n't know but i want it,mcdonalds_switzerland_1,0.7851514,0.43812713
"we all love the mcdonald 's fries but if you want to try something new, here 's the",mcdonalds_switzerland_7,0.9709708,0.43812713
do you remember when mcdonald 's introduced the mcchicken sandwich? it 's time to relive,mcdonalds_switzerland_16,0.9642762,0.43812713
i 'm so excited i 'm going to pretend that i 've just eaten a sandwich i 'm,mcdonalds_switzerland_13,0.9220934,0.43812713
it 's time to start over again so don 't forget to eat your favorite macaroni again,mcdonalds_switzerland_19,0.95354426,0.43812713
did you know that you can get a free mcdonald’ s burger if you vote for the “,mcdonalds_switzerland_22,0.9005642,0.43812713
did you know that you can get a free mcdonald 's cup with every purchase on the mcdonald ',mcdonalds_switzerland_178,0.81851846,0.43812713
we don’ t know what we ‘ re going to do in the future but we ‘ re,mcdonalds_switzerland_27,0.93256855,0.43812713
"oh, my god, i 'm so tired i 've been looking for you all day i 'm",mcdonalds_switzerland_31,0.91356295,0.43812713
it’ s a big day at the mcdonald’ s menu and the best way to celebrate is,mcdonalds_switzerland_45,0.9443871,0.43812713
when you find out your crush likes the same burger as you do you know there 's no way they ',mcdonalds_switzerland_118,0.95713997,0.43812713
just in case you didn 't know you can turn your mouth into a mcdonald 's logo,mcdonalds_switzerland_117,0.9263791,0.43812713
you 're going to meet a friend who 's going to take you to a place where you 'll,mcdonalds_switzerland_80,0.9754091,0.43812713
does anyone know what i 'm looking for? 🤔🤔🤔🤔,mcdonalds_switzerland_69,0.93865734,0.43812713
"i 'm sorry, i 'm sorry, i 'm sorry, i 'm sorry, i '",mcdonalds_switzerland_168,0.84597373,0.43812713
where is your favorite place to order a mcdonald 's big mac? let us know in the comments below,mcdonalds_switzerland_181,0.8585195,0.43812713
"no matter how long it 's been since you 've had a burger, it 's always been like",mcdonalds_switzerland_203,0.9617238,0.43812713
this is how we use the rosary in the promenade we 'll always remember this moment,mcdonalds_switzerland_172,0.9141077,0.43812713
"when i wake up in the middle of the night to check if my kids are ok, i go to sleep",mcdonalds_switzerland_163,0.98238105,0.43812713
when you 're in the middle of a conversation with someone and they start talking about memes you do n't,mcdonalds_switzerland_169,0.7614992,0.43812713
"in the menu of the mcdonald 's app, there 's a big discount on the mcdonald '",mcdonalds_switzerland_122,0.78657997,0.43812713
how do you know when it 's time to switch to m& m 's? we do n't,mcdonalds_switzerland_793,0.69753456,0.43812713
"you 're not the only one who noticed it when you 're eating a chicken sandwich, you 're",mcdonalds_switzerland_732,0.93637496,0.43812713
"if you 're on the ketchup side of the table, you 're gonna want to switch to the",mcdonalds_switzerland_637,0.94141847,0.43812713
the best way to know if your chicken mcnuggets are ready is to put them in the hot mcm,mcdonalds_switzerland_662,0.9392681,0.43812713
it 's ok to like something that 's not cool it 's ok to like something that 's,mcdonalds_switzerland_654,0.89297265,0.43812713
you never know what you 're going to get when you order the big mac®,mcdonalds_switzerland_712,0.9460599,0.43812713
i 'm a little bit nervous about ordering a meal from mcdonald 's but at least i 'm,mcdonalds_switzerland_721,0.9222871,0.43812713
you 're going to miss that chicken so much that you 're going to have to retire,mcdonalds_switzerland_706,0.97455525,0.43812713
"when you 've just had your morning coffee, you 'll know what we 're talking about",mcdonalds_switzerland_691,0.97013074,0.43812713
"do you know the taste of the mcdonald 's big mac? well, there 's nothing like it",mcdonalds_switzerland_725,0.94373727,0.43812713
"even though i 'm already in the restaurant, i can 't stop myself from eating the burger with the",mcdonalds_switzerland_628,0.6173953,0.43812713
do you remember when you first fell in love with the mcdonald 's coffee? here 's your new,mcdonalds_switzerland_332,0.9187374,0.43812713
i 'm glad i 'm not the only one who 's had a hard time with a watermelon,mcdonalds_switzerland_419,0.96856135,0.43812713
thank you to the mcdonald 's team that 's keeping the mcdonald 's fries warm for the,mcdonalds_switzerland_271,0.5140446,0.43812713
are you ready for some love? 💕 do n't forget to turn on your favorite playlist and shop,mcdonalds_switzerland_265,0.7960955,0.43812713
did you know that the mcdonald 's restaurants in switzerland are also participating in the ronald mc,mcdonalds_switzerland_237,0.9260689,0.43812713
what would you do if you had to choose between the apple fritter and the vanilla one?,mcdonalds_switzerland_222,0.97807103,0.43812713
"do you have a boat? '' yes, i do n't think you 're so bad ''",mcdonalds_switzerland_735,0.46113265,0.43812713
do you know how many fast food restaurants there are in canada? i 'm sure there are more than,mcdonalds_switzerland_794,0.97212344,0.43812713
how the hell did they decide to put the big one on top of the other two? 🤷�,mcdonalds_switzerland_828,0.9627515,0.43812713
when it comes to choosing between the mcdonald 's chicken mcnuggets and the christmas tree which one,mcdonalds_switzerland_769,0.78847134,0.43812713
"so, there 's no way i 'm going to be able to buy a ticket for the mcdonald",mcdonalds_switzerland_774,0.9754572,0.43812713
"when the mcdonald 's fries are removed, it 's not the end of the mcdonald 's",mcdonalds_switzerland_904,0.9086848,0.43812713
"do you want to know what 's on the menu at mcdonald 's? well, there 's",mcdonalds_switzerland_835,0.98017967,0.43812713
"`` oh, the little things the doctors give you when you ask them to do something that they 're not",mcdonalds_switzerland_864,0.95315075,0.43812713
are you ready for some mcdonald 's fries? i ' m sure you ' re not and i ',mcdonalds_switzerland_737,0.9184866,0.43812713
"it 's so easy to say no to a big meal even if you want to eat it, you can",mcdonalds_switzerland_713,0.930698,0.43812713
"and this time, we 're sure you 'll know where these mcdonald 's restaurants are located so",mcdonalds_switzerland_220,0.9708935,0.43812713
what would you do if you tasted the& # 39; mcdonald& # 39;s& # 39,mcdonalds_switzerland_50,0.6323194,0.43812713
`` it 's like a marshmallow in her mouth '' `` that 's what she 's going to,mcdonalds_switzerland_73,0.8191174,0.43812713
what would you do if you had the power to change the menu at mcdonald 's? 🤔,mcdonalds_switzerland_60,0.9644373,0.43812713
what do you think is going to happen to you next time you go to mcdonald 's? tell us,mcdonalds_switzerland_90,0.96641946,0.43812713
"if you 're in the mood for a big mcdonald 's meal, you 're in for a",mcdonalds_switzerland_81,0.9627188,0.43812713
this is the delicious menu of the mcdonald’ s french fries and the mcdonald’ s burger,mcdonalds_switzerland_6,0.8928926,0.43812713
"now that you ‘ve tasted the mcflurry® crunch, you ‘ll never go back to",mcdonalds_switzerland_205,0.96889025,0.43812713
do you know which one is the bigger one? and which one is the little one?,mcdonalds_switzerland_201,0.97522277,0.43812713
"do you know where this mcdonald 's restaurant is located? if so, can you tell me where this",mcdonalds_switzerland_180,0.97177863,0.43812713
it ‘s time for you to get your hands on a mc donald ‘ t snack bag,mcdonalds_switzerland_173,0.8584594,0.43812713
knowing when to stop eating is the key to a good mcdonald ‘t burger 🍔,mcdonalds_switzerland_129,0.8629758,0.43812713
"in this image you can see that the president has given you a gift of $ 3,000 for the next",mcdonalds_switzerland_153,0.93857795,0.43812713
