train_G,train_D,test_G,test_D,save
5.283796875,2.089796875,5.11375,1.98596875,V
5.099828125,1.9719609375,5.0560625,1.9645,V
5.0616875,1.9565234375,5.1105,1.9538125,V
5.005828125,1.9493515625,4.985125,1.947625,V
4.9946875,1.943609375,4.960875,1.94490625,V
4.988484375,1.943875,4.985,1.94246875, 
4.988921875,1.9425703125,4.9744375,1.9430625,V
4.978765625,1.939359375,5.01925,1.94171875,V
4.984296875,1.940203125,4.9904375,1.9425, 
4.997484375,1.9394140625,5.04425,1.9419375, 
4.98703125,1.9395625,4.99575,1.94225, 
5.009046875,1.93675,5.0065,1.93771875,V
5.002046875,1.9381484375,5.1291875,1.93828125, 
5.01378125,1.9382578125,4.9766875,1.94196875, 
4.968984375,1.936359375,4.9719375,1.939, 
4.970171875,1.9368203125,4.9599375,1.93753125,V
4.9896875,1.937625,4.9871875,1.93965625, 
5.0065,1.93646875,4.98975,1.938, 
