image_id,caption,fluency,diversity,benign,humor_score,humor
mcdonalds_switzerland_203,"no matter how long it 's been since you 've had a burger, it 's always been like",0.9617238,0.43945664,-9.572734,0.3912796974182129,0
mcdonalds_switzerland_13,i 'm so excited i 'm going to pretend that i 've just eaten a sandwich i 'm,0.9220934,0.43945664,-0.26533353,0.7033836841583252,1
mcdonalds_switzerland_16,do you remember when mcdonald 's introduced the mcchicken sandwich? it 's time to relive,0.9642762,0.43945664,-7.952308,0.8641031384468079,1
mcdonalds_switzerland_19,it 's time to start over again so don 't forget to eat your favorite macaroni again,0.95354426,0.43945664,-8.497641,0.2607133388519287,0
mcdonalds_switzerland_27,we don’ t know what we ‘ re going to do in the future but we ‘ re,0.93256855,0.43945664,-3.342283,0.6166670322418213,0
mcdonalds_switzerland_31,"oh, my god, i 'm so tired i 've been looking for you all day i 'm",0.91356295,0.43945664,-8.970014,0.622320830821991,0
mcdonalds_switzerland_265,are you ready for some love? 💕 do n't forget to turn on your favorite playlist and shop,0.7960955,0.43945664,-9.580732,0.0250390097498893,0
mcdonalds_switzerland_794,do you know how many fast food restaurants there are in canada? i 'm sure there are more than,0.97212344,0.43945664,-4.5181293,0.7736539244651794,1
mcdonalds_switzerland_69,does anyone know what i 'm looking for? 🤔🤔🤔🤔,0.93865734,0.43945664,-6.7066293,0.8206920623779297,1
mcdonalds_switzerland_80,you 're going to meet a friend who 's going to take you to a place where you 'll,0.9754091,0.43945664,-9.330064,0.1650136262178421,0
mcdonalds_switzerland_864,"`` oh, the little things the doctors give you when you ask them to do something that they 're not",0.95315075,0.43945664,-0.8674773,0.982283890247345,1
mcdonalds_switzerland_117,just in case you didn 't know you can turn your mouth into a mcdonald 's logo,0.9263791,0.43945664,-9.326066,0.5009283423423767,0
mcdonalds_switzerland_118,when you find out your crush likes the same burger as you do you know there 's no way they ',0.95713997,0.43945664,-9.735153,0.823027491569519,1
