g_fc_loss,g_con_loss,g_unc_loss,d_con_r2f_loss,d_con_f2r_loss,d_con_f_loss,d_con_m_loss,d_unc_r_loss,d_unc_f_loss,d_unc_m_loss,,
0.023681641,0.71875,0.80859375,0.62109375,0.6328125,0.875,0.81640625,0.6484375,0.50390625,0.65234375,,32.24742268
0.02746582,0.357421875,0.65625,0.310546875,0.32421875,0.6875,0.76953125,0.64453125,1.8828125,0.6640625,,18.45333333
0.036865234,0.25390625,0.52734375,0.47265625,0.5390625,0.48828125,0.78515625,0.65234375,3.109375,0.67578125,,10.59602649
0.023925781,0.228515625,0.478515625,0.57421875,0.66796875,0.453125,0.81640625,0.64453125,3.5,0.66015625,,14.7755102
0.034667969,0.220703125,0.42578125,0.625,0.703125,0.5859375,0.80078125,0.64453125,4.125,0.6796875,,9.323943662
0.015319824,0.220703125,0.400390625,0.64453125,0.7421875,0.5390625,0.7578125,0.63671875,4.09375,0.671875,,20.27091633
0.031494141,0.20703125,0.404296875,0.67578125,0.78515625,0.53515625,0.7890625,0.6328125,3.375,0.6640625,,9.705426357
0.017333984,0.212890625,0.3671875,0.69140625,0.8203125,0.609375,0.7421875,0.640625,3.421875,0.65625,,16.73239437
0.017456055,0.216796875,0.279296875,0.625,0.7734375,0.6015625,0.81640625,0.67578125,2.421875,0.6640625,,14.20979021
0.012939453,0.2109375,0.240234375,0.5859375,0.7109375,0.72265625,0.81640625,0.671875,2.625,0.65234375,,17.43396226
0.018310547,0.216796875,0.3828125,0.6171875,0.796875,1,0.765625,0.62109375,2.03125,0.66796875,,16.37333333
0.015441895,0.21875,0.26953125,0.5546875,0.71875,0.765625,0.78515625,0.6640625,2.25,0.66015625,,15.81027668
0.020385742,0.220703125,0.27734375,0.498046875,0.6484375,0.87109375,0.76953125,0.64453125,1.65625,0.66015625,,12.21556886
0.01373291,0.22265625,0.427734375,0.4375,0.5859375,0.94140625,0.72265625,0.640625,1.3203125,0.66796875,,23.68
0.016235352,0.221679688,0.32421875,0.416015625,0.5703125,0.828125,0.828125,0.6171875,2.21875,0.65625,,16.81203008
0.021728516,0.2109375,0.3359375,0.32421875,0.412109375,0.828125,0.81640625,0.64453125,0.95703125,0.6484375,,12.58426966
0.023681641,0.212890625,0.24609375,0.328125,0.291015625,0.70703125,0.83203125,0.625,0.875,0.671875,,9.690721649
0.021606445,0.217773438,0.318359375,0.2578125,0.203125,0.75390625,0.84375,0.6484375,0.87109375,0.66015625,,12.40677966
0.020874023,0.216796875,0.224609375,0.23828125,0.451171875,0.68359375,0.7578125,0.65625,0.61328125,0.65234375,,10.57309942
0.01574707,0.21484375,0.30859375,0.247070313,0.265625,0.6484375,0.765625,0.63671875,1.2421875,0.66015625,,16.62015504
0.016845703,0.236328125,0.306640625,0.225585938,0.205078125,0.609375,0.85546875,0.625,0.9375,0.67578125,,16.11594203
0.014282227,0.225585938,0.291015625,0.220703125,0.201171875,0.546875,0.76953125,0.640625,0.671875,0.6640625,,18.08547009
0.018554688,0.22265625,0.359375,0.247070313,0.203125,0.51953125,0.81640625,0.64453125,0.84765625,0.6484375,,15.68421053
0.028076172,0.228515625,0.255859375,0.232421875,0.243164063,0.45703125,0.77734375,0.6484375,0.80859375,0.66015625,,8.626086957
0.021484375,0.2265625,0.275390625,0.267578125,0.228515625,0.64453125,0.77734375,0.62890625,0.82421875,0.65625,,11.68181818
0.019042969,0.220703125,0.28515625,0.244140625,0.232421875,0.50390625,0.74609375,0.65234375,0.796875,0.66796875,,13.28205128
0.014404297,0.219726563,0.271484375,0.21875,0.249023438,0.84375,0.7734375,0.6328125,0.83203125,0.65625,,17.05084746
0.01348877,0.21875,0.349609375,0.228515625,0.237304688,0.5625,0.74609375,0.64453125,0.59765625,0.66015625,,21.0678733
0.016235352,0.2109375,0.241210938,0.233398438,0.21484375,0.400390625,0.765625,0.62890625,0.310546875,0.65625,,13.92481203
0.021240234,0.212890625,0.279296875,0.229492188,0.205078125,0.50390625,0.828125,0.63671875,0.63671875,0.66796875,,11.5862069
0.014770508,0.2109375,0.267578125,0.216796875,0.212890625,0.484375,0.7890625,0.625,0.37890625,0.66796875,,16.19834711
0.021972656,0.217773438,0.271484375,0.220703125,0.255859375,0.625,0.77734375,0.6484375,0.396484375,0.66796875,,11.13333333
0.019897461,0.215820313,0.26171875,0.223632813,0.2578125,0.484375,0.7578125,0.6484375,0.5390625,0.6484375,,12
0.00982666,0.21484375,0.28125,0.247070313,0.21484375,0.5,0.81640625,0.6328125,0.453125,0.65234375,,25.24223602
0.018920898,0.209960938,0.416015625,0.240234375,0.201171875,0.4140625,0.82421875,0.6328125,0.423828125,0.6640625,,16.54193548
0.022949219,0.2109375,0.302734375,0.213867188,0.215820313,0.6171875,0.7734375,0.64453125,0.5625,0.65625,,11.19148936
0.013793945,0.21484375,0.3203125,0.217773438,0.219726563,0.400390625,0.828125,0.640625,0.408203125,0.6640625,,19.39823009
0.013916016,0.211914063,0.247070313,0.211914063,0.216796875,0.384765625,0.77734375,0.6328125,0.462890625,0.671875,,16.49122807
0.011474609,0.21484375,0.3046875,0.216796875,0.2265625,0.3828125,0.8046875,0.640625,0.3984375,0.6640625,,22.63829787
0.013183594,0.2109375,0.263671875,0.212890625,0.228515625,0.333984375,0.75390625,0.62890625,0.33984375,0.6640625,,18
0.016967773,0.209960938,0.28515625,0.221679688,0.220703125,0.35546875,0.703125,0.62109375,0.36328125,0.6484375,,14.58992806
0.016601563,0.2109375,0.24609375,0.221679688,0.217773438,0.328125,0.7734375,0.671875,0.310546875,0.6640625,,13.76470588
0.014465332,0.211914063,0.219726563,0.215820313,0.201171875,0.337890625,0.76953125,0.6484375,0.279296875,0.6484375,,14.91983122
0.015258789,0.208984375,0.2578125,0.217773438,0.200195313,0.29296875,0.765625,0.62890625,0.3671875,0.65625,,15.296
0.011230469,0.208984375,0.231445313,0.211914063,0.201171875,0.3046875,0.7890625,0.62109375,0.337890625,0.65625,,19.60869565
0.014587402,0.2109375,0.26953125,0.209960938,0.20703125,0.30078125,0.8125,0.63671875,0.400390625,0.65234375,,16.46861925
0.010681152,0.216796875,0.294921875,0.21484375,0.20703125,0.275390625,0.76953125,0.6484375,0.36328125,0.640625,,23.95428571
0.018920898,0.216796875,0.259765625,0.21484375,0.205078125,0.318359375,0.77734375,0.66796875,0.36328125,0.6640625,,12.59354839
0.010192871,0.2109375,0.227539063,0.211914063,0.203125,0.25390625,0.83203125,0.6171875,0.380859375,0.65234375,,21.50898204
0.013427734,0.220703125,0.267578125,0.216796875,0.203125,0.26953125,0.84375,0.63671875,0.328125,0.65625,,18.18181818
0.01373291,0.205078125,0.251953125,0.206054688,0.200195313,0.255859375,0.7734375,0.64453125,0.333984375,0.66015625,,16.64
0.010803223,0.21875,0.31640625,0.208984375,0.19921875,0.267578125,0.80859375,0.64453125,0.255859375,0.6484375,,24.76836158
0.014282227,0.21484375,0.291015625,0.206054688,0.201171875,0.2734375,0.8515625,0.63671875,0.223632813,0.671875,,17.70940171
0.015991211,0.2109375,0.28515625,0.206054688,0.201171875,0.265625,0.796875,0.640625,0.2421875,0.6484375,,15.51145038
0.012878418,0.212890625,0.259765625,0.206054688,0.201171875,0.26171875,0.828125,0.6484375,0.279296875,0.68359375,,18.3507109
0.009094238,0.21875,0.263671875,0.206054688,0.203125,0.23828125,0.76953125,0.640625,0.2890625,0.6484375,,26.52348993
0.015136719,0.213867188,0.234375,0.208984375,0.201171875,0.237304688,0.734375,0.66015625,0.255859375,0.6484375,,14.80645161
0.013671875,0.212890625,0.267578125,0.208984375,0.201171875,0.25,0.76171875,0.65625,0.25390625,0.65234375,,17.57142857
