,image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
54,sonicdrivein_135,some people don’ t know how to order a mango ice cream ❤️ but this one’ s for you 🥤# sonicdrinkremix 📷:@ sonicdrinkremix 📷:@ leeynoddartree 👉 add limeade 🍔:@ sonicdr,0,1,0.8805932,0.5666537,0.0,0.0,0.0,0.0
63,sonicdrivein_85,i want to im watch the episodes of imdb all the time 🤩# sonicpopcorn# imdb# episodes# imdb# episodes- ayyyy </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s>,0,1,0.95015943,0.5666537,0.0,0.0,0.0,0.0
69,sonicdrivein_742,when you see blue cheese blended with cream and vanilla.,1,1,0.9526532,0.5666537,0.1,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
73,sonicdrivein_743,we’ re seeing a lot of people coming to the drive-in.,2,1,0.98381686,0.5666537,0.0090521942487025,1.10779904317048e-309,1.10779904317048e-309,1.10779904317048e-309
90,sonicdrivein_163,if you’ re the only one that can understand me i’ m sorry 😏 </s> </s> </body> </html> </html> </body> </html> </html> </body> </html> </body> </html> </body> </html> </body> </html>,2,1,0.9610734,0.5666537,0.0666666666666666,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
148,sonicdrivein_376,one of the few things that will make you happy is seeing the sonic app.,3,1,0.9742775,0.5666537,0.1333333333333333,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
150,sonicdrivein_486,our friends at the drive-in say that we’ re the only group that’ s happy with our food’ s shakes.,2,1,0.9280127,0.5666537,0.1,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
170,sonicdrivein_497,molly and dad are the only ones who know how to make me happy.# mmmsfw# dadmomsday# bloopers ''# momfessionals ''# sonictimes ''# dadfessionals ''# sonictimes ''# dadfessionals# bts# bloopers '' ''# bl,2,1,0.7451929,0.5666537,0.0625,0.032258064516129,2.225073858507262e-308,2.225073858507262e-308
180,sonicdrivein_945,the sonic jungle jungle jungle is here.,1,1,0.8008835,0.5666537,0.1238396999643116,1.928867353251809e-308,1.928867353251809e-308,1.928867353251809e-308
190,sonicdrivein_2200,we’ re trying to get you to understand how we’ re doing.,0,1,0.9748589,0.5666537,0.0,0.0,0.0,0.0
200,sonicdrivein_1376,℗️🌈💫where do we stand on this? 📲# gameover# march5 📲# allthingspsi 📲# march5humor '' 📲# allthings '' '' 📲# allthings '' '' 📲# march5 '' '',0,1,0.7088705,0.5666537,0.0,0.0,0.0,0.0
207,sonicdrivein_558,"when your food is gone, your food’ s gone.",1,1,0.9581579,0.5666537,0.111111111111111,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
218,sonicdrivein_1572,me when i’ re the one who’ s the boss 🤩# sonicfanfriday# musicfestivallineup# march5 📷:@ jnr.,0,1,0.6147119,0.5666537,0.0,0.0,0.0,0.0
221,sonicdrivein_1070,sometimes the dogs get the 👀 out of control.,1,1,0.9641922,0.5666537,0.0292885709017474,5.86523101198632e-309,5.86523101198632e-309,5.86523101198632e-309
284,sonicdrivein_373,comment your thoughts in the comment section below 🤩# foodgrams# socialmediamanager# newsgram # funnyhumor ''# foodhumor '' ''# newsflash# sonic '' '' ''# newsflash# cats '' '' ''# cats '' '' ''# stories '' '' ''# storiesbook '' '' '',0,1,0.80561286,0.5666537,0.0,0.0,0.0,0.0
285,sonicdrivein_1998,"# sarahhyland’ s new year, all the same as last year.",0,1,0.45718202,0.5666537,0.0,0.0,0.0,0.0
319,sonicdrivein_98,"i’ m not afraid to admit it 😏 i’ m a girl 😏 i’ m a girl 😳 all the time, no matter what im doing, i’ m always ready to go.",0,1,0.92109185,0.5666537,0.0,0.0,0.0,0.0
