,image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
54,sonicdrivein_135,some people don’ t know what they’ re talking about 📲👀🌈📲👀 add lemongrass wag shop 🥤@ sonicdrinkremix 📲@ thewilliamsfammer 👽# sonicdrinkremix '' 📲@,0,1,0.861616,0.54904985,0.0,0.0,0.0,0.0
63,sonicdrivein_85,pov: me imagining a fantasy world where you can immerse yourself in the sonic worlds of your food cravings 🤷‍♂️# fantasyworldpopup# sonicpopup# imdb# officepopup ''# imdbrouter ''# bts# bloopers ''# bloopers,0,1,0.72347987,0.54904985,0.0,0.0,0.0,0.0
69,sonicdrivein_742,"when someone says we need a slush, we’ ll just say it 🍔# getawaywithit# somethingscookin# march5 📷:@ sonicdrivein 📷:@ missandeiya 📷:@ thewilliamsfampson 📷:@ the",2,1,0.65796876,0.54904985,0.0833333333333333,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
73,sonicdrivein_743,@ sonicdrivein and@ annalee15 coming to the drive-in to get some alone time 😏# sonicfanfriday# bts# bloopers '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',3,1,0.7588907,0.54904985,0.0612244897959183,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
90,sonicdrivein_163,dads this one’ s for you .. i’ ve got my own </s> </s> </p> </td> </tr> </tbody> </table> </td> </tr> </tbody> </table> </td> </tr> </tbody> </table> </td,0,1,0.6605328,0.54904985,0.0,0.0,0.0,0.0
148,sonicdrivein_376,"if you’ re seeing this, it’ s because you are.",1,1,0.9675139,0.54904985,0.1,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
150,sonicdrivein_486,our friends at the drive-in told us they’ re treating their friends at the drive-in so we’ re treating our friends at the drive-in too 😅# sonicdrinkremix# bts# bloopers ''# march5 📷:@ franckleflambert '',3,1,0.67067033,0.54904985,0.0588235294117647,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
170,sonicdrivein_497,molly and dad are the only things that keep me up at night# momfessionals# bts# bloopers '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',1,1,0.7316573,0.54904985,0.0175438596491228,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
180,sonicdrivein_945,"crunched for time but still hungry for a great sonic breakfast? head to our sonic breakfast menu to get the bacon peppercorn ranch grilled cheese double burger topped with tots, mushrooms, and tots- you’ re gon na love it.",1,1,0.69024837,0.54904985,0.0256410256410256,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
190,sonicdrivein_2200,we’ ve got something you’ ll want to see in the new sonic app 💅🏼‍♂️@ sonicdrivein and@ usannyxmall.,0,1,0.96152794,0.54904985,0.0,0.0,0.0,0.0
