Unnamed: 0,image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor
54,sonicdrivein_135,some people don’ t know what they’ re talking about 📲👀🌈📲👀 add lemongrass wag shop 🥤@ sonicdrinkremix 📲@ thewilliamsfammer 👽# sonicdrinkremix '' 📲@,0,1,0.861616,0.54904985,0.0,0.0,0.0,0.0,0.0203809067606925,0
63,sonicdrivein_85,pov: me imagining a fantasy world where you can immerse yourself in the sonic worlds of your food cravings 🤷‍♂️# fantasyworldpopup# sonicpopup# imdb# officepopup ''# imdbrouter ''# bts# bloopers ''# bloopers,0,1,0.72347987,0.54904985,0.0,0.0,0.0,0.0,0.0433811321854591,0
69,sonicdrivein_742,"when someone says we need a slush, we’ ll just say it 🍔# getawaywithit# somethingscookin# march5 📷:@ sonicdrivein 📷:@ missandeiya 📷:@ thewilliamsfampson 📷:@ the",2,1,0.65796876,0.54904985,0.0833333333333333,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0742590278387069,0
73,sonicdrivein_743,@ sonicdrivein and@ annalee15 coming to the drive-in to get some alone time 😏# sonicfanfriday# bts# bloopers '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',3,1,0.7588907,0.54904985,0.0612244897959183,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1166524738073349,0
90,sonicdrivein_163,dads this one’ s for you .. i’ ve got my own </s> </s> </p> </td> </tr> </tbody> </table> </td> </tr> </tbody> </table> </td> </tr> </tbody> </table> </td,0,1,0.6605328,0.54904985,0.0,0.0,0.0,0.0,0.5492605566978455,1
148,sonicdrivein_376,"if you’ re seeing this, it’ s because you are.",1,1,0.9675139,0.54904985,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9753445982933044,1
150,sonicdrivein_486,our friends at the drive-in told us they’ re treating their friends at the drive-in so we’ re treating our friends at the drive-in too 😅# sonicdrinkremix# bts# bloopers ''# march5 📷:@ franckleflambert '',3,1,0.67067033,0.54904985,0.0588235294117647,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0793210938572883,0
170,sonicdrivein_497,molly and dad are the only things that keep me up at night# momfessionals# bts# bloopers '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',1,1,0.7316573,0.54904985,0.0175438596491228,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.7642930150032043,1
180,sonicdrivein_945,"crunched for time but still hungry for a great sonic breakfast? head to our sonic breakfast menu to get the bacon peppercorn ranch grilled cheese double burger topped with tots, mushrooms, and tots- you’ re gon na love it.",1,1,0.69024837,0.54904985,0.0256410256410256,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.005555625539273,0
190,sonicdrivein_2200,we’ ve got something you’ ll want to see in the new sonic app 💅🏼‍♂️@ sonicdrivein and@ usannyxmall.,0,1,0.96152794,0.54904985,0.0,0.0,0.0,0.0,0.0335760079324245,0
200,sonicdrivein_1376,℗️🌊℗️℗️℗️℗️℗️⇣🍫🍫 and we’ ve got some new toys on the way 👀# sonicpopcorn# march5 📷:@ tkimchi.,0,1,0.8072427,0.54904985,0.0,0.0,0.0,0.0,0.4703158438205719,0
207,sonicdrivein_558,we’ re treating your tot to a sonic treat thanks to swag from@ sonicwagshop.,0,1,0.8694708,0.54904985,0.0,0.0,0.0,0.0,0.10754956305027,0
218,sonicdrivein_1572,me when i’ ve got my own sonic drink… 🤩# sonicdrinkremix ''‍♀️ sonicdrinkremix ''‍♀️ lyrics by jnr.,1,1,0.86473274,0.54904985,0.0588235294117647,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1728060096502304,0
221,sonicdrivein_1070,not sure if it’ s the same as last time but it’ s still a 👀 ! 🍔# getawaywithit# somethingscookin# march5 📷:@ thewilliamsfamilton 📷:@ thewilliamsfamilton 📷:@ the,1,1,0.59833074,0.54904985,0.037037037037037,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0143098244443535,0
284,sonicdrivein_373,comment your thoughts in the comment section below 🤩# socialmediamanager# foodhumor ''# foodhumor ''# foodhumor '' '' ''# funnycomment '' '' ''# sciencehumor '' '' ''# funnycomment '' '' ''# scientificcomment '' '' ''# socialmediamanager '' '',0,1,0.8387583,0.54904985,0.0,0.0,0.0,0.0,0.1305368542671203,0
285,sonicdrivein_1998,some people don’ t know what they’ re talking about.,0,1,0.97994953,0.54904985,0.0,0.0,0.0,0.0,0.3184681236743927,0
319,sonicdrivein_98,i’ m not afraid to admit it 😮 i’ m a girl 😳 i’ m a girl 😳 i’ m a girl 😳 i’ m a girl 😳 i’ m a girl 😳 i’ m a girl 😳 i’ m a girl 😳,0,1,0.937241,0.54904985,0.0,0.0,0.0,0.0,0.989077091217041,1
