train_loss,train_bleu,test_loss,test_bleu,save
4.801871094811193,0.1491898855609892,4.499899839743589,0.08475227029914516,V
4.093444376528117,0.1360620840124965,4.3425313835470085,0.0874257144764959,V
3.9978903490899214,0.12432168568323824,4.260249732905983,0.09026692708333325,V
3.956609956533551,0.12224578069817986,4.236645299145299,0.09053986378205138,V
3.9299230847595763,0.11918148091551214,4.257027911324786,0.09036124465811965, 
3.9091109752784567,0.11858954767726178,4.25410657051282,0.09040798611111103, 
3.8957611722358054,0.11812241069002988,4.234658787393163,0.09056573851495713,V
3.8857902064656344,0.11705336525400695,4.226195245726496,0.09074185363247873,V
3.878221780766096,0.11724077186905744,4.2162126068376065,0.09088124332264963,V
3.8720541293126867,0.11644084487910884,4.1986344818376065,0.09132445245726505,V
3.8671896223852213,0.11607834148329238,4.186348157051282,0.09141877003205119,V
3.8622954020646563,0.11596458163542493,4.182074652777778,0.09150474091880333,V
3.860453171692475,0.114582272140723,4.186515090811966,0.09144631410256403, 
3.856768710948112,0.11373798729964713,4.170689770299146,0.09175013354700853,V
3.854642080956262,0.11356755976636786,4.16282719017094,0.09211822248931639,V
3.852375373539799,0.11386766503667482,4.167751736111111,0.09177517361111116, 
