train_F,test_F,save
7944.258064516129,7942.4,V
7945.290322580645,7950.933333333333, 
7943.741935483871,7948.8, 
7945.290322580645,7940.266666666666, 
7940.129032258064,7955.2, 
7944.774193548387,7940.266666666666, 
7942.709677419355,7953.066666666667, 
7938.064516129032,7948.8, 
7940.645161290323,7946.666666666667, 
7940.645161290323,7948.8, 
7943.225806451613,7950.933333333333, 
7942.193548387097,7931.733333333334,V
7940.645161290323,7944.533333333334, 
7941.1612903225805,7933.866666666667, 
7944.774193548387,7944.533333333334, 
7946.322580645161,7938.133333333333, 
7944.774193548387,7944.533333333334, 
7941.1612903225805,7944.533333333334, 
7945.290322580645,7953.066666666667, 
7939.612903225807,7948.8, 
7947.870967741936,7938.133333333333, 
7942.709677419355,7944.533333333334, 
7940.645161290323,7940.266666666666, 
7940.645161290323,7946.666666666667, 
7940.645161290323,7933.866666666667, 
7947.354838709677,7944.533333333334, 
7942.709677419355,7948.8, 
