caption_loss,fc_loss
5.09375,0.0
5.0625,0.0
5.53125,5.0
4.96875,0.0
5.1875,15.0
4.96875,20.0
5.1875,5.0
5.28125,10.0
5.25,0.0
4.6875,0.0
4.84375,0.0
5.09375,5.0
5.1875,15.0
4.8125,5.0
5.25,0.0
5.0,5.0
5.28125,20.0
5.0625,5.0
5.0,0.0
5.0625,5.0
5.28125,20.0
5.21875,10.0
5.15625,15.0
5.0625,0.0
4.90625,5.0
5.09375,10.0
4.96875,15.0
5.21875,5.0
4.84375,10.0
4.96875,5.0
5.125,0.0
5.53125,5.0
5.21875,15.0
5.25,5.0
5.03125,10.0
4.84375,5.0
4.96875,0.0
5.375,5.0
5.15625,15.0
4.78125,10.0
5.375,5.0
4.78125,0.0
5.40625,10.0
5.28125,5.0
5.5,20.0
5.125,5.0
4.84375,0.0
5.0,5.0
4.96875,5.0
5.09375,5.0
4.78125,10.0
5.0,10.0
5.0,5.0
5.34375,0.0
4.90625,0.0
5.03125,0.0
4.875,5.0
4.9375,0.0
5.03125,5.0
5.1875,15.0
5.15625,10.0
5.09375,5.0
5.25,0.0
4.9375,0.0
5.0,10.0
4.875,0.0
5.125,5.0
4.90625,15.0
4.90625,15.0
4.875,0.0
5.4375,0.0
5.15625,0.0
5.0625,10.0
4.9375,15.0
5.21875,0.0
5.125,15.0
5.3125,15.0
5.21875,10.0
4.9375,0.0
4.75,10.0
5.25,10.0
5.1875,0.0
5.3125,20.0
4.875,0.0
5.03125,10.0
4.875,0.0
4.9375,15.0
5.09375,5.0
5.21875,10.0
5.28125,0.0
5.34375,10.0
5.0,10.0
4.90625,0.0
4.75,10.0
4.9375,5.0
5.09375,15.0
5.34375,15.0
5.0625,5.0
5.1875,10.0
5.0,0.0
5.0625,5.0
4.96875,15.0
5.09375,0.0
4.96875,5.0
4.96875,10.0
4.96875,5.0
5.09375,10.0
5.03125,15.0
4.96875,0.0
5.21875,15.0
5.0625,10.0
5.03125,5.0
4.9375,0.0
5.25,0.0
5.125,10.0
5.15625,5.0
5.125,10.0
5.0,0.0
5.03125,0.0
5.25,5.0
5.1875,10.0
4.9375,5.0
5.09375,5.0
4.90625,5.0
4.90625,0.0
5.21875,10.0
4.90625,15.0
4.875,20.0
5.40625,20.0
5.15625,5.0
4.90625,15.0
4.6875,5.0
4.84375,10.0
4.9375,15.0
5.28125,5.0
5.125,0.0
5.25,10.0
5.25,0.0
4.96875,0.0
4.84375,10.0
4.8125,5.0
