image_id,caption,humor_score,humor
sonicdrivein_204,"it’ s time for a new season of sonic the hedgehog, and we know what it will look like!🎥📸 check back soon to find out more.",0.027404263615608215,0
sonicdrivein_408,i’ ve got something to tell you.,0.006435406859964132,0
sonicdrivein_786,"it ’ s been a while, but i still want to show you some of my favorite things from the past year! 🥳🥤🍲🎥🚶‍♂⬇️📸👩🏽🤷🏻‍♀️ 👨 🦄💃 💕🌟 🤣 🎉🙌 🙈",0.022664956748485565,0
sonicdrivein_496,it’ s time to celebrate 2019 with a sonic sour patch kid ice cream sundae.,0.005778089631348848,0
sonicdrivein_44,"we’ ve all heard it before, and we know what i mean.",0.008790875785052776,0
sonicdrivein_499,what’ s your go-to comfort food? 🤔🍽️# sonicdrivein '' 🍕🎶🚴‍♂⬇🏾👨💼📸 📷🥤☀️🌟 🧑🏫🤩😊 🥳 😄 👀 🎉 pic.,0.012894313782453537,0
sonicdrivein_1017,what do you think we should add to make it even better? 🤔🤩🧑🏾‍♂️👨 👦💰📱# 2019isshouldbebetterthanlastyear's! 🚶󠁴󠄺󳵢ⲟ𝕊ℹ,0.012376892380416393,0
sonicdrivein_864,you can’ t have it both ways.,0.005918409209698439,0
sonicdrivein_1502,we ’ ve all been there.,0.00470663420855999,0
sonicdrivein_234,i’ d like to thank all of my followers for your support! 🥳 '' i'd love it even more if you could share this post with a friend or family member who might be interested.,0.03723165765404701,0
sonicdrivein_791,we’ d like to thank all of our customers for your continued support during these trying times.,0.02535007894039154,0
sonicdrivein_91,it’ s 10:45 pm.,0.011506776325404644,0
sonicdrivein_529,it’ s 2:30 am and i still don' t know what to make for dinner 😅# midnightmonday 🤷‍♂️🍲🥤🤴🏼🇺🇸⬇ ⏳🚶󠁧󠁢󜄀󝨐 💰,0.020163508132100105,0
sonicdrivein_65,"it’ s time for a drive-in treat!# sonicdriveinsummer is coming to an end, but we still want you and your family back in the car this summer with us.",0.023556703701615334,0
sonicdrivein_78,"what do you get when u combine sonic the speed of sound with your favorite ice cream flavor? 🎶❄️🍦🤔 🤩 @ sonicthespeedofsound is proud to announce a limited-time offer for our loyal fans! we’ re giving away one free pint cone every day this month, so grab it while supplies last.",0.01883690617978573,0
sonicdrivein_333,what’ s the best way to end your day? 👨‍💻👩🧑🏽🤷🏻‍♂️🍦🎉# announcercountdown2019 🎈 pic.,0.013832183554768562,0
sonicdrivein_348,"we’ ve all heard it before, and we know what i mean.",0.011052400805056095,0
sonicdrivein_51,"it’ s time for a new season of sonic the hedgehog! i 'd love to hear what you think about it, so let me know in the comments below.",0.05201779678463936,0
sonicdrivein_375,we’ ve all been there 🤔 what do you order with your sonic sour patch kids? 🧑🏼🚶‍♂⬇️🤩 '' 🍹🍷🥤🎉# sonicsourpatchkidssummerfun ⛅ pic.,0.01525164395570755,0
sonicdrivein_103,it’ s time for the 2019 holiday season! 🎄🎅🍿🧑🏼‍♂⛱️ check back next week to see what we have in store.,0.010108993388712406,0
sonicdrivein_491,it’ s time to see if you have what it takes 👨‍💻👩‍🔬🧑🏾♀️🤷🏻‍♂️.,0.01618180051445961,0
sonicdrivein_363,"it’ s time for a new season of sonic the hedgehog, and we're excited to share it all with you! 🎉🎅 check out our latest episodes on youtube.",0.03333781287074089,0
sonicdrivein_571,it’ s time for a sonic drive-in.,0.0068650683388113976,0
sonicdrivein_1346,"it’ s time for a sonic drive-in experience, and we have it right here in the middle of nowhere! 🚗🛣🏼🤩 # sonicdriveinnowhere 🎥🎶🍦🥳 🥤 🍕 😋😍 🤭👨‍💻 👮♂⬇️📸",0.024578670039772987,0
sonicdrivein_780,we’ ve got so much to look forward 👀👀to 🎅🎁 this holiday season.,0.015529629774391651,0
sonicdrivein_531,"we’ ve all been there 🤷‍♂️🤣, right? ⏳⬇🧑🏽👨💼📸🍦🥤🎉 🎈# sonicdrivein pic.",0.014244376681745052,0
