image_id,caption,human_ins,human_humor,human_related,overfit,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_1385,the sonic 10-day challenge is here! get your free month of the new app and earn a ton more points.,1,0,1,,3,1,0.8975082,0.40118188,0.10000000000000002,0.05263157894736841,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_893,"the best part of the day is when you get to enjoy a delicious, creamy ice cream cone.",1,0,0,,2,1,0.97890306,0.40118188,0.05555555555555554,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_798,the sonic is back! get your hands on the new 50¢ hot dog combo at all-american bbq.,1,0,0,,2,1,0.9428808,0.40118188,0.11764705882352941,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_786,the best part about this is that you can make it yourself.,0,0,0,,1,1,0.97278523,0.40118188,0.08333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_973,the sonic is the new iphone 5s.,1,0,0,,0,1,0.34559348,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_2154,the sonic 50 is the ultimate all-in-one gaming device.,1,1,1,,3,1,0.9497088,0.40118188,0.2222222222222222,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1457,we’ re not going to be able to get a free ice cream cone at the drive-in this summer.,1,0,0,,2,1,0.9804418,0.40118188,0.10526315789473682,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_376,the best part of the day is here! 10:35am.,0,0,0,1,2,1,0.9217121,0.40118188,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_69,the sonic 10 is back! 🎥🎤# sonic9.,1,0,0,,0,1,0.88616264,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_1268,the 10th annual sonic concert is coming to the end of may! get your tickets now at www.,1,0,0,,1,1,0.9495566,0.40118188,0.05555555555555554,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1280,the best part of the day is here.,1,0,1,,1,1,0.9762207,0.40118188,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1029,the sonic 50 is the perfect way to celebrate your birthday.,1,0,0,,0,1,0.963694,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_1572,"when you see the world change, it’ s time to make a difference.",0,0,1,,1,1,0.9703964,0.40118188,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1615,the best part of a day is the ice cream.,1,0,0,,0,1,0.97811866,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_1274,the sonic 50 is the best way to get your hands on a burger.,1,0,0,,0,1,0.95718896,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_1081,the best part of the day is always a bite-sized treat.,1,0,0,,1,1,0.97540206,0.40118188,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1316,the best way to celebrate your 50th birthday is with a sonic drink! 🍹🎉# happybirthday 🎁🍷.,1,0,0,,2,1,0.9542286,0.40118188,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_348,the sonic 50 is the ultimate in style.,1,0,1,,0,1,0.8067846,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_877,"the best part of a day at the beach is when you can’ t wait to get your hands on that sweet, salty goodness.",1,0,0,,1,1,0.9747839,0.40118188,0.041666666666666664,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_80,what’ s the best way to get a free sonic drink? 10¢ at any of our participating drive-in locations!# sonicdriveinsummer pic.,1,0,0,,1,1,0.8704938,0.40118188,0.047619047619047616,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_742,the 10th anniversary of sonic the hedgehog is here! get your free gift card today.,1,0,0,,0,1,0.9681447,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_1028,we’ re all about the best of our time.,1,1,1,,0,1,0.9708227,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_283,the best part of this year is the chance to be a fan.,0,0,0,,1,1,0.96713704,0.40118188,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_753,we’ re not done yet.,0,0,0,,0,1,0.9734751,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_409,"we’ re so excited to share our new sonic 50¢ slush with you! try it for free at any of the following locations: sonic, sonic drive-in and sonic express.",1,0,0,,0,1,0.9556697,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_981,the sonic is back! get your free 1-year subscription today and save$ off the price of a new car.,1,0,0,,1,1,0.8078181,0.40118188,0.05263157894736841,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1269,the best part of the day is when you get to choose your own adventure.,1,0,1,,1,1,0.97343385,0.40118188,0.06666666666666667,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1094,we’ re not going to be bored.,0,0,0,,0,1,0.9768496,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_316,the 10-year anniversary of the sonic boom is coming up in a few days.,1,0,0,,2,1,0.97286487,0.40118188,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_413,the 10th annual sonic concert is coming to the south end in may.,1,0,1,,0,1,0.9724788,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_163,"the best way to celebrate the holidays is with a delicious, healthy dessert.",1,1,1,,2,1,0.98099935,0.40118188,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1005,"what’ s your favorite ice cream flavor? 10 points for the best answer! 👍👎
• how many of you can make a peanut butter and jelly sandwich in under two minutes?! 🤔🤓🥪🍦🧀💰🎉#icecreamchallenge@the_peanutbutterjellysandwichcontest pic.",1,0,0,,1,1,0.9002835,0.40118188,0.030303030303030304,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1017,"the best part about this is that it’ s all free! we offer a variety of delicious, healthy and guilt-free treats.",1,0,1,,2,1,0.9716598,0.40118188,0.09523809523809525,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_705,the sonic boom is coming! get your free 1-year pass today.,1,0,0,,1,1,0.9613227,0.40118188,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1959,it’ s a new way to celebrate the end of summer.,0,0,1,,1,1,0.9784016,0.40118188,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2070,we’ re not just going to be a party.,0,0,0,1,1,1,0.97887015,0.40118188,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1282,the best part of a day at the beach is when you can relax and enjoy your favorite drinks.,0,0,0,,2,1,0.9830179,0.40118188,0.10526315789473682,0.05555555555555554,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_914,the best way to celebrate your birthday is with a 50¢ slushie! 🍦# summerfunday@ sonicdrivein.,1,0,0,,1,1,0.9450545,0.40118188,0.06666666666666667,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_670,the world is a place of endless possibilities.,0,0,0,,0,1,0.96899587,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_1317,the sonic 50 is a great way to celebrate the summer season.,1,0,0,,0,1,0.95428574,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_2052,"we’ re all about the food, so we thought it would be fun to share some of our favorite recipes.",0,0,1,,0,1,0.97580075,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_560,the best part about this recipe is that it’ s easy.,0,0,0,,0,1,0.9787932,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_789,the 10th anniversary of our first sonic is coming up.,1,0,0,,1,1,0.9259908,0.40118188,0.10000000000000002,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_375,we’ re excited to share our new sonic drive-in experience with you.,1,0,1,,1,1,0.9768942,0.40118188,0.08333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_344,we're all in this together! # summerfunday pic.,0,0,1,,1,1,0.68985873,0.40118188,0.11031211282307446,1.9636207881546135e-308,1.9636207881546135e-308,1.9636207881546135e-308
sonicdrivein_780,we’ re excited to share our new recipe for the ultimate sonic sour cream shake.,1,0,0,,0,1,0.97791004,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_548,the # sonicdrivein is coming to the mall this weekend! get your tickets now at www.,1,0,0,,1,1,0.8967607,0.40118188,0.0625,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1346,we’ re not done! we have a new sonic release coming soon.,1,0,0,,1,1,0.9696648,0.40118188,0.08333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_496,"we’ re not talking about a single meal, we are all in for the whole day.",0,0,0,,0,1,0.87984353,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_648,the sonic 10-day deal is back! get your favorite drinks and snacks for just £2.,1,0,0,,3,1,0.8619949,0.40118188,0.2,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1992,the best part of the day is when you get to enjoy a delicious ice cream cone.,1,0,0,,1,1,0.9782497,0.40118188,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_196,the best part of this is that you can make it yourself.,0,0,0,,2,1,0.9735908,0.40118188,0.16666666666666669,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_947,we’ re so excited to see you in the classroom! we hope your day is filled with fun and learning.,0,0,0,,0,1,0.9776748,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_499,the best part of a day is the ice cream.,1,0,0,,0,1,0.97811866,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_408,we're not going to let you down.,0,1,1,,1,1,0.97290355,0.40118188,0.12383969996431167,1.928867353251809e-308,1.928867353251809e-308,1.928867353251809e-308
sonicdrivein_1502,the best thing about this year is that we can all celebrate together.,0,0,1,,2,1,0.980115,0.40118188,0.15384615384615385,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_790,the sonic 50 is the new iphone.,1,0,0,,0,1,0.8565946,0.40118188,0.0,0.0,0.0,0.0
sonicdrivein_645,the best way to celebrate your birthday is with a sonic drink! # summerdrinksofinstagram@ sonicdrinks.,1,0,0,1,0,1,0.96088374,0.40118188,0.0,0.0,0.0,0.0
