image_id,caption,human_ins,human_humor,human_related,overfit,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_1385,"it’ s the time of year for ice cream, so we thought it would be a great idea to make our own.",1,0,0,,2,1,0.9664396,0.3780709,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_893,"when you’ re done with your ice cream, grab a drink and head to the drive-in.",1,0,0,,1,1,0.9844072,0.3780709,0.0625,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_798,when you’ re done with your day and need a little pick me up.,1,1,1,,1,1,0.87436134,0.3780709,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_786,"what’ s your favorite ice cream flavor? we have a ton of options to choose from, but you can only pick one.",1,0,0,,0,1,0.97224355,0.3780709,0.0,0.0,0.0,0.0
sonicdrivein_973,"what do you think of our new sonic drive-in experience? it’ s all about the food, and we have a ton to offer! get your taste buds ready for some sweet treats at 10:35pm on sept.",1,0,0,,3,1,0.9515114,0.3780709,0.08333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2154,we’ ve got you covered.,1,1,1,1,0,1,0.9753906,0.3780709,0.0,0.0,0.0,0.0
sonicdrivein_1457,"it's not just a drink, it’ s an experience.",1,0,1,,1,1,0.96567696,0.3780709,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_376,what are you waiting for? head to the drive-in with your friends and family this weekend! </s> pic.,1,0,1,,2,1,0.9168682,0.3780709,0.11111111111111109,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_69,we’ re so excited to share this with you.,1,0,1,,0,1,0.97460854,0.3780709,0.0,0.0,0.0,0.0
sonicdrivein_1268,"we’ ve got you covered with our 50% off deal on all new and used cars, trucks, vans, minivans.",1,0,1,,1,1,0.5754432,0.3780709,0.05263157894736841,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1280,what’ s for dinner tonight? 🍔🍟🥤🧑🏾 10:35 pm.,1,0,0,,0,1,0.9179922,0.3780709,0.0,0.0,0.0,0.0
sonicdrivein_1029,"it’ s time to celebrate the 50th anniversary of sonic, and we need your help.",1,0,0,1,0,1,0.97474706,0.3780709,0.0,0.0,0.0,0.0
sonicdrivein_1572,what’ s your favorite ice cream flavor? 🍦 1/2 of a scoop is just the right amount.,1,0,0,,2,1,0.89819115,0.3780709,0.11764705882352941,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1615,we’ re so excited to bring you our 10th anniversary limited-time offer! enjoy a free sonic drink with your purchase of any item in the store.,1,0,0,,1,1,0.8956591,0.3780709,0.03846153846153846,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1274,we’ ve got you covered! 10% off your first order at sonicdrive-in.,1,0,1,,0,1,0.842535,0.3780709,0.0,0.0,0.0,0.0
sonicdrivein_1081,we’ ve got you covered.,0,0,0,1,0,1,0.9753906,0.3780709,0.0,0.0,0.0,0.0
sonicdrivein_1316,we’ ve got you covered! check out our limited-time offers at sonicdrivein.,1,0,1,,1,1,0.962078,0.3780709,0.08333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_348,"we’ re so excited to see you at the 2019 sonic drive-in this summer! we hope your day is filled with fun, ice cream sundaes and more.",1,0,0,,0,1,0.96868885,0.3780709,0.0,0.0,0.0,0.0
sonicdrivein_877,"it’ s the perfect time of year for you and your family to get together, so why not make it a special one-of-a-kind experience.",1,0,0,,1,1,0.97628194,0.3780709,0.041666666666666664,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_80,what’ s your favorite ice cream flavor? </s> let us know in the comments and we might be able to give you a free scoop of sonic sour patch kids.,1,0,1,,3,1,0.8869456,0.3780709,0.10000000000000002,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_742,we’ ve got you covered.,0,0,0,1,0,1,0.9753906,0.3780709,0.0,0.0,0.0,0.0
