train_loss,test_loss,save
8.790322580645162,7.90625,V
7.914314516129032,7.397916666666666,V
7.611391129032258,7.166666666666667,V
7.442036290322581,7.010416666666667,V
7.3125,6.879166666666666,V
7.205141129032258,6.760416666666667,V
7.106854838709677,6.6625,V
7.027721774193548,6.577083333333333,V
6.959677419354839,6.49375,V
6.890625,6.429166666666666,V
6.84375,6.366666666666666,V
6.794354838709677,6.31875,V
6.759576612903226,6.266666666666667,V
6.725302419354839,6.229166666666667,V
6.699596774193548,6.20625,V
6.669858870967742,6.158333333333333,V
6.652217741935484,6.129166666666666,V
6.621471774193548,6.10625,V
6.601310483870968,6.077083333333333,V
6.582157258064516,6.058333333333334,V
6.557963709677419,6.01875,V
6.539818548387097,6.010416666666667,V
6.518649193548387,5.975,V
6.502520161290323,5.979166666666667, 
6.483366935483871,5.960416666666666,V
6.473790322580645,5.94375,V
6.456653225806452,5.9,V
6.44758064516129,5.904166666666667, 
6.434979838709677,5.883333333333334,V
6.419354838709677,5.866666666666666,V
6.412298387096774,5.85625,V
6.403729838709677,5.839583333333334,V
6.391633064516129,5.839583333333334, 
6.382056451612903,5.814583333333333,V
6.370463709677419,5.820833333333334, 
6.362399193548387,5.808333333333334,V
6.345262096774194,5.79375,V
6.339213709677419,5.789583333333334,V
6.33820564516129,5.772916666666666,V
6.327116935483871,5.7625,V
6.323084677419355,5.785416666666666, 
6.314516129032258,5.779166666666667, 
6.30241935483871,5.758333333333334,V
6.291834677419355,5.747916666666667,V
6.285282258064516,5.747916666666667, 
6.272177419354839,5.745833333333334,V
6.267641129032258,5.754166666666666, 
6.243447580645161,5.739583333333333,V
6.22883064516129,5.754166666666666, 
6.213709677419355,5.7625, 
6.192540322580645,5.75, 
6.182459677419355,5.74375, 
6.158770161290323,5.720833333333333,V
6.142137096774194,5.702083333333333,V
6.118447580645161,5.69375,V
6.105342741935484,5.675,V
6.092741935483871,5.639583333333333,V
6.081149193548387,5.6375,V
6.065524193548387,5.622916666666667,V
6.055947580645161,5.610416666666667,V
6.043850806451613,5.60625,V
6.033266129032258,5.585416666666666,V
6.027217741935484,5.575,V
6.016633064516129,5.589583333333334, 
6.012600806451613,5.585416666666666, 
6.006048387096774,5.560416666666667,V
6.004536290322581,5.547916666666667,V
5.998991935483871,5.5375,V
5.988407258064516,5.5625, 
5.985383064516129,5.533333333333333,V
5.980342741935484,5.535416666666666, 
5.979838709677419,5.522916666666666,V
5.973286290322581,5.525, 
5.97429435483871,5.53125, 
5.965221774193548,5.53125, 
5.968245967741935,5.516666666666667,V
5.964717741935484,5.514583333333333,V
5.96320564516129,5.529166666666667, 
5.962197580645161,5.508333333333334,V
5.95866935483871,5.51875, 
5.950604838709677,5.510416666666667, 
5.953629032258065,5.514583333333333, 
5.950604838709677,5.491666666666666,V
5.960685483870968,5.489583333333333, 
5.946068548387097,5.5125, 
5.952620967741935,5.49375, 
5.943548387096774,5.510416666666667, 
5.940524193548387,5.497916666666667, 
5.933971774193548,5.49375, 
5.942036290322581,5.491666666666666, 
5.936491935483871,5.49375, 
5.942540322580645,5.497916666666667, 
5.929939516129032,5.4875,V
5.93195564516129,5.49375, 
5.932963709677419,5.4875, 
5.926411290322581,5.489583333333333, 
5.926411290322581,5.472916666666666,V
5.93195564516129,5.466666666666667, 
5.932459677419355,5.464583333333334, 
5.935987903225806,5.472916666666666, 
5.928931451612903,5.4875, 
5.93195564516129,5.48125, 
5.930947580645161,5.485416666666667, 
5.927923387096774,5.4875, 
5.928931451612903,5.483333333333333, 
5.922883064516129,5.485416666666667, 
5.92741935483871,5.489583333333333, 
5.92741935483871,5.495833333333334, 
5.920362903225806,5.479166666666667, 
5.919354838709677,5.46875,V
5.918346774193548,5.475, 
5.918850806451613,5.470833333333333, 
5.924395161290323,5.464583333333334, 
5.919858870967742,5.454166666666667, 
5.921875,5.470833333333333, 
5.922883064516129,5.466666666666667, 
5.917842741935484,5.4625,V
5.918346774193548,5.466666666666667, 
5.922379032258065,5.4625, 
5.918850806451613,5.46875, 
5.918346774193548,5.466666666666667, 
5.919858870967742,5.460416666666666, 
5.912298387096774,5.472916666666666, 
5.923891129032258,5.491666666666666, 
5.914818548387097,5.472916666666666, 
5.912802419354839,5.479166666666667, 
5.919354838709677,5.454166666666667, 
5.91633064516129,5.48125, 
5.913810483870968,5.479166666666667, 
5.910282258064516,5.470833333333333, 
5.91179435483871,5.485416666666667, 
5.911290322580645,5.466666666666667, 
5.910282258064516,5.464583333333334, 
5.920866935483871,5.454166666666667, 
5.914818548387097,5.4625, 
5.91179435483871,5.46875, 
5.909778225806452,5.458333333333333,V
5.912802419354839,5.46875, 
5.921370967741935,5.4625, 
5.911290322580645,5.460416666666666, 
5.910282258064516,5.466666666666667, 
5.909778225806452,5.466666666666667, 
5.912802419354839,5.439583333333333, 
5.912802419354839,5.470833333333333, 
5.902721774193548,5.477083333333334, 
5.904233870967742,5.466666666666667, 
5.914818548387097,5.48125, 
5.902721774193548,5.441666666666666,V
5.908770161290323,5.45625, 
5.90070564516129,5.4625, 
5.906754032258065,5.45, 
5.911290322580645,5.460416666666666, 
5.90625,5.458333333333333, 
5.905241935483871,5.460416666666666, 
5.899697580645161,5.48125, 
5.900201612903226,5.441666666666666, 
5.904737903225806,5.441666666666666, 
5.905745967741935,5.45, 
5.907258064516129,5.45625, 
5.914314516129032,5.475, 
5.910282258064516,5.45625, 
5.90625,5.452083333333333, 
5.905241935483871,5.45, 
5.904737903225806,5.454166666666667, 
5.906754032258065,5.458333333333333, 
5.908266129032258,5.452083333333333, 
5.904737903225806,5.460416666666666, 
5.90625,5.452083333333333, 
5.905241935483871,5.460416666666666, 
5.901713709677419,5.45, 
5.901713709677419,5.45625, 
5.904233870967742,5.452083333333333, 
5.904233870967742,5.454166666666667, 
5.899697580645161,5.45, 
5.901713709677419,5.4375,V
5.90070564516129,5.460416666666666, 
5.909274193548387,5.452083333333333, 
5.901713709677419,5.454166666666667, 
5.902217741935484,5.452083333333333, 
5.903729838709677,5.45, 
5.902721774193548,5.454166666666667, 
5.907762096774194,5.452083333333333, 
5.898185483870968,5.454166666666667, 
5.896673387096774,5.447916666666667, 
5.896673387096774,5.46875, 
5.900201612903226,5.452083333333333, 
5.902217741935484,5.45625, 
5.907258064516129,5.439583333333333, 
5.901713709677419,5.445833333333334, 
5.903729838709677,5.439583333333333, 
5.897681451612903,5.435416666666667,V
5.901209677419355,5.460416666666666, 
5.904233870967742,5.45, 
5.902721774193548,5.45, 
5.897177419354839,5.479166666666667, 
5.905745967741935,5.45, 
5.897681451612903,5.464583333333334, 
5.903225806451613,5.441666666666666, 
5.90070564516129,5.445833333333334, 
5.896673387096774,5.445833333333334, 
