caption_loss,fc_loss
5.28125,0.59375
5.5625,0.6328125
5.28125,0.625
4.875,0.6328125
5.125,0.61328125
5.28125,0.61328125
5.03125,0.62109375
5.15625,0.625
5.09375,0.60546875
5.21875,0.60546875
5.34375,0.59765625
5.3125,0.63671875
5.28125,0.62890625
4.84375,0.6171875
4.96875,0.6171875
5.375,0.609375
5.09375,0.62890625
5.15625,0.62890625
5.125,0.62109375
5.03125,0.625
5.1875,0.63671875
5.03125,0.6328125
5.34375,0.62890625
5.15625,0.6171875
5.25,0.609375
4.65625,0.6015625
5.09375,0.61328125
4.84375,0.625
5.5625,0.625
5.53125,0.6171875
5.0,0.6015625
4.84375,0.62109375
5.25,0.609375
5.46875,0.625
5.25,0.640625
5.09375,0.6640625
4.9375,0.6015625
4.8125,0.625
4.9375,0.64453125
5.125,0.65234375
4.96875,0.59765625
5.34375,0.609375
5.375,0.65234375
5.09375,0.62890625
5.4375,0.65625
5.0,0.6328125
5.1875,0.62109375
4.8125,0.625
5.0,0.609375
4.9375,0.6484375
5.03125,0.6328125
5.15625,0.6171875
5.28125,0.66015625
5.4375,0.6171875
5.34375,0.640625
5.0,0.62890625
4.75,0.6171875
5.40625,0.65234375
4.96875,0.6484375
4.75,0.65234375
5.25,0.6484375
5.40625,0.6171875
5.375,0.62890625
5.5,0.6171875
5.125,0.62890625
5.34375,0.65234375
4.9375,0.62109375
5.1875,0.609375
5.15625,0.59375
5.28125,0.6015625
5.125,0.61328125
5.09375,0.61328125
5.21875,0.625
5.65625,0.66015625
5.125,0.61328125
4.96875,0.62109375
4.75,0.60546875
4.96875,0.640625
5.21875,0.66015625
5.125,0.6328125
5.0,0.60546875
5.375,0.63671875
5.15625,0.61328125
5.21875,0.6171875
5.46875,0.6171875
5.09375,0.61328125
5.28125,0.61328125
5.28125,0.6171875
4.75,0.6328125
5.15625,0.59375
5.0,0.62109375
4.84375,0.62890625
5.28125,0.62890625
4.9375,0.640625
4.84375,0.59765625
5.125,0.65234375
5.25,0.6171875
5.21875,0.625
5.25,0.640625
5.15625,0.625
4.6875,0.65234375
5.1875,0.63671875
5.03125,0.609375
5.34375,0.6015625
5.15625,0.65234375
5.15625,0.625
5.125,0.6640625
5.625,0.6015625
5.25,0.62109375
5.125,0.62890625
5.125,0.65234375
5.34375,0.609375
5.3125,0.60546875
5.0,0.62890625
5.21875,0.6328125
5.09375,0.6328125
5.03125,0.625
5.25,0.6328125
5.125,0.62109375
4.90625,0.62890625
5.125,0.62109375
5.125,0.59765625
5.53125,0.609375
5.125,0.6015625
5.09375,0.62890625
4.9375,0.61328125
5.0,0.65625
5.15625,0.59765625
5.03125,0.64453125
5.3125,0.62109375
4.875,0.6171875
4.875,0.6171875
5.09375,0.62890625
5.0625,0.62109375
4.71875,0.62109375
5.09375,0.62890625
4.9375,0.6171875
5.15625,0.62109375
5.1875,0.62890625
4.9375,0.62890625
4.8125,0.59765625
5.0,0.6328125
5.28125,0.62890625
5.25,0.63671875
5.21875,0.64453125
5.03125,0.625
5.0,0.6484375
5.28125,0.6328125
5.25,0.64453125
4.90625,0.60546875
5.15625,0.64453125
5.0,0.65625
4.9375,0.62109375
5.25,0.6328125
5.125,0.625
5.1875,0.61328125
5.28125,0.6171875
4.84375,0.63671875
5.03125,0.6171875
5.15625,0.62109375
5.4375,0.640625
5.0,0.66796875
5.25,0.60546875
5.125,0.625
4.875,0.63671875
4.90625,0.640625
4.96875,0.64453125
5.15625,0.6171875
5.0625,0.63671875
4.9375,0.63671875
5.4375,0.62109375
4.9375,0.640625
5.21875,0.60546875
5.1875,0.62890625
5.21875,0.59375
5.25,0.6171875
5.0625,0.59765625
4.78125,0.6015625
4.84375,0.609375
5.3125,0.63671875
5.15625,0.6484375
5.375,0.62890625
5.0625,0.609375
5.1875,0.62109375
5.3125,0.6171875
5.0625,0.6171875
5.09375,0.64453125
5.28125,0.62890625
5.34375,0.6484375
5.40625,0.6328125
4.90625,0.6328125
5.40625,0.59375
4.9375,0.62890625
5.1875,0.60546875
5.125,0.6328125
5.03125,0.640625
5.15625,0.60546875
4.96875,0.625
5.03125,0.62109375
5.0,0.63671875
5.53125,0.59765625
5.25,0.625
5.03125,0.62890625
5.0625,0.61328125
5.03125,0.640625
5.15625,0.64453125
5.1875,0.62109375
5.1875,0.6171875
5.03125,0.62109375
4.9375,0.62109375
5.1875,0.6171875
5.0,0.6328125
4.84375,0.62109375
5.1875,0.671875
5.34375,0.6328125
4.9375,0.6171875
4.71875,0.6015625
4.9375,0.64453125
5.125,0.6484375
5.34375,0.61328125
5.5,0.625
5.03125,0.6015625
4.9375,0.6328125
4.84375,0.62890625
5.0,0.60546875
5.15625,0.6015625
5.15625,0.60546875
5.34375,0.625
5.03125,0.6484375
5.1875,0.6171875
5.0,0.62890625
5.03125,0.609375
5.25,0.640625
4.96875,0.6328125
5.3125,0.625
5.21875,0.6328125
4.84375,0.62890625
