image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,b_clip,humor_score,humor,humor_score_,humor_
sonicdrivein_743,ad a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's,0,1,0.759905,0.5505144,0.0,0.0,0.0,0.0,-6.809084,0.8655091524124146,1,0.8655091524124146,1
sonicdrivein_655,they’ re the ones who tell you to get the limeade 🧀️‍♀️? 😏�️# limeaderemix '' 📷:@ ryan_sandy 📷:@ pederson99 '' vibes are coming to the drive-in this fall 🧀,1,1,0.92557496,0.5505144,0.0344827586206896,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-6.121105,0.3994958698749542,0,0.3994958698749542,0
sonicdrivein_866,"it’ s a toss up, but what do u think? 🥤# susanthamurk# getawaywithit# somethingscookin# march5 📷:@ tahrithebengalley 📷:@ seansauce99 📷:@ se",0,1,0.698882,0.5505144,0.0,0.0,0.0,0.0,-0.0010562324,0.1436904817819595,0,0.1436904817819595,0
sonicdrivein_1809,someone is going to eat this.,0,1,0.9719077,0.5505144,0.0,0.0,0.0,0.0,-9.37693,0.961477756500244,1,0.961477756500244,1
sonicdrivein_376,not sure if this is a good thing or a bad thing.,1,1,0.97655576,0.5505144,0.0833333333333333,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-9.345364,0.9796580076217652,1,0.9796580076217652,1
sonicdrivein_1712,and the water’ s a’ s great deal🥤 and we’ ve got a playlist for you.,0,1,0.8425024,0.5505144,0.0,0.0,0.0,0.0,-5.9118667,0.0104207275435328,0,0.0104207275435328,0
sonicdrivein_1664,what do you think about this girl coming to my house to eat my food? 😌# getawaywithit# somethingscookin# march5 📷:@ frankiekendrick.,3,1,0.8563923,0.5505144,0.0466230151959003,1.0892663493304385e-308,1.0892663493304385e-308,1.0892663493304385e-308,-0.0004900685,0.0678357630968093,0,0.0678357630968093,0
sonicdrivein_594,not sure if it will stop us from getting more hits tho 😎 we need your help to keep it going.,1,1,0.8693103,0.5505144,0.0476190476190476,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-9.609896,0.045579470694065,0,0.045579470694065,0
sonicdrivein_952,"we’ ve got a new trick or treat coming to our feed this fall 🙃 so we’ ve partnered with 🌟@ sophini to offer a free, delicious, and delicious corn dog n cheese dip.",6,1,0.9331194,0.5505144,0.1203978026650091,0.0206743701545975,1.5180660188792246e-308,1.5180660188792246e-308,-8.863529,0.0542037636041641,0,0.0542037636041641,0
sonicdrivein_1635,’ s not afraid to celebrate with your friends.,4,1,0.9465282,0.5505144,0.0013758163788289,0.0003869483565456,6.8879093819364e-311,6.8879093819364e-311,-9.658383,0.1912405341863632,0,0.1912405341863632,0
