image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,b_clip,humor_score,humor
sonicdrivein_743,ad a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's,0,1,0.759905,0.5741713,0.0,0.0,0.0,0.0,-6.809084,0.8655091524124146,1
sonicdrivein_655,they’ re the ones who tell you to get the limeade 🧀️‍♀️? 😏�️# limeaderemix '' 📷:@ ryan_sandy 📷:@ pederson99 '' vibes are coming to the drive-in this fall 🧀,1,1,0.92557496,0.5741713,0.0344827586206896,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-6.121105,0.3994958698749542,0
sonicdrivein_866,"it’ s a toss up, but what do u think? 🥤# susanthamurk# getawaywithit# somethingscookin# march5 📷:@ tahrithebengalley 📷:@ seansauce99 📷:@ se",0,1,0.698882,0.5741713,0.0,0.0,0.0,0.0,-0.0010562324,0.1436904817819595,0
sonicdrivein_497,nothing says motivation more than to get your workout started.,0,1,0.91851044,0.5741713,0.0,0.0,0.0,0.0,-7.964746,0.7747004628181458,1
sonicdrivein_1813,is this what you’ re saying? 🤔‍♀️⛰️@ jnr.,0,1,0.91693074,0.5741713,0.0,0.0,0.0,0.0,-0.18390821,0.0543074086308479,0
sonicdrivein_290,the vibe is coming to the car 😎 all the flavor and the proof is in the drink.,2,1,0.1467209,0.5741713,0.111111111111111,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-8.293055,0.484257698059082,0
sonicdrivein_1809,someone is going to eat this.,0,1,0.9719077,0.5741713,0.0,0.0,0.0,0.0,-9.37693,0.961477756500244,1
sonicdrivein_51,i’ m not a big fan of the judo but i’ m still happy that i live in the jungle 🌟 i’ m a sonic person.,2,1,0.78668445,0.5741713,0.0384615384615384,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-0.022883859,0.5763170123100281,1
sonicdrivein_404,@ kelseaballerini’ s great idea to give away a cup of joe🎃‍♂️🍪 and a free tumbler too 👀# getawaywithit# somethingscookin# march5 📷:@ kelseaballerini,0,1,0.4387483,0.5741713,0.0,0.0,0.0,0.0,-1.8969223,0.1445182859897613,0
sonicdrivein_952,"we’ ve got a new trick or treat coming to our feed this fall 🙃 so we’ ve partnered with 🌟@ sophini to offer a free, delicious, and delicious corn dog n cheese dip.",6,1,0.9331194,0.5741713,0.1203978026650091,0.0206743701545975,1.5180660188792246e-308,1.5180660188792246e-308,-8.863529,0.0542037636041641,0
sonicdrivein_1077,sometimes it 's just a 've 're 're 're 're 's time to get your vibes right.,3,1,0.73712695,0.5741713,0.1394714758202644,1.7585612308455557e-308,1.7585612308455557e-308,1.7585612308455557e-308,-9.289899,0.7061756253242493,1
sonicdrivein_1367,we’ ve got some great food on this dog today.,0,1,0.9051556,0.5741713,0.0,0.0,0.0,0.0,-6.574854,0.2373495697975158,0
sonicdrivein_454,not sure if this is a thing but i do love it🥤# getawaywithit# somethingscookin# march5 📷:@ tahrithebengalley . bio 0_000:00_n_eats: 0_000:00_n_f: 0_,0,1,0.5349525,0.5741713,0.0,0.0,0.0,0.0,-0.049627073,0.0331677868962287,0
sonicdrivein_1660,nothing’ s wrong with eating a food that’ s small.,1,1,0.9751105,0.5741713,0.0367879441171442,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309,-0.0008412636,0.4962013959884643,0
sonicdrivein_470,"if you don’ t like the sonic drink, you can always get a free sonic drink at sonic.",1,1,0.9592779,0.5741713,0.0555555555555555,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-8.679799,0.0193759314715862,0
sonicdrivein_2052,the famous and the underappreciated cake.,0,1,0.86952204,0.5741713,0.0,0.0,0.0,0.0,-7.46158,0.4814096689224243,0
sonicdrivein_344,did you know that you can get a free tumbler too? that you can get a free drink too? that you can get a free calendar too? that you can get a free calendar app too? that you can get a free calendar app for your phone too? that you can get a free calendar app for your tablet too,6,1,0.96806574,0.5741713,0.0166666666666666,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-8.510755,0.1583948731422424,0
sonicdrivein_788,we know you’ re going to want to keep your eyes open for the new sonic this year.,0,1,0.979714,0.5741713,0.0,0.0,0.0,0.0,-7.8803105,0.1637362241744995,0
sonicdrivein_2185,it’ s a good day and a miss… what’ s your favorite moment of the year?# msfhc# seasonshowslife# msfhc2# calendardaylooks_like_this# calendarbreak# calendar_looks_like_this# calendar_looks_like_,0,1,0.88304466,0.5741713,0.0,0.0,0.0,0.0,-0.00069987116,0.0368973575532436,0
sonicdrivein_234,not sure if this is a compliment or a compliment.,0,1,0.96398497,0.5741713,0.0,0.0,0.0,0.0,-9.631803,0.9201169013977052,1
sonicdrivein_1737,what do you think? 🍪# nationaldianawagfest# anniversariesday# nationaldiana# anniversariesday# march5 📷:@ annalee15 shares some of the thoughts behind the tag.,2,1,0.7502792,0.5741713,0.05,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-5.6720686,0.0115106711164116,0
sonicdrivein_2208,we thought you would like to see a stream of the covered coke? 🤩# cokefest 2017 📷: https://www.,1,1,0.947323,0.5741713,0.0555555555555555,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-0.0999131,0.8282281756401062,1
sonicdrivein_1138,thank you for coming to the party 🧀🥤📷🧀🕷🕷🦇🕷🦇 to win a free chocolate cup with@ susanhughes.,5,1,0.3578911,0.5741713,0.1180916381852536,1.051050468137224e-308,1.051050468137224e-308,1.051050468137224e-308,-8.904881,0.0305945631116628,0
sonicdrivein_2209,"when you say 'd need a drink , i mean 'cuz you do need a brain.",2,1,0.8464924,0.5741713,0.0587133164258422,2.090263448406506e-308,2.090263448406506e-308,2.090263448406506e-308,-2.407987,0.8837538957595825,1
sonicdrivein_566,have’ s been giving them a treat 🤩# getawaywithit# somethingscookin# march5 📷:@ kevinanderson.,0,1,0.5795651,0.5741713,0.0,0.0,0.0,0.0,-6.118685,0.8867987394332886,1
sonicdrivein_2168,"it’ s all you’ re have’ s to eat’ s great breakfast , right? 🤔# getawaywithit# somethingscookin# march5 📷:@ kimchi.",2,1,0.4715288,0.5741713,0.0951229424500714,2.116555725899446e-308,2.116555725899446e-308,2.116555725899446e-308,-6.33964,0.1752923429012298,0
sonicdrivein_1566,this is what you get when you order a grilled cheese double burger with a side of fries and 2 sides of mushrooms 😌# partytime# partytime# partytime# march5 📷:@ partytimebombadams 📷:@ partytimebombadams 📷:@ partytimebombadams,1,1,0.9438616,0.5741713,0.0294117647058823,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-8.55507,0.1342674940824508,0
sonicdrivein_690,we’ ve got a new app coming that will let you do the deed for us💅🍑here🤣: http://idonttakecharge.,0,1,0.90417606,0.5741713,0.0,0.0,0.0,0.0,-9.03135,0.3993757367134094,0
sonicdrivein_1223,"when you order a pizza you order from the box office, you order from the boss.",1,1,0.97715354,0.5741713,0.0179065498037618,6.374943338305425e-309,6.374943338305425e-309,6.374943338305425e-309,-7.6418643,0.6466480493545532,1
sonicdrivein_532,it doesn't matter if you don't have it.,0,1,0.97493786,0.5741713,0.0,0.0,0.0,0.0,-9.40736,0.2598437368869781,0
sonicdrivein_283,i’ ve got a new one coming 🤩 watch the full episode of dadfessionals with@ annalee15 now on youtube 🍔# sonicswagaless ''‍♂️# sonicswagaless ''# sonicswagaless '' '' '' '' '' '',1,1,0.80842483,0.5741713,0.032258064516129,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-0.00016378015,0.0124914227053523,0
sonicdrivein_1022,we need a new way to answer your questions 👀 👀 and we need your feedback too 🤔# getawaywithit# somethingscookin# march5 📷:@ seansaucexperia 📷:@ sonicwagalot 📷:@ sonicwagalot,4,1,0.8224969,0.5741713,0.111111111111111,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-5.072174,0.4948569536209106,0
