image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,b_clip,humor_score,humor
sonicdrivein_743,one of the few people in the office that doesn’ t have to drive to the drive-in to get to the drive-in to get to the drive-in to get to the drive-in to get to the drive-in to get to the drive-in to get to the drive-in to get to the,19,1,0.7991867,0.56179017,0.0784313725490195,0.02,2.225073858507262e-308,2.225073858507262e-308,-7.192704,0.5211060047149658,1
sonicdrivein_655,they’ re going to have a blast with our new limeade ️‍♀️ and we’ ve got somethin’ coming.,1,1,0.9614758,0.56179017,0.0555555555555555,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-8.151274,0.5033919811248779,1
sonicdrivein_866,it’ s all about the snacks.,0,1,0.9720948,0.56179017,0.0,0.0,0.0,0.0,-9.441924,0.6140595078468323,1
sonicdrivein_497,nothing says motivation better than having a good time 🤣‍♀️ </s> </s> </p> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div> </div,1,1,0.923759,0.56179017,0.037037037037037,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-0.0014182995,0.487128734588623,0
sonicdrivein_1813,is this what you’ re thinking? 🤔‍♀️⛰️⛰️⛰️⛰️⛰️⛰️⛰️⛰️⛰️⛰️⛰️⛰️�,0,1,0.9644453,0.56179017,0.0,0.0,0.0,0.0,-2.8586495,0.272166758775711,0
sonicdrivein_290,the drive-in is coming to an all-new generation of fessionals this fall 🎃🥤# limeadevendorsalvendorsalvendorsalvendorsalvendorsalvendorsalvendorsalvendorsalvendorsalvendorsal,1,1,0.9381458,0.56179017,0.0714285714285714,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-0.0008001702,0.6741288304328918,1
sonicdrivein_1809,this is what you’ re looking for when you’ re hungry for a sonic treat.,4,1,0.97062254,0.56179017,0.0169734557940034,1.88835963878829e-309,1.88835963878829e-309,1.88835963878829e-309,-9.59116,0.4798159003257751,0
sonicdrivein_51,"when you feel like you have a good workout, this is what you’ re doing.",1,1,0.9776905,0.56179017,0.0666666666666666,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-8.725948,0.6935132145881653,1
sonicdrivein_404,@ kelseaballerini’ s birthday present is yours🥤# kelseaballerini# kelseaballerini# kelseaballerini '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',0,1,0.80976176,0.56179017,0.0,0.0,0.0,0.0,-2.9055433,0.6071797013282776,1
sonicdrivein_952,we’ ve got a new trick or treat for you this time of year.,1,1,0.9737862,0.56179017,0.0067635986441816,2.106930914564517e-309,2.106930914564517e-309,2.106930914564517e-309,-9.564545,0.371312528848648,0
sonicdrivein_1077,sometimes it 's hard to tell the difference between good and bad vibes.,2,1,0.982969,0.56179017,0.0831435379210052,1.2025033327569346e-308,1.2025033327569346e-308,1.2025033327569346e-308,-9.065156,0.9323435425758362,1
sonicdrivein_1367,we’ ve got something you’ ll want to celebrate with your friends.# sonicmall# sonicmallday# getawaywithit# somethingscookin# march5 📷:@ thewilliamsfamilton 📷:@ thewilliamsfamilton 📷:@ sonic,0,1,0.7723748,0.56179017,0.0,0.0,0.0,0.0,-0.00048947276,0.0312417689710855,0
sonicdrivein_454,"not sure if it’ s spicy enough for all of us🥤# getawaywithit# somethingscookin# march5 📷:@ tahrithebengalahideen

# getawaywithit# somethingscookin# march5 📷:@ t",0,1,0.65479094,0.56179017,0.0,0.0,0.0,0.0,-3.0629585,0.022688154131174,0
sonicdrivein_1660,"nothing’ s wrong with that 💅🏼# getawaywithit# somethingscookin# march5 📷:@ tahrithebengalahidea

# getawaywithit# somethingscookin# march5 📷:@ tahrithe",0,1,0.7396503,0.56179017,0.0,0.0,0.0,0.0,-4.9986486,0.0550546832382679,0
sonicdrivein_470,"if you don’ t like it, you can always get a free sonic drink at sonicdrinkremix.",0,1,0.9754946,0.56179017,0.0,0.0,0.0,0.0,-8.999753,0.0187050551176071,0
sonicdrivein_2052,the tree that inspired us to create this piece of art.,0,1,0.95455354,0.56179017,0.0,0.0,0.0,0.0,-7.2892165,0.6655752658843994,1
sonicdrivein_344,did you know that you can get a free tumbler when you buy a drink? 🥤# getawaywithit# somethingscookin# march5 📷:@ tahrithebengalley 📷:@ thewilliamsfamilton 📷:@ sonicwag,2,1,0.8004739,0.56179017,0.04,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-5.0961137,0.1113496869802475,0
sonicdrivein_788,"we know what you’ re thinking, but we’ ve got something new under the hood 🙃# getawaywithit# somethingscookin# march5 📷:@ thewilliamsfamilton 📷:@ thewilliamsfamilton sound off in the comments section below.",0,1,0.8469252,0.56179017,0.0,0.0,0.0,0.0,-0.0016505203,0.0429700314998626,0
sonicdrivein_2185,it’ s a sad day when you don’ t have to dress up to be a@ msnbc.,2,1,0.9706787,0.56179017,0.0464904919400881,1.7585612308455557e-308,1.7585612308455557e-308,1.7585612308455557e-308,-7.2854123,0.4428070783615112,0
