image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor,humor_score_,humor_
sonicdrivein_743,one of the few people in the office that doesn’ t have to drive to the drive-in to get to the drive-in to get to the drive-in to get to the drive-in to get to the drive-in to get to the drive-in to get to the drive-in to get to the,19,1,0.7991867,0.5522114,0.0784313725490195,0.02,2.225073858507262e-308,2.225073858507262e-308,0.5211060047149658,1,0.5211060047149658,1
sonicdrivein_655,they’ re going to have a blast with our new limeade ️‍♀️ and we’ ve got somethin’ coming.,1,1,0.9614758,0.5522114,0.0555555555555555,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,0.5033919811248779,1,0.5033919811248779,1
sonicdrivein_866,it’ s all about the snacks.,0,1,0.9720948,0.5522114,0.0,0.0,0.0,0.0,0.6140595078468323,1,0.6140595078468323,1
sonicdrivein_1809,this is what you’ re looking for when you’ re hungry for a sonic treat.,4,1,0.97062254,0.5522114,0.0169734557940034,1.88835963878829e-309,1.88835963878829e-309,1.88835963878829e-309,0.4798159003257751,0,0.4798159003257751,0
sonicdrivein_376,not sure if this is a good thing or a bad thing.,1,1,0.97655576,0.5522114,0.0833333333333333,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,0.9796580076217652,1,0.9796580076217652,1
sonicdrivein_1712,"supersonic beverage ™ available now in the app for a limited time, available now through september 3rd at ™℗.",1,1,0.5113881,0.5522114,0.0526315789473684,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,0.0107388496398925,0,0.0107388496398925,0
sonicdrivein_1664,"this is what i mean when i say i am afraid for my life 😌# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal

# getawaywithit# somethingscookin# march5 📷:@ tahrithe",1,1,0.86309445,0.5522114,0.0261812460893609,1.5146353626711476e-308,1.5146353626711476e-308,1.5146353626711476e-308,0.0695308595895767,0,0.0695308595895767,0
sonicdrivein_594,"we don’ t have to tell you what to do to get what we want , but we do want to hear from you.",5,1,0.9763594,0.5522114,0.125,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,0.397268682718277,0,0.397268682718277,0
sonicdrivein_952,we’ ve got a new trick or treat for you this time of year.,1,1,0.9737862,0.5522114,0.0067635986441816,2.106930914564517e-309,2.106930914564517e-309,2.106930914564517e-309,0.371312528848648,0,0.371312528848648,0
sonicdrivein_1635,it’ s time for a party too’ s a party too’ s a party girl’ s treat💅💅💅💅💅💅💅💅💅💅💅💅💅💅,0,1,0.63256794,0.5522114,0.0,0.0,0.0,0.0,0.3819751441478729,0,0.3819751441478729,0
sonicdrivein_1077,sometimes it 's hard to tell the difference between good and bad vibes.,2,1,0.982969,0.5522114,0.0831435379210052,1.2025033327569346e-308,1.2025033327569346e-308,1.2025033327569346e-308,0.9323435425758362,1,0.9323435425758362,1
sonicdrivein_454,"not sure if it’ s spicy enough for all of us🥤# getawaywithit# somethingscookin# march5 📷:@ tahrithebengalahideen

# getawaywithit# somethingscookin# march5 📷:@ t",0,1,0.65479094,0.5522114,0.0,0.0,0.0,0.0,0.022688154131174,0,0.022688154131174,0
sonicdrivein_470,"if you don’ t like it, you can always get a free sonic drink at sonicdrinkremix.",0,1,0.9754946,0.5522114,0.0,0.0,0.0,0.0,0.0187050551176071,0,0.0187050551176071,0
sonicdrivein_2112,��‍💕‍♀️‍♀️‍♀️‍♀️‍♀️‍♀️‍♀️‍♀️‍♀️‍♀️‍♀️‍♀️,0,1,0.86411864,0.5522114,0.0,0.0,0.0,0.0,0.929615557193756,1,0.929615557193756,1
sonicdrivein_344,did you know that you can get a free tumbler when you buy a drink? 🥤# getawaywithit# somethingscookin# march5 📷:@ tahrithebengalley 📷:@ thewilliamsfamilton 📷:@ sonicwag,2,1,0.8004739,0.5522114,0.04,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,0.1113496869802475,0,0.1113496869802475,0
sonicdrivein_788,"we know what you’ re thinking, but we’ ve got something new under the hood 🙃# getawaywithit# somethingscookin# march5 📷:@ thewilliamsfamilton 📷:@ thewilliamsfamilton sound off in the comments section below.",0,1,0.8469252,0.5522114,0.0,0.0,0.0,0.0,0.0429700314998626,0,0.0429700314998626,0
sonicdrivein_2185,it’ s a sad day when you don’ t have to dress up to be a@ msnbc.,2,1,0.9706787,0.5522114,0.0464904919400881,1.7585612308455557e-308,1.7585612308455557e-308,1.7585612308455557e-308,0.4428070783615112,0,0.4428070783615112,0
sonicdrivein_234,not sure if this is what you mean when you say happy hour is happy hour but it is 🤷‍♀️ </s> </li> </ul> </li> </table> </td> </tr> </tbody> </table> </td> </tr> </tbody> </table,2,1,0.901321,0.5522114,0.0303030303030303,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,0.5525045990943909,1,0.5525045990943909,1
sonicdrivein_558,we’ re here to let you in on a secret’ s all.,0,1,0.9348895,0.5522114,0.0,0.0,0.0,0.0,0.5139219164848328,1,0.5139219164848328,1
sonicdrivein_1998,"not sure if this is the right sonic drink for me, but i’ ve got it.",0,1,0.94206864,0.5522114,0.0,0.0,0.0,0.0,0.1505906134843826,0,0.1505906134843826,0
sonicdrivein_2168,"it’ s all you’ ve got to eat’ s good breakfast , right?# getawaywithit# somethingscookin# march5 📷:@ tahrithebengalley# march5 📷:@ thewilliamsfamilton# march5 📷",2,1,0.57680106,0.5522114,0.0869565217391304,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,0.0742429569363594,0,0.0742429569363594,0
sonicdrivein_1566,this one is for you 😌# getawaywithit# somethingscookin# march5 📷:@ thewilliamsfamilton 📷:@ thewilliamsfamilton# march5 📷:@ thewilliamsfamilton 📷:@ thewilliamsfam,0,1,0.7931062,0.5522114,0.0,0.0,0.0,0.0,0.4177790582180023,0,0.4177790582180023,0
sonicdrivein_1018,swipe right to the menu to see the full menu.,2,1,0.7920473,0.5522114,0.2,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,0.2208665758371353,0,0.2208665758371353,0
sonicdrivein_1163,vi’ ve got to say thank you to everyone who’ s helped us get this far.,1,1,0.97467685,0.5522114,0.0486750489419628,1.7328892633971685e-308,1.7328892633971685e-308,1.7328892633971685e-308,0.0938352420926094,0,0.0938352420926094,0
sonicdrivein_690,we’ ve got something we’ ve been waiting for so we’ ve got something we’ ve been waiting for.,0,1,0.9662498,0.5522114,0.0,0.0,0.0,0.0,0.890464186668396,1,0.890464186668396,1
sonicdrivein_1084,"introducing you to the new season, we’ re giving away a free tumbler to anyone who hits the link in our social media feed.",2,1,0.9562526,0.5522114,0.0416666666666666,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,0.0197418574243783,0,0.0197418574243783,0
sonicdrivein_1307,"the spirit of fall is upon us, and we need your help to celebrate it 💅🧀🕷🍑🕷🍑🕷🍑🕷🍑🕷🍑🕷🍑🕷🍑🕷",1,1,0.96481156,0.5522114,0.0625,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,0.0905897989869117,0,0.0905897989869117,0
sonicdrivein_1666,we’ ve got a sneaking suspicion that this’ s going to be one of our all-time favorite sonic snacks.,0,1,0.9824132,0.5522114,0.0,0.0,0.0,0.0,0.0388594642281532,0,0.0388594642281532,0
sonicdrivein_1996,it doesn’ t matter if you drink blue jalapeno limeade or not.,0,1,0.98568046,0.5522114,0.0,0.0,0.0,0.0,0.173274964094162,0,0.173274964094162,0
sonicdrivein_532,"if this isn't your thing, you can always get it at your local store.# summerswingsday# getawaywithit# somethingscookin# march5 📷:@ tahrithebengalley 📷:@ thewilliamsfamilton 📷:@ thewilliam",2,1,0.7451804,0.5522114,0.0416666666666666,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,0.0399067550897598,0,0.0399067550897598,0
sonicdrivein_283,i’ m the only one who doesn’ t drink chili cheese 🤩# getawaywithit# somethingscookin# march5 📷:@ jessica_sillitna 🤩# getawaywithit# somethingscookin# march5 📷:@,0,1,0.88195664,0.5522114,0.0,0.0,0.0,0.0,0.0260034445673227,0,0.0260034445673227,0
sonicdrivein_2201,picked up some great sonic vibes this week.,0,1,0.9684644,0.5522114,0.0,0.0,0.0,0.0,0.0623535811901092,0,0.0623535811901092,0
sonicdrivein_1821,"it doesn’ t make me feel better, but it does make me feel better.",0,1,0.9656354,0.5522114,0.0,0.0,0.0,0.0,0.7869932055473328,1,0.7869932055473328,1
sonicdrivein_2181,this is what we mean when we say we’ re cutting out the middle man.,0,1,0.9736964,0.5522114,0.0,0.0,0.0,0.0,0.2266369313001632,0,0.2266369313001632,0
sonicdrivein_1866,does this mean that we 're taking a sonic break? 🌊# sonicbreak# march5 📷:@ tahrithebengalley 📷:@ march5 📷:@ sonicbreak# march5 📷:@ tahrithebengalley 📷,1,1,0.9221128,0.5522114,0.0434782608695652,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,0.2903446853160858,0,0.2903446853160858,0
sonicdrivein_1919,the spirit of the festive season is upon us❌❌❌❌❌❌❌❌❌❌❌❌❌ ❌ ❌ ❌ ❌ ❌ ❌ ❌ ❌ ❌ ❌ ❌ ❌ ❌ ❌ ❌ ❌,0,1,0.8802881,0.5522114,0.0,0.0,0.0,0.0,0.5639106035232544,1,0.5639106035232544,1
