train_G,train_D,test_G,test_D,save
1.9445751953125,2.42349609375,1.23431640625,2.7412890625,V
1.004296875,2.35640625,0.9142578125,2.4601171875,V
0.8828564453125,2.283427734375,0.83796875,2.2041015625,V
0.8447265625,2.221669921875,0.8088671875,2.1282421875,V
0.806982421875,2.112783203125,0.80431640625,2.041796875,V
0.7952294921875,2.096689453125,0.794296875,2.239296875,V
0.7838427734375,2.112900390625,0.783359375,2.419609375,V
0.7601318359375,2.111826171875,0.7637890625,2.0675,V
0.7572998046875,2.039873046875,0.75810546875,1.9778125,V
0.751904296875,2.11390625,0.7588671875,2.009453125, 
0.7566064453125,2.151728515625,0.7521875,1.98703125,V
0.7477734375,2.0206640625,0.7469140625,1.9928515625,V
0.7476171875,2.020126953125,0.75134765625,2.0434765625, 
0.7452197265625,2.025478515625,0.7381640625,1.9327734375,V
0.73771484375,1.990390625,0.74650390625,2.3419921875, 
0.75115234375,2.073046875,0.7559765625,2.0455859375, 
0.745947265625,2.01048828125,0.733828125,2.08109375, 
0.7319921875,2.062080078125,0.73345703125,1.9980078125,V
0.73626953125,2.06384765625,0.74134765625,2.2439453125, 
