prompt,label,image
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_18
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_33
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_76
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_682
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_464
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",bokete_62158
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_25
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_94
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_66
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_76
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_297
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",bokete_70986
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",bokete_3739
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_129
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",bokete_92121
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",bokete_104350
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",bokete_21550
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",bokete_111121
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",bokete_16959
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",bokete_100590
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_1010
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",bokete_91682
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_113
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_720
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",confused-bill-cosby
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",bokete_34306
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_57
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",bokete_62615
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_64
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",bokete_2685
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",bokete_111510
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_230
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",bokete_59519
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",harper-government
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_51
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_49
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_12
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_3
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",bokete_77954
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",bokete_39139
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",imgflip_163
"<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec.","<b>, <start_of_turn>, ara, ot, only, lean, w, ster, gh, ries, je, arch, ff, Z, TEXT, zy, �, pl, system, bea, lan, made, take, _, true, C, </tr>, ner, dec",bokete_112
