train_F,test_F,save
7968.0,7968.0,V
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
7968.0,7968.0, 
