image_id,caption,fluency,diversity,humor_score,humor
sonicdrivein_1209,best friends come in all sorts of pairs. 😊 which one are you? tag your friends to find out! #friendshipday,0.94402045,0.5296938,0.0065703992731869,0
sonicdrivein_866,today’s horoscoop🍦: remember to treat yourself and your sweet tooth with our mocha crunch blast—a deliciously cool,0.21195783,0.5296938,0.0878465548157692,0
sonicdrivein_80,just know we are very proud of this one,0.9347637,0.5296938,0.9244897961616516,1
sonicdrivein_2100,"who wants celebrate tax filing <or, drown tax sorrow> in sonic drinks or slushes? <raises hand> 1/2-price all day today!",0.259513,0.5296938,0.0150673333555459,0
sonicdrivein_1566,when bae just gets you. sending love to those who keep it sweet on valentine’s day. 😉❤️,0.78736746,0.5296938,0.0638127624988555,0
sonicdrivein_1435,introducing the freshest collab—the new @redbull slush and cherry limeade red bull® slush! it’s the ultimate cool down before you step up. 👐,0.62872386,0.5296938,0.0025862774346023,0
sonicdrivein_2185,"this little bit was so excited to meet mr. coney at sonic summer movie night at okc's myriad gardens. tonight, ""the",0.49138534,0.5296938,0.0380753464996814,0
sonicdrivein_786,“i’m gonna walk the dog.”,0.92365164,0.5296938,0.9499614238739014,1
sonicdrivein_283,asking for a friend. #weird #wrong,0.8918,0.5296938,0.1301235407590866,0
sonicdrivein_376,not us seeing our ex at the drive-in,0.90565515,0.5296938,0.6644645929336548,1
sonicdrivein_1452,work is more fun with friends. 🙌 we’re looking for new team members to join our crew! check out jobs.sonicdrivein.com,0.90565544,0.5296938,0.00379094411619,0
sonicdrivein_470,our drop before the ball drops. stay tuned 👀,0.8200602,0.5296938,0.0643036514520645,0
sonicdrivein_952,"struggling to decide your order? 🤔 then check the time: our clock will tell you what to get. ⏰

9am - 12pm: bacon egg & cheese breakfast burrito
12pm - 3pm: crave cheeseburger
3pm - 6pm: corn dog
6pm - 9pm: red, white, & blue slush float",0.8089659,0.5296938,0.1811692714691162,0
sonicdrivein_1765,"drown your tastebuds in rich, creamy 1/2 price shakes after 8pm at sonic for the next five days.#sonicdrivein #shakebreak #shakes #📅 #🕖",0.7767136,0.5296938,0.0113276029005646,0
sonicdrivein_1755,how many corn dogs you’ll have is still a toss-up. drop by sonic on august 31st and enjoy 50¢ corn dogs all day. ,0.95130557,0.5296938,0.05933703109622,0
sonicdrivein_2168,"see you this morning for 1/2-price breakfast burritos all day at sonic. or, maybe it's a breakfast for dinner kind of",0.9194706,0.5296938,0.0415448062121868,0
sonicdrivein_690,don't keep mom from her emotional support ice.,0.5808597,0.5296938,0.8466271758079529,1
sonicdrivein_788,who’s a good boy? you are! 🐶,0.9454691,0.5296938,0.391543984413147,0
sonicdrivein_344,here’s a hint: it might have strawberries in it,0.93366027,0.5296938,0.6440834999084473,1
sonicdrivein_1077,raise your hand ✋ if you think it would be pretty cool if you could add us to your group chat.,0.95762396,0.5296938,0.0783808827400207,0
sonicdrivein_1022,when someone’s getting you sonic and you want to make sure they get your order right.,0.8925847,0.5296938,0.7735722064971924,1
sonicdrivein_491,"ahhh yes, gold, my favorite color.",0.8886177,0.5296938,0.5227729678153992,1
sonicdrivein_655,"win or lose, you can always use a post-game slush🥤⚾️",0.88329726,0.5296938,0.1205012649297714,0
sonicdrivein_2181,congrats to our grand prize #doubledogdare winners! @lparrinelli @jusserv @tia_lorraine pls email your name and mailing,0.24373312,0.5296938,0.0006827539764344,0
sonicdrivein_2080,vote for local teacher projects to earn sonic limeades for learning funding! head to limeadesforlearning.com and pick a,0.84471494,0.5296938,0.009091779589653,0
sonicdrivein_759,guess the zodiac sign! 🥤 (hint: it’s a water sign) 🥤,0.9455946,0.5296938,0.0477769896388053,0
sonicdrivein_454,at least he didn’t ask the carhop how high he can hop. #carhoplife #dadjokes,0.77700025,0.5296938,0.1162910833954811,0
