image_id,caption,human_ins,human_humor,human_related,overfit,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor
sonicdrivein_1209,it's time to get your teeth ready for the new year.,1,1,1,2,2,1,0.97577196,0.35610276,0.080224212319997,9.8177638708909e-309,9.8177638708909e-309,9.8177638708909e-309,0.1852273494005203,0
sonicdrivein_866,"it's not just a meme, it’ s an app that lets you order food from anywhere in the world.",1,1,1,2,0,1,0.96962714,0.35610276,0.0,0.0,0.0,0.0,0.2020735591650009,0
sonicdrivein_80,"it’ s like, “ oh my god i love you so much right now.",0,1,1,2,0,1,0.8710435,0.35610276,0.0,0.0,0.0,0.0,0.970469892024994,1
sonicdrivein_2100,"it's like, you know what i’ m talking about.",0,1,1,0,0,1,0.85964733,0.35610276,0.0,0.0,0.0,0.0,0.8419899940490723,1
sonicdrivein_1566,we've got you covered.,1,1,1,0,0,1,0.9745058,0.35610276,0.0,0.0,0.0,0.0,0.657412588596344,1
sonicdrivein_1435,"i've heard a lot of things about this, so here’s what i think is going to be the next big thing.",0,1,1,2,1,1,0.961656,0.35610276,0.0432931639465101,2.0229402343384255e-308,2.0229402343384255e-308,2.0229402343384255e-308,0.1748029738664627,0
sonicdrivein_2185,this is what it's like when you have to wait in line for over an hour just so i can get a drink.,1,1,1,2,3,1,0.9815545,0.35610276,0.1304347826086956,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5018296837806702,1
sonicdrivein_786,"i'm going to get you a drink of your choice, but i don’t know what it is.",0,0,0,-1,0,1,0.98003113,0.35610276,0.0,0.0,0.0,0.0,0.9510153532028198,1
sonicdrivein_283,what’ s wrong with you? </s> just click the like button to make it happen.,1,1,1,2,0,1,0.9575524,0.35610276,0.0,0.0,0.0,0.0,0.0204337947070598,0
sonicdrivein_376,we're going to make a ton of food.,0,0,0,-1,0,1,0.97494274,0.35610276,0.0,0.0,0.0,0.0,0.7889804840087891,1
sonicdrivein_1452,what’ s your favorite way to say “ no” in spanish? the chữ nằng tươi viên cho ngườe khác hoạt đây nhấp bảo mình.,0,0,0,-1,1,1,0.8291133,0.35610276,0.0416666666666666,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0483684130012989,0
sonicdrivein_470,don't worry about it.,0,0,0,-1,0,1,0.9796346,0.35610276,0.0,0.0,0.0,0.0,0.3451215326786041,0
sonicdrivein_952,we’ re here to help you lose 10 pounds in the first week.,0,0,0,-1,3,1,0.96664,0.35610276,0.0168783813807499,1.627411291316304e-309,1.627411291316304e-309,1.627411291316304e-309,0.7410256862640381,1
sonicdrivein_1765,q: what do u want to see? </s> p.,0,0,0,-1,0,1,0.95895594,0.35610276,0.0,0.0,0.0,0.0,0.6788944005966187,1
sonicdrivein_1755,it's time for you to try something new.,0,0,0,0,0,1,0.97822785,0.35610276,0.0,0.0,0.0,0.0,0.496929258108139,0
sonicdrivein_2168,you know what i’ m going to do today? give up on all of the memes that have gone viral in 2019.,0,0,0,-1,3,1,0.97989696,0.35610276,0.1363636363636363,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2676727473735809,0
sonicdrivein_690,what do you want to eat today? </s> pic.,0,0,0,-1,0,1,0.8753484,0.35610276,0.0,0.0,0.0,0.0,0.8387004137039185,1
sonicdrivein_788,"it's like, oh my god.",0,1,1,2,0,1,0.92365605,0.35610276,0.0,0.0,0.0,0.0,0.6925002932548523,1
sonicdrivein_344,i'm so excited for my new shoes.,0,0,0,-1,0,1,0.9677931,0.35610276,0.0,0.0,0.0,0.0,0.6649513840675354,1
sonicdrivein_1077,when you’ ve got 20 questions in your head and no idea where to look for the answer.,0,1,1,2,2,1,0.9302968,0.35610276,0.0940535249878459,1.8834843577582417e-308,1.8834843577582417e-308,1.8834843577582417e-308,0.5993102788925171,1
sonicdrivein_1022,"if you can 't make it through the first hour, don’ t worry too much about what happens after that.",0,0,0,-1,2,1,0.97955906,0.35610276,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8952145576477051,1
sonicdrivein_491,"yes, i don't know if it ’ s real or not.",0,0,0,-1,1,1,0.961395,0.35610276,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8460654616355896,1
sonicdrivein_655,i'm going to tell you a few things that i know for sure.,0,0,0,-1,2,1,0.96842825,0.35610276,0.1538461538461538,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9610275030136108,1
sonicdrivein_2181,"when you’ re about to leave the house and think, “ i need ice cream but there is none left.",1,1,0,2,2,1,0.8569685,0.35610276,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1679157167673111,0
sonicdrivein_2080,"i'm not going to ask you for anything, but here’s what i want.",0,0,1,0,2,1,0.978454,0.35610276,0.1047249843574439,1.5146353626711476e-308,1.5146353626711476e-308,1.5146353626711476e-308,0.8432506918907166,1
sonicdrivein_759,it’ s been 10 days since i got my first dose.,0,0,0,-1,0,1,0.97388816,0.35610276,0.0,0.0,0.0,0.0,0.7571898698806763,1
sonicdrivein_454,"we're going to have a ton of food on the drive-thru this morning, so i’m not sure what we can do about it.",1,1,1,2,2,1,0.9782884,0.35610276,0.0869565217391304,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1822625994682312,0
sonicdrivein_2091,i'm going to do this.,0,0,0,-1,0,1,0.9703976,0.35610276,0.0,0.0,0.0,0.0,0.8539029955863953,1
sonicdrivein_1138,"yes, it's my mom.",0,1,0,0,0,1,0.95941067,0.35610276,0.0,0.0,0.0,0.0,0.8730092644691467,1
sonicdrivein_234,"don't know what to do with this, so here are a few things you might like: </s></p><img src=""https://i.",0,0,0,-1,1,1,0.7671463,0.35610276,0.0555555555555555,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8898158073425293,1
sonicdrivein_2078,i'm going to ask you a few things.,0,0,0,-1,1,1,0.97594225,0.35610276,0.0316049494755933,5.625867750206837e-309,5.625867750206837e-309,5.625867750206837e-309,0.7000654339790344,1
sonicdrivein_780,when you’ re trying to find your way around a new city and end up on the wrong side of it.,0,0,0,-1,1,1,0.9684259,0.35610276,0.0476190476190476,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8527119159698486,1
sonicdrivein_414,"it’ s my first day of high school, and i have no idea what to do.",0,0,0,-1,2,1,0.9815491,0.35610276,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8278411626815796,1
sonicdrivein_529,it's not just me.,0,0,0,-1,1,1,0.9735407,0.35610276,0.0716261992150475,6.374943338305425e-309,6.374943338305425e-309,6.374943338305425e-309,0.9045972228050232,1
sonicdrivein_2208,it's time for you to make your first purchase of the year.,0,0,1,0,1,1,0.9791773,0.35610276,0.0833333333333333,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8200474977493286,1
sonicdrivein_404,"yes, there's an app for that! 👍👌🤷‍♂️🙄🥳😉# happyhippie pic.",1,0,0,0,0,1,0.93160963,0.35610276,0.0,0.0,0.0,0.0,0.7630535364151001,1
sonicdrivein_1809,you ’ ll be able to get a taste of the world with just one bite.,0,1,1,2,4,1,0.9799886,0.35610276,0.026349806140466,2.34521059279541e-309,2.34521059279541e-309,2.34521059279541e-309,0.7198317646980286,1
sonicdrivein_2112,i'm not sure if this is what you’ re looking for.,0,0,0,-1,0,1,0.9814534,0.35610276,0.0,0.0,0.0,0.0,0.9232835173606871,1
sonicdrivein_135,"it's not like we need to go out for dinner, but i do n’t know.",0,0,0,-1,0,1,0.94668233,0.35610276,0.0,0.0,0.0,0.0,0.8334345817565918,1
sonicdrivein_1866,when you’ re not sure what to do with your kids after a long day at work.,0,1,1,0,2,1,0.9699526,0.35610276,0.1045893841650324,1.9781123889553905e-308,1.9781123889553905e-308,1.9781123889553905e-308,0.5812757611274719,1
sonicdrivein_91,♻️🤷‍♀️🧔🏾😭👨 👩 🔥 # 🦋💰 pic.,0,0,0,-1,0,1,0.75523084,0.35610276,0.0,0.0,0.0,0.0,0.9252960085868835,1
sonicdrivein_1753,"it's not about the taste, it’ s more than that.",0,0,1,0,1,1,0.9662167,0.35610276,0.0449328964117221,9.997901319273777e-309,9.997901319273777e-309,9.997901319273777e-309,0.8622733950614929,1
sonicdrivein_1376,i'm not sure if i like this but there’s something in the back of it that makes me think so.,0,1,1,2,1,1,0.944969,0.35610276,0.05,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9443762302398682,1
sonicdrivein_743,there’ s a 10- minute wait for your order to be ready when you walk in.,1,1,1,2,1,1,0.9714556,0.35610276,0.0108608714656528,3.86659858861305e-309,3.86659858861305e-309,3.86659858861305e-309,0.6095452308654785,1
sonicdrivein_1737,"it's not just me, it’ s all of us.",0,0,0,-1,1,1,0.95864284,0.35610276,0.0327305364789008,6.55450749847085e-309,6.55450749847085e-309,6.55450749847085e-309,0.8202970027923584,1
sonicdrivein_196,"it's not like we’ re going to have a party this weekend, is it? but i don't think so! let me know what you guys are up for and then maybe we can get together later in the week.",0,0,0,-1,1,1,0.9766198,0.35610276,0.0256410256410256,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9003816246986389,1
sonicdrivein_2052,you know what i'm going to do.,0,0,0,-1,0,1,0.974312,0.35610276,0.0,0.0,0.0,0.0,0.7984663248062134,1
sonicdrivein_528,"you know, if you’ re looking for something warm and satisfying but don 't want to go out.",1,0,1,0,3,1,0.9374835,0.35610276,0.1666666666666666,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.7633699178695679,1
sonicdrivein_98,"when you’ re trying to decide what ice cream flavors are on sale at your local frozen yogurt shop, but don 't know which ones they have in stock.",1,0,0,-1,1,1,0.9627674,0.35610276,0.0344827586206896,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8182429075241089,1
sonicdrivein_532,"when i opened the can of dog food, it's not even close to what they say on the label.",0,0,0,-1,3,1,0.9471271,0.35610276,0.0809074238519721,1.7102374408358077e-308,1.7102374408358077e-308,1.7102374408358077e-308,0.710101842880249,1
sonicdrivein_78,"if you're looking for something fun to do this weekend, here’ s a list of our top picks from last year.",0,0,0,-1,1,1,0.972638,0.35610276,0.0476190476190476,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.70775306224823,1
sonicdrivein_339,"we've got to get through this, and we do n’t know what it looks like until the end.",0,0,0,-1,4,1,0.95664734,0.35610276,0.1506243506678778,0.0398711516473794,1.5081763730657666e-308,1.5081763730657666e-308,0.8823065161705017,1
sonicdrivein_2218,it's been a long time since we’ ve had this much fun.,0,0,0,-1,1,1,0.9823254,0.35610276,0.0766703678857769,2.0471667756573244e-308,2.0471667756573244e-308,2.0471667756573244e-308,0.8014248609542847,1
sonicdrivein_41,"we're here to help you with your questions, but we don’ t have the answers for all of them.",0,0,1,-1,0,1,0.9738264,0.35610276,0.0,0.0,0.0,0.0,0.7586872577667236,1
sonicdrivein_594,i'm not going to tell you this.,0,0,0,-1,1,1,0.97450495,0.35610276,0.1428571428571428,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.6787976026535034,1
sonicdrivein_497,"10 of the 25 people who showed up at our booth this morning, but they didn't say a thing.",0,0,0,-1,1,1,0.90139264,0.35610276,0.0526315789473684,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.7492602467536926,1
